"","metabolite","beta","se","p_val","metabolite_model"
"1","enyloleoylGPEP181",0.0126938293748882,0.102,0.901381238468535,"Continuous"
"2","enylpalmitoyl2arachidonoylGPCP160204",-0.0855552665029759,0.103,0.407585778439,"Continuous"
"3","enylpalmitoyl2arachidonoylGPEP160204",-0.00677688573924386,0.101,0.946728901520327,"Continuous"
"4","enylpalmitoyl2linoleoylGPCP160182",-0.128615805411284,0.11,0.240859861369699,"Continuous"
"5","enylpalmitoyl2linoleoylGPEP160182",-0.0166267229602877,0.113,0.883236011568738,"Continuous"
"6","enylpalmitoyl2oleoylGPCP160181",-0.129723268627187,0.119,0.27722356549524,"Continuous"
"7","enylpalmitoyl2oleoylGPEP160181",-0.0568190848808991,0.118,0.629375864570794,"Continuous"
"8","enylpalmitoyl2palmitoleoylGPCP160161",-0.0279901318498636,0.122,0.819142137318988,"Continuous"
"9","enylpalmitoyl2palmitoylGPCP160160",-0.00639279723816579,0.128,0.960054029883291,"Continuous"
"10","enylpalmitoylGPCP160",-0.0173121491411527,0.104,0.868050665274284,"Continuous"
"11","enylpalmitoylGPEP160",0.0157964677349755,0.107,0.883095395829355,"Continuous"
"12","enylstearoyl2arachidonoylGPEP180204",-0.044793476158275,0.113,0.690845919116918,"Continuous"
"13","enylstearoyl2linoleoylGPEP180182",-0.0324243028704848,0.114,0.775922928412128,"Continuous"
"14","enylstearoyl2oleoylGPEP180181",-0.0232205653426678,0.136,0.864256072416336,"Continuous"
"15","enylstearoylGPEP180",0.000190320781437689,0.102,0.998506491906529,"Continuous"
"16","dilinoleoylGPC182182",-0.0725467098588434,0.107,0.499089932571887,"Continuous"
"17","dipalmitoylGPC160160",0.0268184637153869,0.113,0.812745779201677,"Continuous"
"18","dimethylurate13",-0.0914811293529248,0.102,0.370374032728943,"Continuous"
"19","anhydroglucitol15AG",-0.144613584675225,0.098,0.138414381313815,"Continuous"
"20","dimethylurate17",-0.0138800440260997,0.1,0.889312562657248,"Continuous"
"21","heptadecenoate171n7",0.091023117977153,0.108,0.397458670430251,"Continuous"
"22","nonadecenoate191n9",0.124938421880647,0.107,0.241208330319797,"Continuous"
"23","undecenoate111n1",0.157381185591207,0.109,0.149539677330647,"Continuous"
"24","DiHOME1213",0.146890210267759,0.114,0.196224712524363,"Continuous"
"25","HETE",0.157934439999539,0.124,0.204413191772476,"Continuous"
"26","HODE9HODE",0.0122372833883797,0.1,0.902611102662405,"Continuous"
"27","ahydroxyDHEA3sulfate",-0.135614807128946,0.105,0.194589545991252,"Continuous"
"28","hydroxypalmitate16",-0.0983865376278479,0.109,0.366216579651814,"Continuous"
"29","methylstearate",0.0750548167772881,0.114,0.509387793519287,"Continuous"
"30","arachidonoylGPA204",0.171272086830492,0.096,0.073098065783632,"Continuous"
"31","arachidonoylGPC204n6",-0.0798199966311544,0.101,0.430803728066533,"Continuous"
"32","arachidonoylGPE204n6",-0.0441203814510079,0.105,0.673012712620618,"Continuous"
"33","arachidonoylGPI204",-0.136564093150173,0.098,0.161889471878156,"Continuous"
"34","arachidonylglycerol204",0.0501790176249363,0.102,0.622331230945848,"Continuous"
"35","dihomolinolenylglycerol203",0.0461380842380734,0.093,0.619889146452711,"Continuous"
"36","docosahexaenoylglycerol226",0.329635987885695,0.119,0.00559473924562943,"Continuous"
"37","lignoceroylGPC240",-0.146986942683894,0.103,0.151657691699791,"Continuous"
"38","linolenoylglycerol183",0.155307157816871,0.098,0.11236209408768,"Continuous"
"39","linolenoylGPC183",0.0626134836302014,0.086,0.465938724583145,"Continuous"
"40","linoleoyl2arachidonoylGPC182204n6",-0.177082732636956,0.11,0.107263501655957,"Continuous"
"41","linoleoyl2linolenoylGPC182183",-0.0334204104550637,0.108,0.756845593366184,"Continuous"
"42","linoleoylglycerol1821",0.133361209334058,0.097,0.171355237296944,"Continuous"
"43","linoleoylGPA182",0.00934775830199891,0.098,0.92376904181118,"Continuous"
"44","linoleoylGPC182",-0.0619970699990751,0.104,0.54937692848613,"Continuous"
"45","linoleoylGPE182",-0.0307897777373267,0.093,0.740230627008195,"Continuous"
"46","linoleoylGPG182",-0.0791852223424287,0.096,0.410111543551031,"Continuous"
"47","linoleoylGPI182",-0.112815421534803,0.098,0.249322486944084,"Continuous"
"48","N1methyladenosine",0.102588309698423,0.111,0.354141593412519,"Continuous"
"49","methylhistamine",-0.108454831266191,0.114,0.340412546359659,"Continuous"
"50","methylhistidine1",-0.00182536336064618,0.096,0.984763329897266,"Continuous"
"51","methylimidazoleacetate",-0.0463455660416693,0.112,0.678608388842956,"Continuous"
"52","methylnicotinamide",-0.11274258896808,0.1,0.261820610057097,"Continuous"
"53","methylxanthine1",-0.215121683945482,0.105,0.0396582471376556,"Continuous"
"54","myristoylglycerol140",0.205450025057838,0.097,0.0336946601265904,"Continuous"
"55","oleoylglycerol181",0.217544942908547,0.103,0.0349101875873236,"Continuous"
"56","oleoylGPC181",-0.109892824880155,0.094,0.244531637527381,"Continuous"
"57","oleoylGPE181",-0.0225379076988754,0.108,0.834257783099412,"Continuous"
"58","oleoylGPI181",-0.170298573916056,0.097,0.0784940654932532,"Continuous"
"59","palmitoleoyl2linolenoylGPC161183",-0.0851403696375635,0.097,0.377694192986519,"Continuous"
"60","palmitoleoylglycerol161",0.186484902360522,0.09,0.037687338928309,"Continuous"
"61","palmitoleoylGPC161",-0.0326012023881423,0.09,0.717547875239762,"Continuous"
"62","palmitoyl2arachidonoylGPC160204n6",-0.0378498861083628,0.115,0.741177908177659,"Continuous"
"63","palmitoyl2arachidonoylGPE160204",0.113421813051322,0.107,0.289811047554626,"Continuous"
"64","palmitoyl2arachidonoylGPI160204",0.112572502397877,0.086,0.190521518671067,"Continuous"
"65","palmitoyl2linoleoylGPC160182",0.0579098779238384,0.108,0.590516973072009,"Continuous"
"66","palmitoyl2linoleoylGPE160182",0.161895203442577,0.101,0.108351164252409,"Continuous"
"67","palmitoyl2linoleoylGPI160182",0.0793044910644161,0.099,0.422004209011089,"Continuous"
"68","palmitoyl2oleoylGPC160181",0.0290392149288429,0.108,0.788652502772594,"Continuous"
"69","palmitoyl2oleoylGPE160181",0.141190495493886,0.106,0.183761592765914,"Continuous"
"70","palmitoyl2oleoylGPI160181",0.0476814962797935,0.097,0.622766967093844,"Continuous"
"71","palmitoyl2palmitoleoylGPC160161",0.0438940430492618,0.095,0.64292402744902,"Continuous"
"72","palmitoyl2stearoylGPC160180",0.0609810183161871,0.124,0.622485250566988,"Continuous"
"73","palmitoylglycerol160",0.260569698819637,0.102,0.0109544417669769,"Continuous"
"74","palmitoylGPA160",0.122642141984587,0.105,0.244444948022766,"Continuous"
"75","palmitoylGPC1601",-0.0199229403024663,0.106,0.851206669517976,"Continuous"
"76","palmitoylGPE160",0.185598676512617,0.108,0.0858133213084541,"Continuous"
"77","palmitoylGPG160",0.0756722899546673,0.093,0.417477533021707,"Continuous"
"78","palmitoylGPI160",-0.100530096429114,0.092,0.276470840687263,"Continuous"
"79","pentadecanoylglycerol150",-0.00798229085373336,0.103,0.938240223284487,"Continuous"
"80","stearoyl2arachidonoylGPC180204",-0.0332338933305144,0.122,0.785393752623069,"Continuous"
"81","stearoyl2arachidonoylGPE180204",0.131008356886218,0.112,0.241749997462792,"Continuous"
"82","stearoyl2arachidonoylGPI180204",0.0110207064582225,0.109,0.919105771788825,"Continuous"
"83","stearoyl2linoleoylGPC180182",0.0550052817265012,0.113,0.627144957847127,"Continuous"
"84","stearoyl2linoleoylGPE180182",0.167737409451168,0.108,0.121303118634768,"Continuous"
"85","stearoyl2linoleoylGPI180182",0.0167311350246099,0.104,0.872545270102754,"Continuous"
"86","stearoyl2oleoylGPC180181",0.0846962748933036,0.121,0.484179209170969,"Continuous"
"87","stearoyl2oleoylGPE180181",0.158244174063889,0.122,0.193008789329491,"Continuous"
"88","stearoyl2oleoylGPI180181",0.0312595651406387,0.108,0.771713544188564,"Continuous"
"89","stearoyl2oleoylGPS180181",-0.107923450413324,0.114,0.342664162510263,"Continuous"
"90","stearoylGPC180",-0.00772699527653788,0.103,0.940048791088066,"Continuous"
"91","stearoylGPE1801",0.11619426108133,0.101,0.248365987511634,"Continuous"
"92","stearoylGPI180",-0.132727262144726,0.108,0.218637485650675,"Continuous"
"93","dihydroxy2methylbutyrate",0.0189395394831687,0.109,0.862156488041342,"Continuous"
"94","dihydroxyisovalerate",0.126890304697203,0.117,0.278639430152355,"Continuous"
"95","hydroxypregnenolonedisulfate",-0.17293336270774,0.113,0.12701001975627,"Continuous"
"96","aminoadipate",-0.00452047387774901,0.115,0.968593631211867,"Continuous"
"97","aminobutyrate",0.044561828070959,0.088,0.611207798374152,"Continuous"
"98","aminoheptanoate",0.211477367648686,0.101,0.0368962194843325,"Continuous"
"99","aminooctanoate",-0.0753811589255982,0.098,0.441906408251941,"Continuous"
"100","aminophenolsulfate",-0.105401393949648,0.096,0.272728387607285,"Continuous"
"101","deoxyuridine",0.00714917868558511,0.101,0.943660028694341,"Continuous"
"102","hydroxy3methylvalerate",0.0782775748434565,0.119,0.511517144694242,"Continuous"
"103","hydroxybutyrate2hydroxyisobutyrate",0.143371818694507,0.082,0.0807050105817741,"Continuous"
"104","hydroxydecanoate2",0.186039321858788,0.1,0.0627108977945695,"Continuous"
"105","hydroxyglutarate",-0.146587378928964,0.094,0.119204591408434,"Continuous"
"106","hydroxyhippuratesalicylurate",-0.141060337022018,0.113,0.211902633406038,"Continuous"
"107","hydroxyoctanoate2",0.0488841597556719,0.091,0.592370961819903,"Continuous"
"108","hydroxypalmitate2",-0.148717612900733,0.089,0.0943503176162636,"Continuous"
"109","hydroxyphenylacetate2",0.213042919361918,0.102,0.0365875320948914,"Continuous"
"110","hydroxystearate",-0.158373307387161,0.092,0.0848844605338532,"Continuous"
"111","keto3deoxygluconate",0.172599448629664,0.098,0.0770868107286482,"Continuous"
"112","linoleoylglycerol1822",-0.019328601955134,0.101,0.847611552370936,"Continuous"
"113","methylbutyrylcarnitineC5",0.0740354833232716,0.086,0.389476072624943,"Continuous"
"114","methylcitratehomocitrate",-0.0923588084394484,0.097,0.338696869756328,"Continuous"
"115","Omethylcytidine",-0.150838453734103,0.088,0.0857064754903968,"Continuous"
"116","Omethyluridine",-0.107264548728481,0.098,0.272369660063465,"Continuous"
