"","metabolite","beta","se","p_val","metabolite_model"
"1","enyloleoylGPEP181",-0.00193842659416352,0.169407962332258,0.990870518236245,"Continuous"
"2","enylpalmitoyl2arachidonoylGPCP160204",0.190550123039959,0.164096771114294,0.245558215005051,"Continuous"
"3","enylpalmitoyl2arachidonoylGPEP160204",0.331888996282118,0.166673601971214,0.0464532865386593,"Continuous"
"4","enylpalmitoyl2linoleoylGPCP160182",0.132054796721302,0.18368197329628,0.47218299206024,"Continuous"
"5","enylpalmitoyl2linoleoylGPEP160182",0.36194312446813,0.191469098882044,0.058711505468426,"Continuous"
"6","enylpalmitoyl2oleoylGPCP160181",-0.0181707642547713,0.174912770153738,0.917260832698753,"Continuous"
"7","enylpalmitoyl2oleoylGPEP160181",0.24855802071922,0.216284756856707,0.250466700804595,"Continuous"
"8","enylpalmitoyl2palmitoleoylGPCP160161",-0.0188162513001787,0.173955614568365,0.913863247330613,"Continuous"
"9","enylpalmitoyl2palmitoylGPCP160160",0.0841526009679756,0.18896153930998,0.656072271646267,"Continuous"
"10","enylpalmitoylGPCP160",0.0866062702971804,0.193585664676927,0.654601028404266,"Continuous"
"11","enylpalmitoylGPEP160",0.0875620417839834,0.192885332235213,0.649858302369049,"Continuous"
"12","enylstearoyl2arachidonoylGPEP180204",0.263159207755781,0.16195498189031,0.104185766127004,"Continuous"
"13","enylstearoyl2linoleoylGPEP180182",0.323715026574387,0.20508421303932,0.114462433570783,"Continuous"
"14","enylstearoyl2oleoylGPEP180181",0.204899213580742,0.210800198136313,0.331047195029826,"Continuous"
"15","enylstearoylGPEP180",0.0123583463892428,0.165824938359464,0.940591484055117,"Continuous"
"16","dilinoleoylGPC182182",0.229804147301517,0.179982747196678,0.201668596775247,"Continuous"
"17","dipalmitoylGPC160160",0.218209893292321,0.178386611689928,0.221238523167866,"Continuous"
"18","dimethylurate13",-0.480812578683904,0.177116415744303,0.00663418880255148,"Continuous"
"19","anhydroglucitol15AG",-0.171400675582262,0.192218337225148,0.372554913096059,"Continuous"
"20","dimethylurate17",-0.356248911436402,0.193199415934898,0.0651912960616322,"Continuous"
"21","heptadecenoate171n7",0.140960476754486,0.203994508925992,0.489564705933213,"Continuous"
"22","nonadecenoate191n9",0.158367121152373,0.217159721145683,0.465839191261006,"Continuous"
"23","undecenoate111n1",0.235557394142978,0.161290083172743,0.144164239306591,"Continuous"
"24","DiHOME1213",0.310959141596437,0.176032658029651,0.0773144286152436,"Continuous"
"25","HETE",-0.145339941404827,0.191452412420514,0.447766448241645,"Continuous"
"26","HODE9HODE",-0.306012458814113,0.170750080293503,0.0731064069343166,"Continuous"
"27","ahydroxyDHEA3sulfate",-0.237423677773698,0.175111762017975,0.175149815299405,"Continuous"
"28","hydroxypalmitate16",-0.178156813343184,0.185725068928766,0.337432706218795,"Continuous"
"29","methylstearate",0.210068283170711,0.202658503925314,0.299939618779429,"Continuous"
"30","arachidonoylGPA204",0.240699612916368,0.160997941102654,0.13490197532147,"Continuous"
"31","arachidonoylGPC204n6",-0.0661446168243789,0.196522471759909,0.736437052017871,"Continuous"
"32","arachidonoylGPE204n6",0.0179586648845777,0.177360261987609,0.919347806579823,"Continuous"
"33","arachidonoylGPI204",0.255997488220588,0.16459183605825,0.119863348460907,"Continuous"
"34","arachidonylglycerol204",0.0763741814983908,0.163937931798712,0.641306734242118,"Continuous"
"35","dihomolinolenylglycerol203",0.186841259236875,0.165534648289422,0.259018541694742,"Continuous"
"36","docosahexaenoylglycerol226",0.358447126045838,0.171943602206716,0.0370984960065558,"Continuous"
"37","lignoceroylGPC240",0.01462400130653,0.174790475251797,0.93332207499114,"Continuous"
"38","linolenoylglycerol183",0.364962076939885,0.173358276056219,0.0352697696380065,"Continuous"
"39","linolenoylGPC183",0.0749438821434686,0.168576810632081,0.656631863143057,"Continuous"
"40","linoleoyl2arachidonoylGPC182204n6",0.349897098190467,0.167754934634606,0.0370000627823121,"Continuous"
"41","linoleoyl2linolenoylGPC182183",0.177097794635472,0.157813465959698,0.261778697142725,"Continuous"
"42","linoleoylglycerol1821",0.352171373456614,0.166199608833104,0.0340933134168643,"Continuous"
"43","linoleoylGPA182",0.0989808221581666,0.178606249076394,0.579452556977975,"Continuous"
"44","linoleoylGPC182",0.0235249475390856,0.176733020878418,0.894106318966156,"Continuous"
"45","linoleoylGPE182",0.0289099086241834,0.200149129421173,0.885151579277275,"Continuous"
"46","linoleoylGPG182",0.0333466822326395,0.16384124073831,0.838720444360047,"Continuous"
"47","linoleoylGPI182",0.0938656185871957,0.166023425464332,0.571818215641563,"Continuous"
"48","N1methyladenosine",0.00928015827777357,0.174479617428467,0.957582407186909,"Continuous"
"49","methylhistamine",-0.196692402746791,0.187517120293774,0.294210165667997,"Continuous"
"50","methylhistidine1",0.170696666001053,0.169867344260868,0.314953589545631,"Continuous"
"51","methylimidazoleacetate",-0.0112398632229223,0.17389634961256,0.948464284277741,"Continuous"
"52","methylnicotinamide",0.29898365324302,0.163172605877021,0.0669044671645216,"Continuous"
"53","methylxanthine1",-0.33842635600786,0.178488302164455,0.0579507586056845,"Continuous"
"54","myristoylglycerol140",0.399068232685139,0.15583470781627,0.0104418508771069,"Continuous"
"55","oleoylglycerol181",0.173559744791504,0.172736010200932,0.315008215427131,"Continuous"
"56","oleoylGPC181",-0.140169106116416,0.168351548479985,0.405071676497028,"Continuous"
"57","oleoylGPE181",-0.0152012169133952,0.196530763989058,0.938346887379896,"Continuous"
"58","oleoylGPI181",0.126537457636589,0.15962882697146,0.427953774831405,"Continuous"
"59","palmitoleoyl2linolenoylGPC161183",0.275188250486501,0.196823733039171,0.162069327230326,"Continuous"
"60","palmitoleoylglycerol161",0.245742694265955,0.170009659742986,0.148327843148925,"Continuous"
"61","palmitoleoylGPC161",-0.0281425618798619,0.169952184549486,0.868478785603437,"Continuous"
"62","palmitoyl2arachidonoylGPC160204n6",0.169499885338085,0.173540469394444,0.328709394455379,"Continuous"
"63","palmitoyl2arachidonoylGPE160204",0.0330707238590123,0.197288567129451,0.866877393920328,"Continuous"
"64","palmitoyl2arachidonoylGPI160204",0.142131254948551,0.16298468047925,0.38317954711555,"Continuous"
"65","palmitoyl2linoleoylGPC160182",0.295564889232978,0.166085228337041,0.0751418240067786,"Continuous"
"66","palmitoyl2linoleoylGPE160182",0.161396324670133,0.186112276750139,0.385833147800183,"Continuous"
"67","palmitoyl2linoleoylGPI160182",0.172249760343981,0.187620886012048,0.358580396200364,"Continuous"
"68","palmitoyl2oleoylGPC160181",0.0882506938121409,0.196004914359,0.652532095846952,"Continuous"
"69","palmitoyl2oleoylGPE160181",0.0668514180157399,0.194846685402605,0.731525083362634,"Continuous"
"70","palmitoyl2oleoylGPI160181",0.0146189084504542,0.198644302162418,0.941333927488179,"Continuous"
"71","palmitoyl2palmitoleoylGPC160161",0.0449453208352163,0.188397100971785,0.811441399110162,"Continuous"
"72","palmitoyl2stearoylGPC160180",0.32421487289328,0.160577982440964,0.0434820892998168,"Continuous"
"73","palmitoylglycerol160",0.348458135488074,0.157462431678397,0.0269003716637093,"Continuous"
"74","palmitoylGPA160",0.371495875544909,0.164812566541859,0.0241929806932738,"Continuous"
"75","palmitoylGPC1601",0.0807736354385111,0.15721729116961,0.607412325526329,"Continuous"
"76","palmitoylGPE160",0.00117632812790045,0.195661089978371,0.995203091234438,"Continuous"
"77","palmitoylGPG160",0.0991225814009335,0.194756381769081,0.610782517484783,"Continuous"
"78","palmitoylGPI160",0.193827166272614,0.153238850965826,0.205918071490949,"Continuous"
"79","pentadecanoylglycerol150",0.367323319296829,0.163079506005828,0.0242958288148609,"Continuous"
"80","stearoyl2arachidonoylGPC180204",0.102608384089995,0.178973662741224,0.566431057810688,"Continuous"
"81","stearoyl2arachidonoylGPE180204",0.147778834151962,0.180576362889593,0.413144188777211,"Continuous"
"82","stearoyl2arachidonoylGPI180204",0.180378932993383,0.162080907661205,0.265753789382929,"Continuous"
"83","stearoyl2linoleoylGPC180182",0.309185268826784,0.172310657400272,0.0727576547588749,"Continuous"
"84","stearoyl2linoleoylGPE180182",0.300449130734089,0.183908710395611,0.102324747766922,"Continuous"
"85","stearoyl2linoleoylGPI180182",0.154109646477954,0.168858073675116,0.361422518621922,"Continuous"
