"","metabolite","beta","se","p_val","metabolite_model"
"640","enyloleoylGPEP181",0.0262289696490822,0.129841563761153,0.839910861157635,"Continuous"
"641","enylpalmitoyl2arachidonoylGPCP160204",-0.157618189729572,0.119067659208635,0.18557945773313,"Continuous"
"642","enylpalmitoyl2arachidonoylGPEP160204",-0.117437295859776,0.12396391722836,0.343460136273984,"Continuous"
"643","enylpalmitoyl2linoleoylGPCP160182",-0.169826840717214,0.133967818511007,0.204916205887462,"Continuous"
"644","enylpalmitoyl2linoleoylGPEP160182",-0.123031947649817,0.129832065221746,0.343321034399722,"Continuous"
"645","enylpalmitoyl2oleoylGPCP160181",-0.113145409705361,0.150927366202678,0.453454713085681,"Continuous"
"646","enylpalmitoyl2oleoylGPEP160181",-0.162682264676609,0.124021575666834,0.189612766034985,"Continuous"
"647","enylpalmitoyl2palmitoleoylGPCP160161",0.00537836801883413,0.145403138222823,0.970493494942731,"Continuous"
"648","enylpalmitoyl2palmitoylGPCP160160",0.0133418649727567,0.148507140306246,0.928414449649335,"Continuous"
"649","enylpalmitoylGPCP160",0.0151104880510467,0.127481905768005,0.905647367094542,"Continuous"
"650","enylpalmitoylGPEP160",0.0178080907740284,0.133742147900749,0.894072838286492,"Continuous"
"651","enylstearoyl2arachidonoylGPEP180204",-0.143954113086838,0.136259375814785,0.290752969097107,"Continuous"
"652","enylstearoyl2linoleoylGPEP180182",-0.130073470236081,0.128425904884558,0.311141885614715,"Continuous"
"653","enylstearoyl2oleoylGPEP180181",-0.131682288867976,0.147970791295597,0.373508400234638,"Continuous"
"654","enylstearoylGPEP180",0.0213011893356883,0.127496472010573,0.867312787589413,"Continuous"
"655","dilinoleoylGPC182182",-0.116096133204687,0.124410274854244,0.350731384033605,"Continuous"
"656","dipalmitoylGPC160160",-0.0474332988230828,0.127956176282331,0.710861314736285,"Continuous"
"657","dimethylurate13",0.0113494661396662,0.107892542850786,0.916223210206477,"Continuous"
"658","anhydroglucitol15AG",-0.0896135450006168,0.125585772289531,0.475496534549671,"Continuous"
"659","dimethylurate17",0.0434280534960476,0.106428665236446,0.683238093915032,"Continuous"
"660","heptadecenoate171n7",0.0333819981905518,0.123817947820082,0.787463778172397,"Continuous"
"661","nonadecenoate191n9",0.0723210456107661,0.115249158727244,0.530319035743409,"Continuous"
"662","undecenoate111n1",0.140881888211016,0.122560280845061,0.250353749188632,"Continuous"
"663","DiHOME1213",0.123199059463361,0.125075606118181,0.324625691194271,"Continuous"
"664","HETE",0.229983500211877,0.132796338564634,0.0833000567980049,"Continuous"
"665","HODE9HODE",0.103408789806621,0.116881714754704,0.376302131419993,"Continuous"
"666","ahydroxyDHEA3sulfate",-0.109581102830497,0.123060734594613,0.373217013537968,"Continuous"
"667","hydroxypalmitate16",-0.078563614481948,0.116856121259788,0.501385953113645,"Continuous"
"668","methylstearate",0.00495737823305588,0.128850464328939,0.96930985104279,"Continuous"
"669","arachidonoylGPA204",0.146091709346444,0.11025682274178,0.185166882083913,"Continuous"
"670","arachidonoylGPC204n6",-0.0496851714392583,0.113925525546018,0.662749850234406,"Continuous"
"671","arachidonoylGPE204n6",-0.0475786338330952,0.126373374310767,0.706550753677943,"Continuous"
"672","arachidonoylGPI204",-0.283182746004612,0.109655295830321,0.00980926907829535,"Continuous"
"673","arachidonylglycerol204",0.0633589481692749,0.123414485760196,0.607683155906705,"Continuous"
"674","dihomolinolenylglycerol203",-0.00577144830802247,0.120191433756156,0.961701260393338,"Continuous"
"675","docosahexaenoylglycerol226",0.317961473754523,0.148178857968225,0.0318893263041149,"Continuous"
"676","lignoceroylGPC240",-0.153305253499138,0.124398055191545,0.217808434227006,"Continuous"
"677","linolenoylglycerol183",0.0770649835529944,0.113665279768157,0.497772117882597,"Continuous"
"678","linolenoylGPC183",0.0756119576612943,0.0989620935052797,0.444837626816821,"Continuous"
"679","linoleoyl2arachidonoylGPC182204n6",-0.28910620190815,0.126531339233393,0.0223211279970646,"Continuous"
"680","linoleoyl2linolenoylGPC182183",-0.0748383569704741,0.124609182398785,0.548116692274378,"Continuous"
"681","linoleoylglycerol1821",0.0844146438591721,0.113847213340152,0.458406648627039,"Continuous"
"682","linoleoylGPA182",-0.00474214805193751,0.112794252298148,0.966464848343066,"Continuous"
"683","linoleoylGPC182",-0.0334274086097066,0.116054399630547,0.773322060494671,"Continuous"
"684","linoleoylGPE182",-0.0293440092166483,0.109869817020606,0.789407716884151,"Continuous"
"685","linoleoylGPG182",-0.13423779301626,0.117077488419898,0.251558473110445,"Continuous"
"686","linoleoylGPI182",-0.179814273062039,0.109785597609995,0.101449316462656,"Continuous"
"687","N1methyladenosine",0.17262131277233,0.168380006260014,0.305274066453505,"Continuous"
"688","methylhistamine",-0.0637164357287644,0.124332834852914,0.608324430555676,"Continuous"
"689","methylhistidine1",-0.0189679735793031,0.121396036140971,0.875836986197722,"Continuous"
"690","methylimidazoleacetate",0.0164904971940799,0.162999057232024,0.919416082903024,"Continuous"
"691","methylnicotinamide",-0.229638521108869,0.121018471717764,0.0577554733422899,"Continuous"
"692","methylxanthine1",-0.200509153855646,0.110762962842467,0.0702563267598584,"Continuous"
"693","myristoylglycerol140",0.138739007840134,0.113084304953949,0.219873893667952,"Continuous"
"694","oleoylglycerol181",0.195437321745274,0.128342692711909,0.127814464815284,"Continuous"
"695","oleoylGPC181",-0.0758988919935728,0.11809250995906,0.52041418750478,"Continuous"
"696","oleoylGPE181",-0.0203024920652671,0.125658469963718,0.871645404224728,"Continuous"
"697","oleoylGPI181",-0.268628013058474,0.112925272417914,0.0173685232855099,"Continuous"
"698","palmitoleoyl2linolenoylGPC161183",-0.153208486397704,0.112560639441613,0.173475913837806,"Continuous"
"699","palmitoleoylglycerol161",0.134268788432576,0.110280875270002,0.223407751600844,"Continuous"
"700","palmitoleoylGPC161",-0.0425057399514775,0.106604160959213,0.690095873419298,"Continuous"
"701","palmitoyl2arachidonoylGPC160204n6",-0.114992773438622,0.13059966131512,0.378589451952204,"Continuous"
"702","palmitoyl2arachidonoylGPE160204",0.119819696680588,0.129486902941234,0.354787930018602,"Continuous"
"703","palmitoyl2arachidonoylGPI160204",0.0449722793866195,0.106022432617336,0.671436719564654,"Continuous"
"704","palmitoyl2linoleoylGPC160182",-0.0191505506876919,0.122926834900716,0.876199969870044,"Continuous"
"705","palmitoyl2linoleoylGPE160182",0.142464422188266,0.123460756474891,0.248531022387131,"Continuous"
"706","palmitoyl2linoleoylGPI160182",0.0113333475184124,0.109369887356289,0.917467724178377,"Continuous"
"707","palmitoyl2oleoylGPC160181",-0.0299153598113647,0.126481163055738,0.813028974246202,"Continuous"
"708","palmitoyl2oleoylGPE160181",0.124859910484964,0.132094847266185,0.344541860767722,"Continuous"
"709","palmitoyl2oleoylGPI160181",0.00703581676590753,0.107115921568577,0.947629302730019,"Continuous"
"710","palmitoyl2palmitoleoylGPC160161",-0.0224222684701293,0.11095021712887,0.839843976189481,"Continuous"
"711","palmitoyl2stearoylGPC160180",-0.00931015685465762,0.141079910352948,0.947384130253993,"Continuous"
"712","palmitoylglycerol160",0.211987714683436,0.129592352226406,0.101880571732684,"Continuous"
"713","palmitoylGPA160",0.0606614390636081,0.124480204840644,0.626033024448251,"Continuous"
"714","palmitoylGPC1601",-0.0479209669299898,0.122352757853571,0.695307722751283,"Continuous"
"715","palmitoylGPE160",0.239283426739652,0.124816372012605,0.0552273047056424,"Continuous"
"716","palmitoylGPG160",0.037838742273827,0.108811776272559,0.72803175938919,"Continuous"
"717","palmitoylGPI160",-0.226313763982343,0.105751966318327,0.0323512851863904,"Continuous"
"718","pentadecanoylglycerol150",-0.0836135376766628,0.120306811246373,0.487053718723126,"Continuous"
"719","stearoyl2arachidonoylGPC180204",-0.080638056809071,0.141625401370111,0.56910122910448,"Continuous"
"720","stearoyl2arachidonoylGPE180204",0.10963752021656,0.138916056797635,0.429974222652133,"Continuous"
"721","stearoyl2arachidonoylGPI180204",-0.0795092987777338,0.131659058579358,0.54590814261581,"Continuous"
"722","stearoyl2linoleoylGPC180182",-0.0227773477995301,0.136687147121633,0.867654460410716,"Continuous"
"723","stearoyl2linoleoylGPE180182",0.100030809961961,0.138422720761105,0.469896580397915,"Continuous"
"724","stearoyl2linoleoylGPI180182",-0.0347309095899314,0.120410141799832,0.773011171166437,"Continuous"
"725","stearoyl2oleoylGPC180181",0.0284067062340913,0.14611668999673,0.845854000242352,"Continuous"
"726","stearoyl2oleoylGPE180181",0.0769916198338595,0.156388801586892,0.622500894703688,"Continuous"
"727","stearoyl2oleoylGPI180181",-0.0163483056923341,0.125949675003158,0.896724424979743,"Continuous"
"728","stearoyl2oleoylGPS180181",-0.149294509613461,0.123699283095578,0.227464913483516,"Continuous"
"729","stearoylGPC180",-0.0230373502134576,0.11946581948321,0.84708715006241,"Continuous"
"730","stearoylGPE1801",0.138460115340669,0.118969870011076,0.24449491685972,"Continuous"
"731","stearoylGPI180",-0.265613303268078,0.123889024360904,0.0320359686668191,"Continuous"
"732","dihydroxy2methylbutyrate",0.0989118154140253,0.13447222132871,0.462001101187119,"Continuous"
"733","dihydroxyisovalerate",0.218270931478067,0.14523830889325,0.132878547770414,"Continuous"
"734","hydroxypregnenolonedisulfate",-0.170575530868524,0.144887495610893,0.239077212619953,"Continuous"
"735","aminoadipate",-0.174970069330843,0.14130649906411,0.215630468101416,"Continuous"
"736","aminobutyrate",0.0228490939641744,0.10961750266399,0.834882423082687,"Continuous"
"737","aminoheptanoate",0.317927994005585,0.126586400710056,0.0120202473663497,"Continuous"
"738","aminooctanoate",0.000329503810143785,0.103483648529351,0.997459448305823,"Continuous"
"739","aminophenolsulfate",-0.0938878397001186,0.113633130059874,0.408669946648464,"Continuous"
"740","deoxyuridine",0.0297432397826579,0.119655690044678,0.803690669603865,"Continuous"
"741","hydroxy3methylvalerate",0.0951697178489229,0.137128130602855,0.487669425736734,"Continuous"
"742","hydroxybutyrate2hydroxyisobutyrate",0.0672235949299405,0.0938468593468132,0.473798959389555,"Continuous"
"743","hydroxydecanoate2",0.233516878863514,0.111338624730482,0.0359619568133456,"Continuous"
"744","hydroxyglutarate",-0.0940040051391117,0.101885948573117,0.356195080853684,"Continuous"
"745","hydroxyhippuratesalicylurate",-0.236816394488122,0.132900527017193,0.0747643803175965,"Continuous"
"746","hydroxyoctanoate2",0.121577899599074,0.10493505637728,0.246618712070843,"Continuous"
"747","hydroxypalmitate2",-0.231972801451094,0.0938766774953792,0.0134721646526108,"Continuous"
"748","hydroxyphenylacetate2",0.245295742129711,0.121890503667145,0.0441749434000321,"Continuous"
"749","hydroxystearate",-0.253221511818119,0.103997681463247,0.0148968726758208,"Continuous"
"750","keto3deoxygluconate",0.185874528920016,0.118000495479762,0.115209996936351,"Continuous"
"751","linoleoylglycerol1822",-0.0584534505019288,0.122652392687825,0.633662544963937,"Continuous"
"752","methylbutyrylcarnitineC5",-0.0213804352484527,0.121811694447036,0.860670756160373,"Continuous"
"753","methylcitratehomocitrate",-0.112229929114043,0.109033995978711,0.303333393574595,"Continuous"
"754","Omethylcytidine",-0.0176578326824453,0.108783519144928,0.871053200907616,"Continuous"
"755","Omethyluridine",-0.0313390528060412,0.118480501206467,0.791388420571873,"Continuous"
"756","oxindole3acetate",-0.0702586604664181,0.121137255422425,0.561919893448076,"Continuous"
"757","oxoarginine",-0.0630073981825453,0.109993564187574,0.566761129114004,"Continuous"
"758","palmitoylGPC1602",-0.149074721628252,0.103546800816039,0.149956687503961,"Continuous"
"759","piperidinone",0.146577918488314,0.0942763283901838,0.120001080310455,"Continuous"
"760","pyrrolidinone",0.0667959075607226,0.13306011633615,0.615668952782015,"Continuous"
"761","stearoylGPE1802",0.0547709314226023,0.1234129454064,0.657185628490503,"Continuous"
"762","hydroxyphenyllactate",0.0900608079000485,0.119874828680796,0.452477905887404,"Continuous"
"763","aminoisobutyrate",-0.048234344200177,0.109270001079597,0.658906446521486,"Continuous"
"764","betahydroxy5cholestenoate",0.0954764842224302,0.136618451830705,0.484642670421687,"Continuous"
"765","bhydroxy5cholenoicacid",-0.0451807390438576,0.125136191206257,0.718060174883128,"Continuous"
"766","carboxy4methyl5propyl2furanpropanoateCMPF",0.218715974149228,0.134676670968797,0.10437412798592,"Continuous"
"767","hydroxy2ethylpropionate",-0.0530188328527883,0.127420720867442,0.677342165351261,"Continuous"
"768","hydroxy3methylglutarate",0.152642793279844,0.128446455247943,0.234684974631438,"Continuous"
"769","hydroxybutyrateBHBA",0.0335308810031624,0.120499642227402,0.780808635299174,"Continuous"
"770","hydroxybutyrylcarnitine1",0.136929767349078,0.112123278948176,0.221994035265002,"Continuous"
"771","hydroxybutyrylcarnitine2",0.21588617020899,0.129880645687884,0.0964749008829294,"Continuous"
"772","hydroxydecanoate3",0.120535544709304,0.112793433122201,0.285232035717651,"Continuous"
"773","hydroxyhexanoate3",0.09827260961257,0.124603135647615,0.430296204769371,"Continuous"
"774","hydroxyhippurate3",0.104549180397669,0.108217895884658,0.333994740123409,"Continuous"
"775","hydroxyisobutyrate",-0.0967391337940739,0.108376674675475,0.372060969754184,"Continuous"
"776","hydroxylaurate",0.135437600818215,0.110793393576778,0.221543584021685,"Continuous"
"777","hydroxyoctanoate3",0.137374887967783,0.120155866342003,0.252911685479294,"Continuous"
"778","hydroxypyridinesulfate",-0.270692081567968,0.12692895950856,0.0329553654399163,"Continuous"
"779","hydroxysebacate",0.0375318453191939,0.124226255942262,0.762556850391907,"Continuous"
"780","indoxylsulfate",0.0804472017349584,0.102568351979524,0.432847837696404,"Continuous"
"781","methoxycatecholsulfate1",-0.0143277571724336,0.116995160039624,0.902531136240405,"Continuous"
"782","methoxytyraminesulfate",0.0294882811199153,0.115037716539693,0.797691582770831,"Continuous"
"783","methoxytyrosine",0.117013632164654,0.10783374769055,0.277864092031858,"Continuous"
"784","methylcatecholsulfate1",-0.182743210932981,0.136201660941565,0.179689851815507,"Continuous"
"785","methyl2oxobutyrate",0.00784916382439561,0.12475503180057,0.949832907268419,"Continuous"
"786","methyl2oxovalerate",0.0409627170169202,0.113191404080632,0.717435026662181,"Continuous"
"787","methylglutaconate",0.0318073445026825,0.109444005715563,0.771336877364794,"Continuous"
"788","methylglutarylcarnitine2",0.0807630534369228,0.118318697045746,0.494866520922636,"Continuous"
"789","methylhistidine3",-0.0983502081197125,0.130666608967344,0.451641932671049,"Continuous"
"790","methylxanthine3",0.20645261154106,0.121786755327622,0.0900379479764676,"Continuous"
"791","phenylpropionatehydrocinnamate",-0.145406249569938,0.12399601967045,0.240928693106138,"Continuous"
"792","ureidopropionate",-0.0692204906963248,0.11105046770968,0.533071221474111,"Continuous"
"793","acetamidobutanoate",0.368071989449697,0.117673261741028,0.00176050939441307,"Continuous"
"794","allylphenolsulfate",0.0679878826836388,0.101945682336189,0.504834086441067,"Continuous"
"795","ethylphenylsulfate4",0.0582888946671662,0.116196254892542,0.615919533581812,"Continuous"
"796","guanidinobutanoate",-0.14515248397016,0.123009766438209,0.237997112346729,"Continuous"
"797","hydroxybenzoate",0.149953249400332,0.104369200396735,0.150786861437802,"Continuous"
"798","hydroxychlorothalonil",0.00868793479068943,0.135240785288605,0.948778734800532,"Continuous"
"799","hydroxyhippurate4",0.0804969869492844,0.10281176679801,0.433653537504912,"Continuous"
"800","hydroxyphenylpyruvate",0.125777036547957,0.111986399258093,0.26137564336021,"Continuous"
"801","methyl2oxopentanoate",-0.0105856303380339,0.114665987940658,0.926446110430188,"Continuous"
"802","methylcatecholsulfate",0.0276874067279088,0.0920107479384012,0.763479373859413,"Continuous"
"803","vinylphenolsulfate",-0.0929613629117848,0.112654085708586,0.409262027111513,"Continuous"
"804","galactosylhydroxyLlysine",0.0298925375399303,0.124091517699569,0.809639549331028,"Continuous"
"805","dihydrothymine",-0.0126382881444173,0.123105077384271,0.918230752297844,"Continuous"
"806","acetylamino6amino3methyluracil",0.0289382113312881,0.100813833059085,0.774077069740432,"Continuous"
"807","acetylamino6formylamino3methyluracil",0.125414689870768,0.109706053049993,0.252960367544557,"Continuous"
"808","alphaandrostan3alpha17betadiolmonosulfate1",-0.134772519582284,0.118857752675754,0.256837507208917,"Continuous"
"809","alphaandrostan3beta17alphadioldisulfate",-0.167200090303394,0.125377394186178,0.182343358923373,"Continuous"
"810","alphaandrostan3beta17betadioldisulfate",-0.153698291447993,0.143143031829729,0.282939565071193,"Continuous"
"811","alphaandrostan3beta17betadiolmonosulfate2",-0.230468328587245,0.128966037107238,0.073929944047316,"Continuous"
"812","alphapregnan3beta20alphadioldisulfate",0.031029267545077,0.12596784041263,0.805429188673333,"Continuous"
"813","alphapregnan3beta20alphadiolmonosulfate2",-0.0433688716461766,0.135451892833161,0.748832529303642,"Continuous"
"814","alphapregnan3beta20betadiolmonosulfate1",0.0698713691910819,0.128819833136771,0.587545697333832,"Continuous"
"815","bromotryptophan",-0.00370710629313717,0.124719156796495,0.9762874648075,"Continuous"
"816","dodecenoate121n7",0.144769311423843,0.114070930884446,0.204399482241918,"Continuous"
"817","hydroxylysine",0.331085626038475,0.124448688444321,0.00780435509390144,"Continuous"
"818","methylthioadenosineMTA",0.227349092093542,0.124527891706871,0.0678972541677524,"Continuous"
"819","methyluridineribothymidine",-0.120044581536082,0.117234045498041,0.305847688460233,"Continuous"
"820","oxoproline",-0.231745271499759,0.11681985251668,0.047280003601675,"Continuous"
"821","hydroxyindolesulfate",0.0985203249383934,0.104268735891749,0.344725619066732,"Continuous"
