"","metabolite","beta","se","p_val","metabolite_model"
"1","enyloleoylGPEP181",0.106400175668964,0.263,0.685370089153754,"Continuous"
"2","enylpalmitoyl2arachidonoylGPCP160204",0.247570451567815,0.296,0.403550653412264,"Continuous"
"3","enylpalmitoyl2arachidonoylGPEP160204",0.0245576909596795,0.271,0.927828209196446,"Continuous"
"4","enylpalmitoyl2linoleoylGPCP160182",0.0523533720685054,0.285,0.854432359477192,"Continuous"
"5","enylpalmitoyl2linoleoylGPEP160182",-0.22085408985778,0.299,0.459517652977191,"Continuous"
"6","enylpalmitoyl2oleoylGPCP160181",0.0321143429439897,0.36,0.928970556415217,"Continuous"
"7","enylpalmitoyl2oleoylGPEP160181",-0.275066755511049,0.292,0.346663413170873,"Continuous"
"8","enylpalmitoyl2palmitoleoylGPCP160161",0.0742456329570602,0.353,0.833392124479185,"Continuous"
"9","enylpalmitoyl2palmitoylGPCP160160",0.044985422208522,0.344,0.895890872573886,"Continuous"
"10","enylpalmitoylGPCP160",0.196034269593056,0.304,0.518749457159004,"Continuous"
"11","enylpalmitoylGPEP160",0.0876507950473785,0.268,0.743751516140458,"Continuous"
"12","enylstearoyl2arachidonoylGPEP180204",-0.078807703783635,0.276,0.775279637512628,"Continuous"
"13","enylstearoyl2linoleoylGPEP180182",-0.336122857779589,0.304,0.268800483190458,"Continuous"
"14","enylstearoyl2oleoylGPEP180181",-0.334701026602829,0.264,0.204176389990052,"Continuous"
"15","enylstearoylGPEP180",0.0466539968050314,0.243,0.847868138049262,"Continuous"
"16","dilinoleoylGPC182182",-0.136095864168762,0.26,0.600037790033722,"Continuous"
"17","dipalmitoylGPC160160",-0.225182897905206,0.316,0.476364603036226,"Continuous"
"18","dimethylurate13",-0.047389700776875,0.268,0.859640623404499,"Continuous"
"19","anhydroglucitol15AG",0.490285175840186,0.353,0.164928641898133,"Continuous"
"20","dimethylurate17",-0.0790700110270128,0.29,0.785411863301799,"Continuous"
"21","heptadecenoate171n7",-0.186326579272743,0.321,0.562147308860971,"Continuous"
"22","nonadecenoate191n9",-0.282561647087293,0.307,0.35794811089543,"Continuous"
"23","undecenoate111n1",-0.332548608470705,0.26,0.201388519155368,"Continuous"
"24","DiHOME1213",0.0219732420579854,0.277,0.93674435827912,"Continuous"
