"","metabolite","beta","se","p_val","metabolite_model"
"640","enyloleoylGPEP181",-0.0278260114170134,0.314670495131141,0.929535677034404,"Continuous"
"641","enylpalmitoyl2arachidonoylGPCP160204",0.164452916641428,0.352423867729157,0.640761843362274,"Continuous"
"642","enylpalmitoyl2arachidonoylGPEP160204",0.00688120866320163,0.316827611017692,0.982672032561281,"Continuous"
"643","enylpalmitoyl2linoleoylGPCP160182",-0.238923627329768,0.341153160762691,0.483714223400995,"Continuous"
"644","enylpalmitoyl2linoleoylGPEP160182",-0.313998314766971,0.349166085327177,0.368503175296947,"Continuous"
"645","enylpalmitoyl2oleoylGPCP160181",-0.309465761356195,0.450086478333821,0.491723883409066,"Continuous"
"646","enylpalmitoyl2oleoylGPEP160181",-0.360018979013568,0.342846481448728,0.293677651338822,"Continuous"
"647","enylpalmitoyl2palmitoleoylGPCP160161",-0.325306285053852,0.406839017638855,0.42394571220566,"Continuous"
"648","enylpalmitoyl2palmitoylGPCP160160",-0.25855412168942,0.399616948797979,0.517628775922451,"Continuous"
"649","enylpalmitoylGPCP160",-0.0490940174221046,0.35572846490037,0.890232665438688,"Continuous"
"650","enylpalmitoylGPEP160",-0.0241634612572092,0.319905990510587,0.939790637154962,"Continuous"
"651","enylstearoyl2arachidonoylGPEP180204",-0.150695384982815,0.332205425419609,0.650101576030865,"Continuous"
"652","enylstearoyl2linoleoylGPEP180182",-0.428467601804301,0.362415162964015,0.237104028083729,"Continuous"
"653","enylstearoyl2oleoylGPEP180181",-0.329500939633139,0.31116596166894,0.289634634897819,"Continuous"
"654","enylstearoylGPEP180",-0.0521303381708277,0.306062273070979,0.864753828045467,"Continuous"
"655","dilinoleoylGPC182182",-0.393314128325283,0.308933974703531,0.202970746887313,"Continuous"
"656","dipalmitoylGPC160160",-0.293091594848879,0.349461255188315,0.401640183802673,"Continuous"
"657","dimethylurate13",-0.275856698760541,0.300826623740726,0.359144931110785,"Continuous"
"658","anhydroglucitol15AG",0.357022113037159,0.399504476446494,0.371502570412655,"Continuous"
"659","dimethylurate17",-0.176315615167954,0.331918662264092,0.595279312509773,"Continuous"
"660","heptadecenoate171n7",-0.269073005949589,0.385086908879462,0.48471878519545,"Continuous"
"661","nonadecenoate191n9",-0.362082608405379,0.354136559593584,0.306573732885962,"Continuous"
"662","undecenoate111n1",-0.219877947761871,0.311092761286953,0.479695601318679,"Continuous"
"663","DiHOME1213",-0.0351924898083128,0.340747054212874,0.917740436196678,"Continuous"
"664","HETE",0.133172384876422,0.311892452900609,0.66939262147753,"Continuous"
"665","HODE9HODE",-0.278380688063074,0.314647684884521,0.376298084782859,"Continuous"
