"","metabolite","beta","se","p_val","metabolite_model"
"1","enyloleoylGPEP181",-0.0125235999873898,0.009,0.176469716277924,"Continuous"
"2","enylpalmitoyl2arachidonoylGPCP160204",0.00292008502498832,0.011,0.797001273010654,"Continuous"
"3","enylpalmitoyl2arachidonoylGPEP160204",0.00317067182458361,0.01,0.755671523132039,"Continuous"
"4","enylpalmitoyl2linoleoylGPCP160182",-0.00726374563894111,0.01,0.467191910488108,"Continuous"
"5","enylpalmitoyl2linoleoylGPEP160182",-0.0081029704117011,0.01,0.415802472219001,"Continuous"
"6","enylpalmitoyl2oleoylGPCP160181",0.00720693612533095,0.012,0.557920271919893,"Continuous"
"7","enylpalmitoyl2oleoylGPEP160181",-0.00301814896475414,0.01,0.764485202451558,"Continuous"
"8","enylpalmitoyl2palmitoleoylGPCP160161",0.0144828381305692,0.012,0.228960342522484,"Continuous"
"9","enylpalmitoyl2palmitoylGPCP160160",0.0131169081744686,0.012,0.280432402892799,"Continuous"
"10","enylpalmitoylGPCP160",-0.00820010968805442,0.011,0.451862028347247,"Continuous"
"11","enylpalmitoylGPEP160",-0.00682560874038301,0.01,0.48744983594033,"Continuous"
"12","enylstearoyl2arachidonoylGPEP180204",0.00760587718551252,0.011,0.500313305568795,"Continuous"
"13","enylstearoyl2linoleoylGPEP180182",-0.00319607420172031,0.011,0.764058451554904,"Continuous"
"14","enylstearoyl2oleoylGPEP180181",-0.00130361579307636,0.012,0.913522199943046,"Continuous"
"15","enylstearoylGPEP180",-0.00744025760036267,0.01,0.471928846677922,"Continuous"
"16","dilinoleoylGPC182182",-0.0163710399938449,0.011,0.132459367712708,"Continuous"
"17","dipalmitoylGPC160160",0.0142775411722827,0.012,0.235310951789871,"Continuous"
"18","dimethylurate13",0.0205924908453248,0.015,0.160540795325119,"Continuous"
"19","anhydroglucitol15AG",-0.00427166514474417,0.013,0.73503666888814,"Continuous"
"20","dimethylurate17",0.0195680486207323,0.014,0.167070190671245,"Continuous"
"21","heptadecenoate171n7",0.0150568390161695,0.015,0.313791143054292,"Continuous"
"22","nonadecenoate191n9",0.00754412994606986,0.013,0.571037463769644,"Continuous"
"23","undecenoate111n1",-0.00735266024578879,0.01,0.48150227865193,"Continuous"
"24","DiHOME1213",-0.0333783794774314,0.011,0.00353752327141048,"Continuous"
"25","HETE",0.00271899240494346,0.011,0.799534851861616,"Continuous"
"26","HODE9HODE",-0.00765156012385426,0.011,0.500970254761212,"Continuous"
"27","ahydroxyDHEA3sulfate",0.00889900972833239,0.01,0.392666415497172,"Continuous"
"28","hydroxypalmitate16",0.0146130126483138,0.014,0.309132146202332,"Continuous"
"29","methylstearate",0.000743489345629823,0.011,0.947426797998204,"Continuous"
"30","arachidonoylGPA204",0.00327755664142202,0.011,0.758983259708466,"Continuous"
"31","arachidonoylGPC204n6",0.0123119569809773,0.013,0.349121558329184,"Continuous"
"32","arachidonoylGPE204n6",0.0280302964330701,0.014,0.0391885223936599,"Continuous"
"33","arachidonoylGPI204",0.0186313996204427,0.011,0.0977763987632764,"Continuous"
"34","arachidonylglycerol204",0.0284949659496841,0.013,0.0303358889089283,"Continuous"
"35","dihomolinolenylglycerol203",0.029581639145057,0.012,0.0145982745776139,"Continuous"
"36","docosahexaenoylglycerol226",0.00962749786767321,0.013,0.45966786810961,"Continuous"
"37","lignoceroylGPC240",-0.00184608652192797,0.012,0.875783051073803,"Continuous"
"38","linolenoylglycerol183",0.00499566531665714,0.012,0.668330131891145,"Continuous"
"39","linolenoylGPC183",0.00809638064122701,0.012,0.487000933399352,"Continuous"
"40","linoleoyl2arachidonoylGPC182204n6",0.00327849351847942,0.01,0.753222505569601,"Continuous"
"41","linoleoyl2linolenoylGPC182183",-0.00501136711618557,0.01,0.627929246372179,"Continuous"
"42","linoleoylglycerol1821",-0.00429956024764799,0.011,0.686931269806058,"Continuous"
"43","linoleoylGPA182",0.00311391573578846,0.01,0.763501368353314,"Continuous"
"44","linoleoylGPC182",-0.00905794527859987,0.012,0.462105908989227,"Continuous"
"45","linoleoylGPE182",0.00863916771958399,0.012,0.476312741391981,"Continuous"
"46","linoleoylGPG182",0.000165985094236857,0.01,0.987004174129894,"Continuous"
"47","linoleoylGPI182",0.011006210375562,0.012,0.341239414315548,"Continuous"
"48","N1methyladenosine",0.00612121616375248,0.014,0.664841317886275,"Continuous"
"49","methylhistamine",0.000645593959828119,0.012,0.955570733366249,"Continuous"
"50","methylhistidine1",-0.0147936660324555,0.017,0.38834746774644,"Continuous"
"51","methylimidazoleacetate",0.00184453429107323,0.014,0.8938022967564,"Continuous"
"52","methylnicotinamide",0.01239511537637,0.013,0.346181588230105,"Continuous"
"53","methylxanthine1",0.0264834336024162,0.014,0.0666670052105116,"Continuous"
"54","myristoylglycerol140",0.020272746940325,0.012,0.0797110770949183,"Continuous"
"55","oleoylglycerol181",-0.000458355769793742,0.011,0.968198810635743,"Continuous"
"56","oleoylGPC181",0.0157642867374367,0.014,0.262695936358407,"Continuous"
"57","oleoylGPE181",0.0125265567478946,0.012,0.315379030731861,"Continuous"
"58","oleoylGPI181",0.0102983339296001,0.011,0.346416672441306,"Continuous"
"59","palmitoleoyl2linolenoylGPC161183",0.0187213537599807,0.011,0.0868602630161852,"Continuous"
"60","palmitoleoylglycerol161",0.0232380842728815,0.013,0.063232094039434,"Continuous"
"61","palmitoleoylGPC161",0.0295472306720916,0.015,0.0439645860534015,"Continuous"
"62","palmitoyl2arachidonoylGPC160204n6",0.023027150930466,0.012,0.0460168337585724,"Continuous"
"63","palmitoyl2arachidonoylGPE160204",0.0273029081929307,0.013,0.0350905315919023,"Continuous"
"64","palmitoyl2arachidonoylGPI160204",0.0153907043712389,0.011,0.167166519180072,"Continuous"
"65","palmitoyl2linoleoylGPC160182",0.0030784074202024,0.011,0.778251298211168,"Continuous"
"66","palmitoyl2linoleoylGPE160182",0.0114813231257635,0.014,0.397374506670153,"Continuous"
"67","palmitoyl2linoleoylGPI160182",0.0117386865365868,0.012,0.342688319164321,"Continuous"
"68","palmitoyl2oleoylGPC160181",0.0285977837450221,0.012,0.01352495335564,"Continuous"
"69","palmitoyl2oleoylGPE160181",0.0168135215563175,0.012,0.171357763913101,"Continuous"
"70","palmitoyl2oleoylGPI160181",0.0210466630738624,0.012,0.0740315106558215,"Continuous"
"71","palmitoyl2palmitoleoylGPC160161",0.0295916485087977,0.012,0.0158574781417145,"Continuous"
"72","palmitoyl2stearoylGPC160180",0.00378341568416228,0.013,0.771849696378392,"Continuous"
"73","palmitoylglycerol160",0.0033522626565675,0.012,0.783973307385762,"Continuous"
"74","palmitoylGPA160",0.00664570684259322,0.012,0.581508040566991,"Continuous"
"75","palmitoylGPC1601",0.0155362298175753,0.013,0.243876465928234,"Continuous"
"76","palmitoylGPE160",0.0200344066711664,0.015,0.189261507447837,"Continuous"
"77","palmitoylGPG160",0.0275969249133236,0.012,0.0248037614230319,"Continuous"
"78","palmitoylGPI160",0.0233064017220279,0.012,0.0574244725238797,"Continuous"
"79","pentadecanoylglycerol150",0.00471064916065276,0.012,0.690741096682746,"Continuous"
"80","stearoyl2arachidonoylGPC180204",0.0127210723551851,0.012,0.29065954401469,"Continuous"
"81","stearoyl2arachidonoylGPE180204",0.0181170729795533,0.012,0.145020391488326,"Continuous"
"82","stearoyl2arachidonoylGPI180204",0.0142049223104223,0.01,0.173111460048321,"Continuous"
"83","stearoyl2linoleoylGPC180182",-0.00829679374324205,0.012,0.489880829274852,"Continuous"
"84","stearoyl2linoleoylGPE180182",0.0062179475329695,0.013,0.641194571880736,"Continuous"
"85","stearoyl2linoleoylGPI180182",0.00802330424363633,0.012,0.500963396595386,"Continuous"
"86","stearoyl2oleoylGPC180181",0.0112645486261421,0.013,0.37937422862249,"Continuous"
"87","stearoyl2oleoylGPE180181",0.00580457374613616,0.012,0.62144935286681,"Continuous"
"88","stearoyl2oleoylGPI180181",0.00981302898960127,0.012,0.402830111336908,"Continuous"
