"","metabolite","beta","se","p_val","metabolite_model"
"1","enyloleoylGPEP181",-0.157041207890816,0.179710597415343,0.382196606084178,"Continuous"
"2","enylpalmitoyl2arachidonoylGPCP160204",-0.234670915562225,0.170081992995611,0.167663114828373,"Continuous"
"3","enylpalmitoyl2arachidonoylGPEP160204",-0.160831984122954,0.139613411889204,0.249328921377443,"Continuous"
"4","enylpalmitoyl2linoleoylGPCP160182",-0.398742948318597,0.155172939130446,0.0101795997101949,"Continuous"
"5","enylpalmitoyl2linoleoylGPEP160182",-0.0750826139989216,0.151880560436077,0.621056885430292,"Continuous"
"6","enylpalmitoyl2oleoylGPCP160181",-0.208865435698515,0.170377427043765,0.22023686573131,"Continuous"
"7","enylpalmitoyl2oleoylGPEP160181",-0.0440632168322565,0.15759975625392,0.779792562184842,"Continuous"
"8","enylpalmitoyl2palmitoleoylGPCP160161",-0.135010316701054,0.20984854813766,0.519983870855987,"Continuous"
"9","enylpalmitoyl2palmitoylGPCP160160",-0.0631213847777315,0.185680806660768,0.733897448709506,"Continuous"
"10","enylpalmitoylGPCP160",-0.311885276275914,0.238762810004641,0.191465624135763,"Continuous"
"11","enylpalmitoylGPEP160",-0.136945604189661,0.178858527979567,0.443876025796534,"Continuous"
"12","enylstearoyl2arachidonoylGPEP180204",-0.133545388168616,0.158097336907535,0.398276354168188,"Continuous"
"13","enylstearoyl2linoleoylGPEP180182",0.0305160984184473,0.150241765585212,0.839046488924481,"Continuous"
"14","enylstearoyl2oleoylGPEP180181",0.109606356413947,0.146816181522251,0.455332211991183,"Continuous"
"15","enylstearoylGPEP180",-0.138005948072226,0.188902288791696,0.465043126102764,"Continuous"
"16","dilinoleoylGPC182182",-0.154018452296791,0.169251631454001,0.362824168477136,"Continuous"
"17","dipalmitoylGPC160160",-0.0511486216012677,0.178948133386781,0.775008857618071,"Continuous"
"18","dimethylurate13",-0.090212454678216,0.173612899648099,0.603329580826347,"Continuous"
"19","anhydroglucitol15AG",-0.0389674270220425,0.195515445017868,0.842023283040631,"Continuous"
"20","dimethylurate17",-0.0882309506860933,0.145395937087954,0.543962211226371,"Continuous"
"21","heptadecenoate171n7",0.0566594478999334,0.185005441184861,0.759408002966159,"Continuous"
"22","nonadecenoate191n9",0.0410150100140641,0.189583723838278,0.828720810964228,"Continuous"
"23","undecenoate111n1",0.204772062907834,0.207154603566723,0.322908455251189,"Continuous"
"24","DiHOME1213",-0.506140459218287,0.185284890320945,0.0063010833992475,"Continuous"
"25","HETE",0.0291808380041441,0.140871023528061,0.835896010347926,"Continuous"
"26","HODE9HODE",-0.00382713836471907,0.165763473383108,0.981580119656403,"Continuous"
"27","ahydroxyDHEA3sulfate",-0.152220789205069,0.151185833427591,0.314008983724089,"Continuous"
"28","hydroxypalmitate16",0.195170753997253,0.175924959063834,0.26725863199341,"Continuous"
"29","methylstearate",0.0426177168827405,0.166558484343045,0.798049377363128,"Continuous"
"30","arachidonoylGPA204",0.026228336647388,0.163260548456006,0.872366517239281,"Continuous"
"31","arachidonoylGPC204n6",-0.17710998948523,0.160385352369514,0.26947263521274,"Continuous"
"32","arachidonoylGPE204n6",-0.218820020539668,0.157676411754946,0.165204336828347,"Continuous"
"33","arachidonoylGPI204",0.06046188136395,0.145301267879508,0.67732663840973,"Continuous"
"34","arachidonylglycerol204",0.25702984081325,0.20197579622656,0.203168029810403,"Continuous"
"35","dihomolinolenylglycerol203",0.208723048827408,0.173030678856292,0.227710434187813,"Continuous"
"36","docosahexaenoylglycerol226",0.118769479084794,0.195239639815484,0.542970838791695,"Continuous"
"37","lignoceroylGPC240",-0.0934995328158397,0.200204537417927,0.640485534182321,"Continuous"
"38","linolenoylglycerol183",-0.0641240643736343,0.173447007070705,0.711602999215503,"Continuous"
"39","linolenoylGPC183",-0.0658120917433757,0.135230205871283,0.626494265815926,"Continuous"
"40","linoleoyl2arachidonoylGPC182204n6",-0.245129229115655,0.198959288075139,0.217927707043627,"Continuous"
"41","linoleoyl2linolenoylGPC182183",-0.00906071605709732,0.16123274849102,0.955185269815917,"Continuous"
"42","linoleoylglycerol1821",0.0510650394257724,0.165282274433363,0.757354587498455,"Continuous"
"43","linoleoylGPA182",0.217957460964577,0.12710789067355,0.0863922187618175,"Continuous"
"44","linoleoylGPC182",-0.153931743644994,0.168334632670247,0.360486246621516,"Continuous"
"45","linoleoylGPE182",-0.15983657976617,0.161153914025323,0.321282600394528,"Continuous"
"46","linoleoylGPG182",-0.0765991511946375,0.167845316801496,0.648125716971521,"Continuous"
"47","linoleoylGPI182",0.0231883213357963,0.145590454831549,0.873455454286428,"Continuous"
"48","N1methyladenosine",0.117641160799493,0.254631948258893,0.644077938914015,"Continuous"
"49","methylhistamine",-0.281174310226694,0.171858640636361,0.101823057907725,"Continuous"
"50","methylhistidine1",-0.572367404495114,0.226876650068972,0.011642023022631,"Continuous"
