"","metabolite","beta","se","p_val","metabolite_model"
"640","enyloleoylGPEP181",-0.101324631661989,0.0921274172916691,0.271405563276416,"Continuous"
"641","enylpalmitoyl2arachidonoylGPCP160204",0.0530292159307492,0.0996338969750688,0.594559291492095,"Continuous"
"642","enylpalmitoyl2arachidonoylGPEP160204",0.0373242976274599,0.0906608777717361,0.68056567830312,"Continuous"
"643","enylpalmitoyl2linoleoylGPCP160182",-0.0825671592543766,0.105711789951768,0.43476771501544,"Continuous"
"644","enylpalmitoyl2linoleoylGPEP160182",-0.0877737591226793,0.0951734636688781,0.356398011233445,"Continuous"
"645","enylpalmitoyl2oleoylGPCP160181",0.00798299390838418,0.114999308115725,0.944657095785377,"Continuous"
"646","enylpalmitoyl2oleoylGPEP160181",-0.0420357472161974,0.0984462453183183,0.669385243129498,"Continuous"
"647","enylpalmitoyl2palmitoleoylGPCP160161",0.0678739500639881,0.112171349536279,0.545118083739599,"Continuous"
"648","enylpalmitoyl2palmitoylGPCP160160",0.0543127518318897,0.10899492571329,0.618268855507814,"Continuous"
"649","enylpalmitoylGPCP160",-0.0506138880849772,0.105731968503039,0.632152101058584,"Continuous"
"650","enylpalmitoylGPEP160",-0.0299625405921934,0.0966065723733191,0.756446795303741,"Continuous"
"651","enylstearoyl2arachidonoylGPEP180204",0.101127691189524,0.111169153115135,0.362994445658494,"Continuous"
"652","enylstearoyl2linoleoylGPEP180182",-0.0392981170089914,0.103131226807583,0.703166413586663,"Continuous"
"653","enylstearoyl2oleoylGPEP180181",-0.0180662592992272,0.112753854977033,0.872701930244268,"Continuous"
"654","enylstearoylGPEP180",-0.0320770390855517,0.107478244615911,0.765358617697455,"Continuous"
"655","dilinoleoylGPC182182",-0.128890213886172,0.0963860550243415,0.18114794620323,"Continuous"
"656","dipalmitoylGPC160160",0.145880771853472,0.103642266241386,0.159266934800553,"Continuous"
"657","dimethylurate13",0.16618950893507,0.104045992595537,0.110205607098496,"Continuous"
"658","anhydroglucitol15AG",-0.193074906095295,0.114461741532237,0.0916404030816178,"Continuous"
"659","dimethylurate17",0.169190072692822,0.104218289620776,0.104499617418634,"Continuous"
"660","heptadecenoate171n7",0.173317216060559,0.13649010805775,0.204150459312762,"Continuous"
"661","nonadecenoate191n9",0.115960659271849,0.129400888644028,0.370180691112889,"Continuous"
"662","undecenoate111n1",-0.0970836830809619,0.0992884101763841,0.328175863709815,"Continuous"
"663","DiHOME1213",-0.277494941189157,0.108084088605721,0.0102464743233311,"Continuous"
"664","HETE",0.0616387970022163,0.0976736793021311,0.527995637929835,"Continuous"
"665","HODE9HODE",-0.132505676645454,0.107414860458723,0.217356488476313,"Continuous"
"666","ahydroxyDHEA3sulfate",0.129717013401089,0.076230547913751,0.0888227171962249,"Continuous"
"667","hydroxypalmitate16",0.168723483604926,0.14076795427806,0.23068624419643,"Continuous"
"668","methylstearate",0.0179392765472604,0.114137540269964,0.875108942164116,"Continuous"
"669","arachidonoylGPA204",0.0355369466116922,0.109118207055675,0.744671131062929,"Continuous"
"670","arachidonoylGPC204n6",0.182976890694292,0.112116681940235,0.10267485322447,"Continuous"
"671","arachidonoylGPE204n6",0.403814549415926,0.0982291446794152,3.94044136779081e-05,"Continuous"
"672","arachidonoylGPI204",0.157776397787961,0.106754654186221,0.139425282487349,"Continuous"
"673","arachidonylglycerol204",0.112157282308625,0.111827192411965,0.315884124757746,"Continuous"
"674","dihomolinolenylglycerol203",0.133617088232387,0.0955141862859271,0.161835772537415,"Continuous"
"675","docosahexaenoylglycerol226",-0.038436107737979,0.0899478586378447,0.669149596898602,"Continuous"
"676","lignoceroylGPC240",-0.0711201753072668,0.127273633958607,0.576299999450897,"Continuous"
"677","linolenoylglycerol183",-0.00947625333775852,0.0939121964296792,0.919625509140365,"Continuous"
"678","linolenoylGPC183",0.0874527799252874,0.109256557094374,0.423458768832242,"Continuous"
"679","linoleoyl2arachidonoylGPC182204n6",0.0621606576421681,0.0923792533740376,0.501020154542893,"Continuous"
"680","linoleoyl2linolenoylGPC182183",-0.101943201147746,0.0991562535578415,0.303899674829221,"Continuous"
"681","linoleoylglycerol1821",-0.145097179484866,0.0865049782511189,0.093478456569492,"Continuous"
"682","linoleoylGPA182",-0.0831167411572969,0.0871077744346525,0.339991113413235,"Continuous"
"683","linoleoylGPC182",-0.0248815028132491,0.106935266964488,0.816011317556305,"Continuous"
"684","linoleoylGPE182",0.171911589007157,0.105767483486208,0.10408315153081,"Continuous"
"685","linoleoylGPG182",0.0580771451885426,0.0981489792277049,0.554035159168445,"Continuous"
"686","linoleoylGPI182",0.0951981352208692,0.103278251349244,0.356651885516579,"Continuous"
"687","N1methyladenosine",-0.0601575522164234,0.112391153845353,0.592475844759331,"Continuous"
