Metabolite,weight
carotenediol1,0.043130965
glycosylN2hydroxynervonoylsphingosined1812412OH,0.008930277
maleate,0.035670498
N6succinyladenosine,0.074903084
Nacetylglucosaminylasparagine,-0.0616104
phenylalanylglycine,-0.017406395
picolinate,0.039063872
suberateoctanedioate,0.081817348
isobutyrylglycine,0.094211605
linoleoyllinoleoylglycerol1821821,-0.057801676
sphingomyelind181250d190241d201230d191240,-0.117227017
adenosine,-0.067019127
alphaketobutyrate,0.131760262
aminoadipate,0.075505556
aminoisobutyrate,-0.11183614
aminooctanoate,-0.024606712
betaine,-0.028669899
carotenediol2,0.039566556
cerotoylcarnitineC26,0.064102241
cysteineglutathionedisulfide,-0.023990055
DiHOME1213,-0.131238237
dihomolinolenylglycerol203,0.03945747
dihydroxy2methylbutyrate,0.029860434
dilinoleoylGPC182182,-0.081487541
dimethylarginineSDMA.ADMA,-0.023554799
dimethylglycine,-0.086805773
docosadioate,-0.017289301
eicosanodioate,-0.128656141
gammaglutamylhistidine,-0.123079125
glutamategammamethylester,-0.050669534
glutarylcarnitineC5DC,-0.099516027
glycochenodeoxycholatesulfate,0.223051599
glycodeoxycholate,0.047697695
glycosylceramided181200d161220,-0.044365199
guanidinoacetate,0.147694484
hexadecanedioate,0.063566778
hydroxyoctanoate2,-0.024162216
hydroxypyridinesulfate,0.023816258
hyocholate,-0.050323469
lactosylNpalmitoylsphingosined181160,-0.059322347
methionine,-0.023004049
N1acetylspermidine,-0.010362606
N1methylinosine,-0.011096606
N6N6N6trimethyllysine,-0.064311491
Ntrimethyl5aminovalerate,0.069813791
oleoylethanolamide,0.020377235
oleoylGPE181,0.06125054
Omethyluridine,0.129813985
orotate,-0.035056709
oxoproline,-0.014104687
palmitoleoylGPC161,0.035072116
phenylacetylcarnitine,0.050435077
pimeloylcarnitine3methyladipoylcarnitineC7DC,-0.025745668
pyroglutamine,-0.001449359
quinolinate,-0.18922373
stachydrine,0.032556908
stearoyl2oleoylGPS180181,0.146060859
taurolithocholate3sulfate,0.002665645
trigonellineNmethylnicotinate,0.032907857
tryptophanbetaine,-0.140714319
ursodeoxycholate,-0.141001002
