"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"dilinoleoylGPE182182",-1.4870012950257,0.647,0.021633913658746,1,0.597038348955374,0,0.22399777238016,"Not Sig","Not Sig","Dichotomized",0.724736107567989,"Not Sig"
"trimethylurate",0.149027081857963,0.551,0.786830801667151,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"alphahydroxypregnanoloneglucuronide",0.297212343275995,0.636,0.640216875554286,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"alphahydroxypregnenolone3sulfate",-0.00840121686561457,0.577,0.988385112471084,1,0.999634099504928,0,0.000158937645390398,"Not Sig","Not Sig","Dichotomized",0.999634099504928,"Not Sig"
"methylurate",-0.0848978995436128,0.557,0.878751374288517,1,0.980685795190409,0,0.0084701152221464,"Not Sig","Not Sig","Dichotomized",0.981272367955511,"Not Sig"
"stearoylGPG180",0.0991432688962595,0.648,0.878327086098108,1,0.980685795190409,0,0.0084701152221464,"Not Sig","Not Sig","Dichotomized",0.981272367955511,"Not Sig"
"hydroxypregnenolonemonosulfate1",-0.183185045330433,0.58,0.751933532144659,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"acetamidophenolsulfate",0.269160410075775,0.672,0.688958315956438,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"hydroxyphenylpropionate",-0.3332071561205,0.581,0.566003335799704,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"hydroxyphenylpropionatesulfate",-0.00506342499243835,0.574,0.992956378531347,1,0.999634099504928,0,0.000158937645390398,"Not Sig","Not Sig","Dichotomized",0.999634099504928,"Not Sig"
"dimethylurate37",-0.216575586679371,0.585,0.711257683452086,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"acetaminophensulfate",-0.0142359309580711,0.676,0.983187158720894,1,0.999634099504928,0,0.000158937645390398,"Not Sig","Not Sig","Dichotomized",0.999634099504928,"Not Sig"
"acetylphenolsulfate4",0.710240259133822,0.575,0.217090873021107,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"hydroxyphenylacetate4",-0.261832082994605,0.477,0.582891401112841,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"vinylguaiacolsulfate",-0.308638637845432,0.599,0.606156809504224,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"alphaandrostan3alpha17alphadiolmonosulfate",0.418528157098297,0.558,0.453475982261447,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"alphaandrostan3alpha17betadiol17glucuronide",0.703633318961797,0.637,0.269195977382957,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"alphaandrostan3alpha17betadioldisulfate",-0.167502045922466,0.63,0.790328928007556,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"alphaandrostan3alpha17betadiolmonosulfate2",0.278542477601342,0.714,0.696623832633398,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"alphapregnan3alphaorbeta20betadioldisulfate",-0.00881959188660745,0.608,0.988420483091366,1,0.999634099504928,0,0.000158937645390398,"Not Sig","Not Sig","Dichotomized",0.999634099504928,"Not Sig"
"hydroxyhexanoate5",0.224416316094516,0.59,0.703839652478228,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"hydroxyindoleacetate",0.387234277401977,0.61,0.525816530644613,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"acesulfame",-0.143847767702841,0.617,0.815770788522023,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"adenosine35cyclicmonophosphatecAMP",0.123902171287319,0.572,0.828596465998317,1,0.961508098318918,0,0.0170470535571628,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"ADSGEGDFXAEGGGVR",-0.38923725510795,0.586,0.506403643316528,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"alphaCEHCglucuronide",0.437884172732816,0.582,0.452112609760967,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"alphaCEHCsulfate",-0.168790346895324,0.586,0.773201358453888,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"benzoylcarnitine",-0.315701180889351,0.845,0.708659561684076,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"bradykinindesarg9",-0.756355980361499,0.537,0.159023890995701,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"caffeicacidsulfate",0.39564633625525,0.665,0.551999191647262,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"campesterol",0.462184015183055,0.574,0.420995261304036,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"chiroinositol",-0.158960441414945,0.524,0.761608261777185,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"cotinine",-0.366041408527939,0.549,0.505206165825331,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"diacylglycerol16118221601831",0.955041537740682,0.552,0.0835010129595849,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"dihydroferulicacid",-0.189042133869873,0.585,0.746416019308048,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"dimethylsulfone",0.199651419830746,0.822,0.808021983632796,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"dopamine4sulfate",-0.508416603702357,0.527,0.335045095069982,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"flavinadeninedinucleotideFAD",-0.000261245032121593,0.57,0.999634099504928,1,0.999634099504928,0,0.000158937645390398,"Not Sig","Not Sig","Dichotomized",0.999634099504928,"Not Sig"
"ferulicacid4sulfate",0.461846100478686,0.809,0.568152589843042,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"galactonate",0.445540548059077,0.727,0.540207496035644,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"glycocholateglucuronide1",-0.180481625672351,0.576,0.75388664079022,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"glycolithocholate",0.23191046929653,0.582,0.69043048873424,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"guanidinosuccinate",-0.264606935248166,0.553,0.632277629583165,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"hydroxycotinine",-0.34758426405392,0.648,0.591921780010326,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"indolin2one",-1.01044358316617,0.668,0.130537961168303,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"isoeugenolsulfate",-0.113171413195462,0.576,0.84410846045783,1,0.961508098318918,0,0.0170470535571628,"Not Sig","Not Sig","Dichotomized",0.975090807770252,"Not Sig"
"Iurobilinogen",0.215042998814764,0.58,0.710775991262254,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"malonylcarnitine",-2.03008060968338,0.641,0.00155155240996362,0.22,0.110160221107417,0.658,0.957975201058734,"Not Sig","Not Sig","Dichotomized",0.103954011467562,"Not Sig"
"myristoylcarnitineC14",0.300891983452525,0.523,0.565160018089558,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"N2furoylglycine",-0.676598287975845,0.7,0.334069498884836,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"Nacetyl3methylhistidine",0.494460551115187,0.656,0.45130542061136,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"Nacetylhistamine",0.462287146960886,0.602,0.442791004561572,1,0.957350842728325,0,0.0189288760810633,"Not Sig","Not Sig","Dichotomized",0.973964267050654,"Not Sig"
"Nalphaacetylornithine",-0.0704856439173087,0.655,0.914276982127215,1,0.991048331771485,0,0.00390516518191024,"Not Sig","Not Sig","Dichotomized",0.999634099504928,"Not Sig"
