"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","strata","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"enyloleoylGPEP181",0.129249731261242,0.447396269943759,0.77266312269175,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"enylpalmitoyl2arachidonoylGPCP160204",0.35844659041502,0.398147053036836,0.367967571590759,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"enylpalmitoyl2arachidonoylGPEP160204",0.179975447830948,0.390052589281126,0.644502119613849,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"enylpalmitoyl2linoleoylGPCP160182",0.166569922378098,0.410867340687934,0.685175814944908,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"enylpalmitoyl2linoleoylGPEP160182",-0.0755822555636375,0.398839041297966,0.849696519810499,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"enylpalmitoyl2oleoylGPCP160181",0.193919470889305,0.463998804033023,0.675997587384715,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"enylpalmitoyl2oleoylGPEP160181",-0.119252710776991,0.362365034311534,0.742083487462152,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"enylpalmitoyl2palmitoleoylGPCP160161",0.578395291509734,0.469666257770616,0.218134885997109,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"enylpalmitoyl2palmitoylGPCP160160",0.271708620527822,0.477123767818575,0.569035875463378,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"enylpalmitoylGPCP160",0.222233277733761,0.481314962413208,0.644281332122372,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"enylpalmitoylGPEP160",0.0391205472795192,0.432078583537266,0.927857828922133,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"enylstearoyl2arachidonoylGPEP180204",0.271974670230106,0.372592437877976,0.465419402275403,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"enylstearoyl2linoleoylGPEP180182",-0.125772628694328,0.386963129292825,0.74516227283037,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"enylstearoyl2oleoylGPEP180181",-0.191920261991552,0.362480857762987,0.596484190864628,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"enylstearoylGPEP180",0.0345581974372063,0.443638250837332,0.937909791067848,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"dilinoleoylGPC182182",0.290929375467512,0.521575623701994,0.576988173946465,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"dipalmitoylGPC160160",-0.0246340021219413,0.464519620186543,0.957707101437406,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"dimethylurate13",-0.211116424404121,0.455100389927338,0.64272670804959,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"anhydroglucitol15AG",0.54711413740765,0.494810929759577,0.268854909159245,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"dimethylurate17",-0.676809448849933,0.393565577656571,0.085489425482815,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"heptadecenoate171n7",0.305421378519408,0.443022935150288,0.49056964215825,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"nonadecenoate191n9",0.399993323777256,0.450244778371607,0.374330566539586,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"undecenoate111n1",-0.526272224116887,0.401664637796358,0.190118742231284,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"DiHOME1213",-0.000645350194230673,0.467433112351425,0.99889842037481,1,0.999154717927065,"1",0,0.000367256579505337,"Not Sig","Not Sig","Imputed",0.99889842037481,"Not Sig"
"HETE",0.282396701116538,0.432865636448223,0.514150375752303,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"HODE9HODE",0.410206265315898,0.440365732338672,0.351588426465334,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"ahydroxyDHEA3sulfate",-0.11479289493576,0.36350299641335,0.752157139991419,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"hydroxypalmitate16",-0.163806032652005,0.411492632571031,0.690572926255513,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"methylstearate",0.5693283539157,0.400444895620374,0.155101868154199,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"arachidonoylGPA204",-0.473602693021053,0.410443191058703,0.248548866590569,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"arachidonoylGPC204n6",0.108525959636348,0.42353544442747,0.79776691416059,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"arachidonoylGPE204n6",0.401154100799539,0.402369588175579,0.318774617476176,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"arachidonoylGPI204",-0.218357884147805,0.337058852615436,0.517092898990532,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"arachidonylglycerol204",0.116711595785914,0.564473777146653,0.836195916137196,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"dihomolinolenylglycerol203",0.0984886086355019,0.453481771662904,0.828065600186356,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
"docosahexaenoylglycerol226",0.383538432747537,0.473544629960461,0.417979885879258,1,0.997834776162321,"1",0,0.000941364265136327,"Not Sig","Not Sig","Imputed",0.995217830791952,"Not Sig"
