"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"enyloleoylGPEP181",-0.0019915228544052,0.005,0.669912087838347,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"enylpalmitoyl2arachidonoylGPCP160204",-0.00175997546165965,0.005,0.73746824185048,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"enylpalmitoyl2arachidonoylGPEP160204",-0.0025644862841092,0.005,0.604790384758561,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"enylpalmitoyl2linoleoylGPCP160182",-0.0023804831667852,0.005,0.639149535710295,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"enylpalmitoyl2linoleoylGPEP160182",-0.0026353522767434,0.005,0.604766250896483,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"enylpalmitoyl2oleoylGPCP160181",-0.00528696494793837,0.006,0.376340317101836,1,0.959508134303906,0,0.0179513391480761,"Not Sig","Not Sig","Complete-cases",0.968573179149993,"Not Sig"
"enylpalmitoyl2oleoylGPEP160181",-0.00526815301750099,0.005,0.26228770202817,1,0.948208336630111,0,0.023096230691246,"Not Sig","Not Sig","Complete-cases",0.968573179149993,"Not Sig"
"enylpalmitoyl2palmitoleoylGPCP160161",-0.00500714897288956,0.005,0.361753242849966,1,0.959508134303906,0,0.0179513391480761,"Not Sig","Not Sig","Complete-cases",0.968573179149993,"Not Sig"
"enylpalmitoyl2palmitoylGPCP160160",-0.00237646899512485,0.006,0.683435339594283,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"enylpalmitoylGPCP160",-0.00307822377656266,0.005,0.545011384221366,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"enylpalmitoylGPEP160",-0.00387568319953341,0.005,0.429710243741177,1,0.966475649732166,0,0.0148090835083431,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"enylstearoyl2arachidonoylGPEP180204",-0.00419561628243618,0.005,0.434463272516522,1,0.966475649732166,0,0.0148090835083431,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"enylstearoyl2linoleoylGPEP180182",-0.00337621425155283,0.005,0.481647857684093,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"enylstearoyl2oleoylGPEP180181",-0.00387916766356747,0.005,0.415999192269623,1,0.966475649732166,0,0.0148090835083431,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"enylstearoylGPEP180",-0.00269631569391802,0.005,0.58572213911329,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"dilinoleoylGPC182182",0.000743865308442417,0.005,0.873477465364321,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"dipalmitoylGPC160160",-0.00658588104887401,0.005,0.215805658753963,1,0.948208336630111,0,0.023096230691246,"Not Sig","Not Sig","Complete-cases",0.968573179149993,"Not Sig"
"dimethylurate13",-0.00665442025074327,0.007,0.332839069421,1,0.959508134303906,0,0.0179513391480761,"Not Sig","Not Sig","Complete-cases",0.968573179149993,"Not Sig"
"anhydroglucitol15AG",0.00444168344966289,0.006,0.454110239320369,1,0.968697631822028,0,0.0138117619828853,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"dimethylurate17",-0.00504481225739325,0.005,0.332985922652452,1,0.959508134303906,0,0.0179513391480761,"Not Sig","Not Sig","Complete-cases",0.968573179149993,"Not Sig"
"heptadecenoate171n7",-0.00390029666117574,0.007,0.561008223000264,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"nonadecenoate191n9",-0.00499679178210082,0.006,0.402353483976932,1,0.966475649732166,0,0.0148090835083431,"Not Sig","Not Sig","Complete-cases",0.981155490225016,"Not Sig"
"undecenoate111n1",0.000807265111027856,0.004,0.852599493958752,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"DiHOME1213",0.0104726109876209,0.006,0.103943660091429,1,0.855781946337052,0,0.0676368796759923,"Not Sig","Not Sig","Complete-cases",0.968573179149993,"Not Sig"
"HETE",0.00315434251257706,0.006,0.573815633331377,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"HODE9HODE",-0.00439005980946318,0.005,0.396922432240338,1,0.966475649732166,0,0.0148090835083431,"Not Sig","Not Sig","Complete-cases",0.976296526405931,"Not Sig"
"ahydroxyDHEA3sulfate",0.00388803767611456,0.005,0.474112300335587,1,0.968697631822028,0,0.0138117619828853,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"hydroxypalmitate16",-0.0101779217329259,0.006,0.111663365549015,1,0.865391083004866,0,0.0627875840872985,"Not Sig","Not Sig","Complete-cases",0.968573179149993,"Not Sig"
"methylstearate",-0.000253844752252592,0.006,0.967731922943393,1,0.996060227093181,0,0.0017144010306794,"Not Sig","Not Sig","Complete-cases",0.998458160955072,"Not Sig"
"arachidonoylGPA204",-0.00134351554764997,0.005,0.782066227316609,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"arachidonoylGPC204n6",-0.00766949394307449,0.006,0.192631521822615,1,0.948208336630111,0,0.023096230691246,"Not Sig","Not Sig","Complete-cases",0.968573179149993,"Not Sig"
"arachidonoylGPE204n6",-0.0078616509529505,0.006,0.175667996679456,1,0.918201681007843,0,0.037061916479863,"Not Sig","Not Sig","Complete-cases",0.968573179149993,"Not Sig"
"arachidonoylGPI204",-0.00658432684891453,0.005,0.182398074427126,1,0.918201681007843,0,0.037061916479863,"Not Sig","Not Sig","Complete-cases",0.968573179149993,"Not Sig"
"arachidonylglycerol204",-0.00559640878618644,0.006,0.326149318740091,1,0.959508134303906,0,0.0179513391480761,"Not Sig","Not Sig","Complete-cases",0.968573179149993,"Not Sig"
"dihomolinolenylglycerol203",-0.00408836485457819,0.007,0.530512660286692,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"docosahexaenoylglycerol226",0.00642972833145618,0.008,0.398769003743268,1,0.966475649732166,0,0.0148090835083431,"Not Sig","Not Sig","Complete-cases",0.976296526405931,"Not Sig"
"lignoceroylGPC240",-0.003435748680611,0.006,0.594971205046428,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"linolenoylglycerol183",0.000609685760893604,0.006,0.924737413236352,1,0.984998737558626,0,0.00656432612337681,"Not Sig","Not Sig","Complete-cases",0.996470838209155,"Not Sig"
"linolenoylGPC183",-0.00332585321465482,0.006,0.58466841182185,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"linoleoyl2arachidonoylGPC182204n6",0.00224507366719252,0.005,0.642812641347224,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"linoleoyl2linolenoylGPC182183",0.00199858555129565,0.005,0.704853373182713,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"linoleoylglycerol1821",0.00776177125370747,0.005,0.117882332302166,1,0.875836501980558,0,0.0575769588031901,"Not Sig","Not Sig","Complete-cases",0.968573179149993,"Not Sig"
"linoleoylGPA182",0.00731368051267688,0.005,0.122243226430819,1,0.888581563117045,0,0.0513027020332503,"Not Sig","Not Sig","Complete-cases",0.968573179149993,"Not Sig"
"linoleoylGPC182",-0.00704397122736927,0.006,0.217393723450129,1,0.948208336630111,0,0.023096230691246,"Not Sig","Not Sig","Complete-cases",0.968573179149993,"Not Sig"
"linoleoylGPE182",-0.00440862088402763,0.006,0.42648916680345,1,0.966475649732166,0,0.0148090835083431,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"linoleoylGPG182",-0.000919590705411031,0.005,0.858462128671224,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"linoleoylGPI182",-0.00499448333111162,0.005,0.307635874574507,1,0.948208336630111,0,0.023096230691246,"Not Sig","Not Sig","Complete-cases",0.968573179149993,"Not Sig"
"N1methyladenosine",0.00887957932093284,0.008,0.245503657520459,1,0.948208336630111,0,0.023096230691246,"Not Sig","Not Sig","Complete-cases",0.968573179149993,"Not Sig"
"methylhistamine",-0.00191019345813808,0.006,0.760373403649611,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"methylhistidine1",0.00120309958356891,0.007,0.866376468814223,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"methylimidazoleacetate",0.000534060717506408,0.007,0.935964746736587,1,0.986944476464262,0,0.00570727918797685,"Not Sig","Not Sig","Complete-cases",0.997898204949665,"Not Sig"
"methylnicotinamide",-0.00274917387131996,0.005,0.595277212219537,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"methylxanthine1",-0.009313323419507,0.007,0.182397080678622,1,0.918201681007843,0,0.037061916479863,"Not Sig","Not Sig","Complete-cases",0.968573179149993,"Not Sig"
"myristoylglycerol140",0.00533311751510722,0.007,0.465309387726341,1,0.968697631822028,0,0.0138117619828853,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"oleoylglycerol181",0.0028510061740795,0.006,0.631480128742525,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"oleoylGPC181",-0.0127240656777986,0.006,0.0208257573103584,1,0.519685507362816,0,0.284259394318412,"Not Sig","Not Sig","Complete-cases",0.610929766990137,"Not Sig"
"oleoylGPE181",-0.00970108746877323,0.006,0.101568655901248,1,0.855781946337052,0,0.0676368796759923,"Not Sig","Not Sig","Complete-cases",0.968573179149993,"Not Sig"
"oleoylGPI181",-0.00857772980314959,0.005,0.103941770502186,1,0.855781946337052,0,0.0676368796759923,"Not Sig","Not Sig","Complete-cases",0.968573179149993,"Not Sig"
"palmitoleoyl2linolenoylGPC161183",-0.0040338032790505,0.007,0.537378702234541,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"palmitoleoylglycerol161",0.00502801335073365,0.008,0.518331689345316,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"palmitoleoylGPC161",-0.0114105953875571,0.007,0.10230134086088,1,0.855781946337052,0,0.0676368796759923,"Not Sig","Not Sig","Complete-cases",0.968573179149993,"Not Sig"
"palmitoyl2arachidonoylGPC160204n6",-0.00538034129796219,0.005,0.276730586621276,1,0.948208336630111,0,0.023096230691246,"Not Sig","Not Sig","Complete-cases",0.968573179149993,"Not Sig"
"palmitoyl2arachidonoylGPE160204",-0.00559310474875573,0.006,0.36245050679697,1,0.959508134303906,0,0.0179513391480761,"Not Sig","Not Sig","Complete-cases",0.968573179149993,"Not Sig"
"palmitoyl2arachidonoylGPI160204",0.00108871907123851,0.006,0.847365657568785,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"palmitoyl2linoleoylGPC160182",-0.0034717328714403,0.005,0.517529797707587,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"palmitoyl2linoleoylGPE160182",-0.00365117830456687,0.006,0.574270547904904,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"palmitoyl2linoleoylGPI160182",0.00387588859321318,0.006,0.521176684166109,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"palmitoyl2oleoylGPC160181",-0.00858295019409238,0.006,0.142326626888088,1,0.888581563117045,0,0.0513027020332503,"Not Sig","Not Sig","Complete-cases",0.968573179149993,"Not Sig"
"palmitoyl2oleoylGPE160181",-0.00356628753649642,0.006,0.546219320978717,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"palmitoyl2oleoylGPI160181",-0.000884215214143097,0.006,0.887282005343705,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"palmitoyl2palmitoleoylGPC160161",-0.00612612382655462,0.007,0.38077546307718,1,0.959508134303906,0,0.0179513391480761,"Not Sig","Not Sig","Complete-cases",0.968573179149993,"Not Sig"
"palmitoyl2stearoylGPC160180",0.00161628327864974,0.006,0.768965808799549,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"palmitoylglycerol160",-0.00329620821091672,0.007,0.654283482467875,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"palmitoylGPA160",0.011070324879009,0.006,0.0481197129602276,1,0.665532645403763,0,0.176830636851983,"Not Sig","Not Sig","Complete-cases",0.788422989271421,"Not Sig"
"palmitoylGPC1601",-0.00692294093103409,0.006,0.269644073318924,1,0.948208336630111,0,0.023096230691246,"Not Sig","Not Sig","Complete-cases",0.968573179149993,"Not Sig"
"palmitoylGPE160",-0.00588583162206789,0.007,0.409966378544725,1,0.966475649732166,0,0.0148090835083431,"Not Sig","Not Sig","Complete-cases",0.981155490225016,"Not Sig"
"palmitoylGPG160",-0.00378444924416413,0.007,0.577259397705177,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"palmitoylGPI160",-0.00671955205221336,0.006,0.272210166907835,1,0.948208336630111,0,0.023096230691246,"Not Sig","Not Sig","Complete-cases",0.968573179149993,"Not Sig"
"pentadecanoylglycerol150",0.00664161326524409,0.007,0.368660261612156,1,0.959508134303906,0,0.0179513391480761,"Not Sig","Not Sig","Complete-cases",0.968573179149993,"Not Sig"
"stearoyl2arachidonoylGPC180204",0.00123639759381072,0.005,0.808773253234705,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"stearoyl2arachidonoylGPE180204",-0.00187254549848309,0.006,0.741924918290648,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"stearoyl2arachidonoylGPI180204",-0.00174476388217285,0.005,0.706542319249275,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"stearoyl2linoleoylGPC180182",0.0022447300220817,0.005,0.640975983908268,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"stearoyl2linoleoylGPE180182",-0.00113713055957485,0.006,0.854642098632924,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"stearoyl2linoleoylGPI180182",-0.00144469433809888,0.005,0.76089961595406,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"stearoyl2oleoylGPC180181",-0.0000542309786643868,0.006,0.992257937148078,1,0.996692609492874,0,0.00143876203439628,"Not Sig","Not Sig","Complete-cases",0.998458160955072,"Not Sig"
"stearoyl2oleoylGPE180181",0.000763297748999212,0.006,0.890067289772437,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"stearoyl2oleoylGPI180181",-0.00349769461246123,0.006,0.583044872498987,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"stearoyl2oleoylGPS180181",-0.00228513268691674,0.008,0.786766922064293,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"stearoylGPC180",-0.00112268722906044,0.006,0.843714798225052,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"stearoylGPE1801",-0.0047438511474553,0.007,0.492337078552522,1,0.975817675006611,0,0.0106313197671847,"Not Sig","Not Sig","Complete-cases",0.984001726928351,"Not Sig"
"stearoylGPI180",-0.00687996235715093,0.005,0.151929186417172,1,0.896495936450145,0,0.0474516746252545,"Not Sig","Not Sig","Complete-cases",0.968573179149993,"Not Sig"
