"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","strata","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"enyloleoylGPEP181",-0.165580768845324,0.180007132985818,0.357647644404114,1,0.806958181172554,"1",0,0.0931489710481725,"Not Sig","Not Sig","Complete-cases",0.847146381108819,"Not Sig"
"enylpalmitoyl2arachidonoylGPCP160204",-0.232509649249157,0.161589546132975,0.150181573372397,1,0.644946493624297,"1",0,0.190476314027693,"Not Sig","Not Sig","Complete-cases",0.717658598207078,"Not Sig"
"enylpalmitoyl2arachidonoylGPEP160204",-0.179855605358455,0.14245786458733,0.206762486075011,1,0.715236355821435,"1",0,0.145550418245496,"Not Sig","Not Sig","Complete-cases",0.775478061636798,"Not Sig"
"enylpalmitoyl2linoleoylGPCP160182",-0.387858779346512,0.157992548181423,0.0140916656539186,1,0.294614126113321,"1",0,0.530746433508371,"Not Sig","Not Sig","Complete-cases",0.355780749256085,"Not Sig"
"enylpalmitoyl2linoleoylGPEP160182",-0.0999431259186563,0.157462119255262,0.525616144496417,1,0.888652101320774,"1",0,0.0512682278352068,"Not Sig","Not Sig","Complete-cases",0.913138706472755,"Not Sig"
"enylpalmitoyl2oleoylGPCP160181",-0.195800769048745,0.177244720676748,0.269293207821958,1,0.759199379669828,"1",0,0.119644155435981,"Not Sig","Not Sig","Complete-cases",0.815721505408756,"Not Sig"
"enylpalmitoyl2oleoylGPEP160181",-0.0816433604589847,0.151235784389222,0.589306309023788,1,0.907168444884221,"1",0,0.0423120647684093,"Not Sig","Not Sig","Complete-cases",0.924641237721402,"Not Sig"
"enylpalmitoyl2palmitoleoylGPCP160161",-0.127011867874567,0.204237799102106,0.534019278661414,1,0.89567785730711,"1",0,0.0478481621573174,"Not Sig","Not Sig","Complete-cases",0.919779835753755,"Not Sig"
"enylpalmitoyl2palmitoylGPCP160160",-0.0870187889939837,0.171303140513561,0.611466469891325,1,0.917248837430137,"1",0,0.037512830019544,"Not Sig","Not Sig","Complete-cases",0.924641237721402,"Not Sig"
"enylpalmitoylGPCP160",-0.286699591670079,0.218673300351474,0.189828572609282,1,0.705189614775805,"1",0,0.151694092116862,"Not Sig","Not Sig","Complete-cases",0.772614381511665,"Not Sig"
"enylpalmitoylGPEP160",-0.151888925983294,0.178749407396506,0.39547461787564,1,0.83372897591604,"1",0,0.0789751045102054,"Not Sig","Not Sig","Complete-cases",0.87442311703299,"Not Sig"
"enylstearoyl2arachidonoylGPEP180204",-0.122308921304643,0.156550162171796,0.434640044336028,1,0.857963710715415,"1",0,0.0665310811132385,"Not Sig","Not Sig","Complete-cases",0.89017624464975,"Not Sig"
"enylstearoyl2linoleoylGPEP180182",0.0102827300032816,0.14748727271489,0.944416968859454,1,0.990956938172757,"1",0,0.00394521728090204,"Not Sig","Not Sig","Complete-cases",0.991880330275834,"Not Sig"
"enylstearoyl2oleoylGPEP180181",0.0903500840878764,0.150710163663635,0.548842425218365,1,0.898547000289572,"1",0,0.0464592013234489,"Not Sig","Not Sig","Complete-cases",0.922693491348387,"Not Sig"
"enylstearoylGPEP180",-0.133777284650688,0.183391935173335,0.465719648315048,1,0.873277076190738,"1",0,0.0588479400642857,"Not Sig","Not Sig","Complete-cases",0.898783008399271,"Not Sig"
"dilinoleoylGPC182182",-0.126007269852824,0.165322943977855,0.445947425081247,1,0.864023136094917,"1",0,0.0634746281879735,"Not Sig","Not Sig","Complete-cases",0.893292804473094,"Not Sig"
"dipalmitoylGPC160160",-0.0744812610642149,0.175860408867452,0.671912339615666,1,0.947153349548126,"1",0,0.0235797005417169,"Not Sig","Not Sig","Complete-cases",0.953862514991628,"Not Sig"
"dimethylurate13",-0.051485983621183,0.323678008972057,0.873617319535935,1,0.990956938172757,"1",0,0.00394521728090204,"Not Sig","Not Sig","Complete-cases",0.991573735867436,"Not Sig"
"anhydroglucitol15AG",-0.0457827557226994,0.202596658106321,0.821217118022133,1,0.990730035567685,"1",0,0.0040446704751233,"Not Sig","Not Sig","Complete-cases",0.991573735867436,"Not Sig"
"dimethylurate17",-0.212485595850584,0.172129134780596,0.217033567952909,1,0.71598603505007,"1",0,0.145095448306447,"Not Sig","Not Sig","Complete-cases",0.775478061636798,"Not Sig"
"heptadecenoate171n7",-0.0183320522366258,0.152642738549521,0.904405700289157,1,0.990956938172757,"1",0,0.00394521728090204,"Not Sig","Not Sig","Complete-cases",0.991573735867436,"Not Sig"
"nonadecenoate191n9",-0.0350099703871943,0.14368223874207,0.807492235511896,1,0.990362237005722,"1",0,0.00420592786828868,"Not Sig","Not Sig","Complete-cases",0.991573735867436,"Not Sig"
"undecenoate111n1",0.12678246948297,0.210580348268291,0.547132729365552,1,0.898547000289572,"1",0,0.0464592013234489,"Not Sig","Not Sig","Complete-cases",0.922693491348387,"Not Sig"
