"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"enyloleoylGPEP181",-0.0794201453814306,0.078,0.310910061963,1,0.79074542900008,0,0.101963309896944,"Not Sig","Not Sig","Complete-cases",0.747082838154474,"Not Sig"
"enylpalmitoyl2arachidonoylGPCP160204",0.0283057977136237,0.091,0.75621109254802,1,0.9413481749013,0,0.0262497150733324,"Not Sig","Not Sig","Complete-cases",0.922721657383628,"Not Sig"
"enylpalmitoyl2arachidonoylGPEP160204",0.0594184270211577,0.084,0.480729035901122,1,0.851049924529066,0,0.0700449624635718,"Not Sig","Not Sig","Complete-cases",0.83732460257455,"Not Sig"
"enylpalmitoyl2linoleoylGPCP160182",-0.0703193708567021,0.089,0.430457334818357,1,0.819467149813388,0,0.0864684514171267,"Not Sig","Not Sig","Complete-cases",0.799651147761274,"Not Sig"
"enylpalmitoyl2linoleoylGPEP160182",-0.0518509690993927,0.087,0.553456568591932,1,0.866851664507563,0,0.0620552125553934,"Not Sig","Not Sig","Complete-cases",0.839287470347775,"Not Sig"
"enylpalmitoyl2oleoylGPCP160181",0.0452162614067762,0.104,0.664742452662356,1,0.913727791476435,0,0.0391831656088549,"Not Sig","Not Sig","Complete-cases",0.882843325523549,"Not Sig"
"enylpalmitoyl2oleoylGPEP160181",-0.0178672723348615,0.085,0.832852625459947,1,0.962397904933005,0,0.0166453310932175,"Not Sig","Not Sig","Complete-cases",0.950773387832281,"Not Sig"
"enylpalmitoyl2palmitoleoylGPCP160161",0.1061906606126,0.099,0.281930194349593,1,0.77762606937661,0,0.109229188415335,"Not Sig","Not Sig","Complete-cases",0.733318152126383,"Not Sig"
"enylpalmitoyl2palmitoylGPCP160160",0.076009726349385,0.101,0.453463821731338,1,0.833741497696028,0,0.0789685818880198,"Not Sig","Not Sig","Complete-cases",0.820931155884806,"Not Sig"
"enylpalmitoylGPCP160",-0.0455093122928548,0.093,0.626399727977356,1,0.901013368722629,0,0.0452687651592333,"Not Sig","Not Sig","Complete-cases",0.86953405687137,"Not Sig"
"enylpalmitoylGPEP160",-0.0261450797545955,0.083,0.75165241580145,1,0.9413481749013,0,0.0262497150733324,"Not Sig","Not Sig","Complete-cases",0.922721657383628,"Not Sig"
"enylstearoyl2arachidonoylGPEP180204",0.0879573121057209,0.094,0.350733703718539,1,0.797318897508879,0,0.0983679424329596,"Not Sig","Not Sig","Complete-cases",0.755634817216423,"Not Sig"
"enylstearoyl2linoleoylGPEP180182",-0.0174132979785981,0.09,0.846689900486718,1,0.962993067848029,0,0.0163768391539544,"Not Sig","Not Sig","Complete-cases",0.950808348176593,"Not Sig"
"enylstearoyl2oleoylGPEP180181",-0.00144044152736258,0.096,0.988047118309117,1,0.998893754450668,0,0.000480702274130462,"Not Sig","Not Sig","Complete-cases",0.998267105795345,"Not Sig"
"enylstearoylGPEP180",-0.0370635771328344,0.089,0.676910688679984,1,0.913727791476435,0,0.0391831656088549,"Not Sig","Not Sig","Complete-cases",0.884552004225992,"Not Sig"
"dilinoleoylGPC182182",-0.15525082599143,0.086,0.0712159117081861,1,0.58202822386963,0,0.235055954914309,"Not Sig","Not Sig","Complete-cases",0.568837094769136,"Not Sig"
"dipalmitoylGPC160160",0.10889211349105,0.093,0.243961661773632,1,0.77762606937661,0,0.109229188415335,"Not Sig","Not Sig","Complete-cases",0.733318152126383,"Not Sig"
"dimethylurate13",0.0961007178405827,0.166,0.562151858073314,1,0.866851664507563,0,0.0620552125553934,"Not Sig","Not Sig","Complete-cases",0.839287470347775,"Not Sig"
"anhydroglucitol15AG",-0.061979153327055,0.101,0.540951626553529,1,0.865841022581965,0,0.0625618416472259,"Not Sig","Not Sig","Complete-cases",0.839287470347775,"Not Sig"
"dimethylurate17",0.165025073143859,0.119,0.166986567010995,1,0.70794942879519,0,0.149997764315332,"Not Sig","Not Sig","Complete-cases",0.678368883182628,"Not Sig"
"heptadecenoate171n7",0.179622655650974,0.118,0.126404647573973,1,0.649358732394298,0,0.187515314821379,"Not Sig","Not Sig","Complete-cases",0.611913407574008,"Not Sig"
"nonadecenoate191n9",0.13069022384488,0.108,0.228048661933062,1,0.772648723274406,0,0.112017908691823,"Not Sig","Not Sig","Complete-cases",0.733318152126383,"Not Sig"
"undecenoate111n1",-0.0485586502671603,0.082,0.552931042953909,1,0.866851664507563,0,0.0620552125553934,"Not Sig","Not Sig","Complete-cases",0.839287470347775,"Not Sig"
"DiHOME1213",-0.141977348541732,0.127,0.264946587077752,1,0.77762606937661,0,0.109229188415335,"Not Sig","Not Sig","Complete-cases",0.733318152126383,"Not Sig"
