"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"dilinoleoylGPE182182",0.0227236912883695,0.026,0.379927228085826,1,0.930166661865298,0,0.0314392301087405,"Not Sig","Not Sig","Dichotomized",0.918302670361847,"Not Sig"
"trimethylurate",0.00772187303384753,0.027,0.774526731735999,1,0.970124688564524,0,0.0131724429756376,"Not Sig","Not Sig","Dichotomized",0.979876449377022,"Not Sig"
"alphahydroxypregnanoloneglucuronide",0.00633454404258709,0.023,0.78747464830122,1,0.972360000511072,0,0.012172914816997,"Not Sig","Not Sig","Dichotomized",0.979876449377022,"Not Sig"
"alphahydroxypregnenolone3sulfate",0.0277916914745321,0.026,0.289894139159961,1,0.857603495014884,0,0.0667134577555668,"Not Sig","Not Sig","Dichotomized",0.882859423805335,"Not Sig"
"methylurate",0.0252897563192469,0.025,0.315057391725328,1,0.894762992499932,0,0.0482919866735717,"Not Sig","Not Sig","Dichotomized",0.917775880243348,"Not Sig"
"stearoylGPG180",-0.00326140108731761,0.028,0.906548351497197,1,0.975928421475045,0,0.0105820340734464,"Not Sig","Not Sig","Dichotomized",0.979876449377022,"Not Sig"
"hydroxypregnenolonemonosulfate1",0.00096429549611876,0.021,0.964213051195158,1,0.990937143470795,0,0.00395389254757011,"Not Sig","Not Sig","Dichotomized",0.98778477404448,"Not Sig"
"acetamidophenolsulfate",-0.0392038622540927,0.025,0.119085036386159,1,0.721196641935078,0,0.141946304124429,"Not Sig","Not Sig","Dichotomized",0.798873149926823,"Not Sig"
"hydroxyphenylpropionate",-0.0173366764437928,0.026,0.497172281762799,1,0.970124688564524,0,0.0131724429756376,"Not Sig","Not Sig","Dichotomized",0.918302670361847,"Not Sig"
"hydroxyphenylpropionatesulfate",0.0154999586011993,0.023,0.502229965910096,1,0.970124688564524,0,0.0131724429756376,"Not Sig","Not Sig","Dichotomized",0.918302670361847,"Not Sig"
"dimethylurate37",0.0301371620143542,0.024,0.200672426790814,1,0.813275455545647,0,0.0897623344033269,"Not Sig","Not Sig","Dichotomized",0.798873149926823,"Not Sig"
"acetaminophensulfate",-0.0259807498428958,0.029,0.368895450678513,1,0.91900270169033,0,0.0366832118701703,"Not Sig","Not Sig","Dichotomized",0.918302670361847,"Not Sig"
"acetylphenolsulfate4",-0.00512798518777603,0.025,0.839635754068649,1,0.975928421475045,0,0.0105820340734464,"Not Sig","Not Sig","Dichotomized",0.979876449377022,"Not Sig"
