"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","strata","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"enyloleoylGPEP181",-0.212353051377808,0.16697233811929,0.203449229729798,1,0.716904067266617,"1",0,0.14453895569091,"Not Sig","Not Sig","Imputed",0.751468542181162,"Not Sig"
"enylpalmitoyl2arachidonoylGPCP160204",-0.289710677721657,0.157289359805657,0.0654903312292938,1,0.528790156299924,"1",0,0.27671663806178,"Not Sig","Not Sig","Imputed",0.612507658542287,"Not Sig"
"enylpalmitoyl2arachidonoylGPEP160204",-0.224246761688962,0.14865083033704,0.131414591362071,1,0.661064949983998,"1",0,0.179755868753531,"Not Sig","Not Sig","Imputed",0.728635307440215,"Not Sig"
"enylpalmitoyl2linoleoylGPCP160182",-0.385798356242678,0.148128739685686,0.0092013761474714,1,0.33682089743989,"1",0,0.472600971325346,"Not Sig","Not Sig","Imputed",0.393477704369848,"Not Sig"
"enylpalmitoyl2linoleoylGPEP160182",-0.112198615917837,0.148563423979953,0.450114782040351,1,0.858578435018278,"1",0,0.0662200239280693,"Not Sig","Not Sig","Imputed",0.904946829495215,"Not Sig"
"enylpalmitoyl2oleoylGPCP160181",-0.163880619959051,0.15865521156833,0.301634026164741,1,0.790580144379307,"1",0,0.102054097272061,"Not Sig","Not Sig","Imputed",0.834390228221946,"Not Sig"
"enylpalmitoyl2oleoylGPEP160181",-0.0491859768149074,0.136210759220528,0.718023202380336,1,0.928758157440154,"1",0,0.0320973587326472,"Not Sig","Not Sig","Imputed",0.942770095788283,"Not Sig"
"enylpalmitoyl2palmitoleoylGPCP160161",-0.15447514397147,0.181789194537452,0.395464778931207,1,0.85509182587475,"1",0,0.0679872451205386,"Not Sig","Not Sig","Imputed",0.896815538589502,"Not Sig"
"enylpalmitoyl2palmitoylGPCP160160",-0.145482761812443,0.160725247735699,0.365378333741691,1,0.848772925151886,"1",0,0.0712084823638702,"Not Sig","Not Sig","Imputed",0.891132653667711,"Not Sig"
"enylpalmitoylGPCP160",-0.403827462807257,0.206224512784044,0.0502073329875861,1,0.480174386764255,"1",0,0.318601009592652,"Not Sig","Not Sig","Imputed",0.543770945407924,"Not Sig"
"enylpalmitoylGPEP160",-0.263294942955495,0.178084411299057,0.139278291280264,1,0.664209104449048,"1",0,0.177695175734196,"Not Sig","Not Sig","Imputed",0.728635307440215,"Not Sig"
"enylstearoyl2arachidonoylGPEP180204",-0.111634690798789,0.151981608138194,0.462627225445024,1,0.864652869271852,"1",0,0.0631582130181406,"Not Sig","Not Sig","Imputed",0.907869287941856,"Not Sig"
"enylstearoyl2linoleoylGPEP180182",0.0151525409063162,0.144299030808173,0.91636952518907,1,0.980959251176026,"1",0,0.0083490327392719,"Not Sig","Not Sig","Imputed",0.985769872325157,"Not Sig"
"enylstearoyl2oleoylGPEP180181",0.125659649473286,0.148517246869509,0.397499939548475,1,0.85509182587475,"1",0,0.0679872451205386,"Not Sig","Not Sig","Imputed",0.896815538589502,"Not Sig"
"enylstearoylGPEP180",-0.209658614809676,0.177482440401862,0.237486682007402,1,0.744615333393913,"1",0,0.1280680248732,"Not Sig","Not Sig","Imputed",0.78629010260482,"Not Sig"
"dilinoleoylGPC182182",-0.241474226824087,0.143111846438768,0.0915435211721654,1,0.611514065813562,"1",0,0.213593549036596,"Not Sig","Not Sig","Imputed",0.697183174126411,"Not Sig"
"dipalmitoylGPC160160",-0.108306038423191,0.173332865468294,0.532073307559254,1,0.885072773069316,"1",0,0.0530210189710131,"Not Sig","Not Sig","Imputed",0.908958761918092,"Not Sig"
"dimethylurate13",0.0229718650244858,0.168623555954981,0.891638156408612,1,0.975130856599094,"1",0,0.0109371007264917,"Not Sig","Not Sig","Imputed",0.980123757387731,"Not Sig"
"anhydroglucitol15AG",-0.105451805885617,0.201585416564356,0.600896123811914,1,0.910642023156626,"1",0,0.0406523122927866,"Not Sig","Not Sig","Imputed",0.924292528495372,"Not Sig"
"dimethylurate17",0.0127972378596503,0.14385535784526,0.929114443974079,1,0.981520429063099,"1",0,0.00810065669867516,"Not Sig","Not Sig","Imputed",0.985769872325157,"Not Sig"
"heptadecenoate171n7",0.0104933806799544,0.174592192645369,0.952074211331993,1,0.982125327389072,"1",0,0.007833089076023,"Not Sig","Not Sig","Imputed",0.985769872325157,"Not Sig"
"nonadecenoate191n9",0.00445657581778489,0.165417445022143,0.978506481433418,1,0.985652292617329,"1",0,0.00627626358802732,"Not Sig","Not Sig","Imputed",0.987447950757734,"Not Sig"
"undecenoate111n1",0.0686737211940888,0.207397628416195,0.74055304949559,1,0.933235276262127,"1",0,0.0300088532511663,"Not Sig","Not Sig","Imputed",0.942770095788283,"Not Sig"
"DiHOME1213",-0.498941178630857,0.170461338274036,0.00342243448300577,1,0.31941754720765,"1",0,0.495641229568448,"Not Sig","Not Sig","Imputed",0.393477704369848,"Not Sig"
"HETE",-0.0311797768430873,0.152528072704546,0.838025362761948,1,0.960950001432386,"1",0,0.017299208238743,"Not Sig","Not Sig","Imputed",0.971866074056052,"Not Sig"
"HODE9HODE",-0.0119176032312895,0.161872206795877,0.941309947920006,1,0.982125327389072,"1",0,0.007833089076023,"Not Sig","Not Sig","Imputed",0.985769872325157,"Not Sig"
"ahydroxyDHEA3sulfate",-0.120153081460188,0.151866538134721,0.428841596946387,1,0.858578435018278,"1",0,0.0662200239280693,"Not Sig","Not Sig","Imputed",0.904946829495215,"Not Sig"
"hydroxypalmitate16",0.106142823227389,0.151229852281649,0.48276384058735,1,0.879847844611637,"1",0,0.0555924255304914,"Not Sig","Not Sig","Imputed",0.908958761918092,"Not Sig"
"methylstearate",-0.0293081968148543,0.158974397881611,0.853732641973619,1,0.967850750484594,"1",0,0.0141916088470081,"Not Sig","Not Sig","Imputed",0.979416801115157,"Not Sig"
"arachidonoylGPA204",0.00825505999716664,0.153913648567338,0.957226480780595,1,0.982125327389072,"1",0,0.007833089076023,"Not Sig","Not Sig","Imputed",0.985769872325157,"Not Sig"
"arachidonoylGPC204n6",-0.230246037789454,0.149171941219869,0.122710894632685,1,0.661064949983998,"1",0,0.179755868753531,"Not Sig","Not Sig","Imputed",0.728635307440215,"Not Sig"
"arachidonoylGPE204n6",-0.202891049261432,0.15118120530618,0.179583402825197,1,0.701975257860068,"1",0,0.153678194941717,"Not Sig","Not Sig","Imputed",0.742350404952049,"Not Sig"
"arachidonoylGPI204",-0.0902434832258419,0.156715249562242,0.564720858343478,1,0.886010561345177,"1",0,0.0525611012432036,"Not Sig","Not Sig","Imputed",0.908958761918092,"Not Sig"
"arachidonylglycerol204",0.247395941540294,0.188992144287313,0.190524986560463,1,0.701975257860068,"1",0,0.153678194941717,"Not Sig","Not Sig","Imputed",0.742350404952049,"Not Sig"
"dihomolinolenylglycerol203",0.134530114938495,0.169306923156955,0.426850226424113,1,0.858578435018278,"1",0,0.0662200239280693,"Not Sig","Not Sig","Imputed",0.904946829495215,"Not Sig"
"docosahexaenoylglycerol226",0.0446667344883738,0.181571310985496,0.805681413996668,1,0.951820860166175,"1",0,0.0214447814076258,"Not Sig","Not Sig","Imputed",0.958753044580358,"Not Sig"
