"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"enyloleoylGPEP181",0.0126938293748882,0.102,0.901381238468535,1,0.986321779871489,0,0.00598137671764338,"Not Sig","Not Sig","Imputed",0.983772326980635,"Not Sig"
"enylpalmitoyl2arachidonoylGPCP160204",-0.0855552665029759,0.103,0.407585778439,1,0.893214179830489,0,0.0490443910940454,"Not Sig","Not Sig","Imputed",0.908474623708902,"Not Sig"
"enylpalmitoyl2arachidonoylGPEP160204",-0.00677688573924386,0.101,0.946728901520327,1,0.991968860683886,0,0.00350196075451024,"Not Sig","Not Sig","Imputed",0.988496353057989,"Not Sig"
"enylpalmitoyl2linoleoylGPCP160182",-0.128615805411284,0.11,0.240859861369699,1,0.792594750715561,0,0.100948808285976,"Not Sig","Not Sig","Imputed",0.820809210142295,"Not Sig"
"enylpalmitoyl2linoleoylGPEP160182",-0.0166267229602877,0.113,0.883236011568738,1,0.984429837886434,0,0.0068152313842654,"Not Sig","Not Sig","Imputed",0.978159004928237,"Not Sig"
"enylpalmitoyl2oleoylGPCP160181",-0.129723268627187,0.119,0.27722356549524,1,0.826722269659956,0,0.0826403634969791,"Not Sig","Not Sig","Imputed",0.85191672663806,"Not Sig"
"enylpalmitoyl2oleoylGPEP160181",-0.0568190848808991,0.118,0.629375864570794,1,0.933678056516739,0,0.0298028479465785,"Not Sig","Not Sig","Imputed",0.926661699218288,"Not Sig"
"enylpalmitoyl2palmitoleoylGPCP160161",-0.0279901318498636,0.122,0.819142137318988,1,0.979985428895296,0,0.00878038165180483,"Not Sig","Not Sig","Imputed",0.972701163130051,"Not Sig"
"enylpalmitoyl2palmitoylGPCP160160",-0.00639279723816579,0.128,0.960054029883291,1,0.994341673807695,0,0.00246435850798515,"Not Sig","Not Sig","Imputed",0.9926772250735,"Not Sig"
"enylpalmitoylGPCP160",-0.0173121491411527,0.104,0.868050665274284,1,0.980775321235278,0,0.00843047062560077,"Not Sig","Not Sig","Imputed",0.975731761441378,"Not Sig"
