"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"enyloleoylGPEP181",-0.360598551783723,0.179,0.0444105607780689,1,0.67669651083871,0,0.169606062806322,"Not Sig","Not Sig","Imputed",0.728463659075889,"Not Sig"
"enylpalmitoyl2arachidonoylGPCP160204",-0.197432770705359,0.222,0.373583212645426,1,0.923433107604135,0,0.034594558860004,"Not Sig","Not Sig","Imputed",0.901575532966572,"Not Sig"
"enylpalmitoyl2arachidonoylGPEP160204",-0.216355385426649,0.206,0.292819436721577,1,0.910423486178132,0,0.0407565473176343,"Not Sig","Not Sig","Imputed",0.891467798456184,"Not Sig"
"enylpalmitoyl2linoleoylGPCP160182",0.0333136508562171,0.189,0.859947533070987,1,0.978923177832859,0,0.00925138863849772,"Not Sig","Not Sig","Imputed",0.960364134230453,"Not Sig"
"enylpalmitoyl2linoleoylGPEP160182",-0.0617552158648327,0.191,0.745848124885678,1,0.978923177832859,0,0.00925138863849772,"Not Sig","Not Sig","Imputed",0.947606114357074,"Not Sig"
"enylpalmitoyl2oleoylGPCP160181",0.00186547636882266,0.213,0.992996589457459,1,0.995765557881994,0,0.00184289943079477,"Not Sig","Not Sig","Imputed",0.994649511585357,"Not Sig"
"enylpalmitoyl2oleoylGPEP160181",-0.203371078100827,0.18,0.259046102259114,1,0.895229490457313,0,0.0480656198086544,"Not Sig","Not Sig","Imputed",0.865653550192801,"Not Sig"
"enylpalmitoyl2palmitoleoylGPCP160161",-0.141015951165025,0.227,0.533957232228355,1,0.961729366077602,0,0.0169471227178127,"Not Sig","Not Sig","Imputed",0.931718726647289,"Not Sig"
"enylpalmitoyl2palmitoylGPCP160160",0.0341324002874856,0.227,0.880271332370187,1,0.980847736853952,0,0.0083984056440252,"Not Sig","Not Sig","Imputed",0.963173598261214,"Not Sig"
"enylpalmitoylGPCP160",-0.245673091614976,0.206,0.232984551727491,1,0.87028223169745,0,0.0603398832529513,"Not Sig","Not Sig","Imputed",0.842257834500202,"Not Sig"
"enylpalmitoylGPEP160",-0.402493099115845,0.194,0.0384812397710205,1,0.631687811836085,0,0.199497502563283,"Not Sig","Not Sig","Imputed",0.723220947461238,"Not Sig"
"enylstearoyl2arachidonoylGPEP180204",-0.234887588463217,0.215,0.275590650436726,1,0.900961898174539,0,0.0452935750169854,"Not Sig","Not Sig","Imputed",0.87499446144591,"Not Sig"
"enylstearoyl2linoleoylGPEP180182",-0.0443413356275162,0.185,0.810142905842972,1,0.978923177832859,0,0.00925138863849772,"Not Sig","Not Sig","Imputed",0.955119417929,"Not Sig"
"enylstearoyl2oleoylGPEP180181",-0.0276483894636773,0.18,0.877616940022394,1,0.980847736853952,0,0.0083984056440252,"Not Sig","Not Sig","Imputed",0.963173598261214,"Not Sig"
"enylstearoylGPEP180",-0.34421657080359,0.205,0.092746439853128,1,0.699414710624405,0,0.155265237517456,"Not Sig","Not Sig","Imputed",0.736932295161469,"Not Sig"
"dilinoleoylGPC182182",0.385234115280942,0.199,0.0525385952384743,1,0.684524595933165,0,0.164610942437017,"Not Sig","Not Sig","Imputed",0.729829616464893,"Not Sig"
"dipalmitoylGPC160160",-0.071425455889804,0.216,0.741151227666934,1,0.978923177832859,0,0.00925138863849772,"Not Sig","Not Sig","Imputed",0.947606114357074,"Not Sig"
"dimethylurate13",-0.220201547106083,0.216,0.307294738219877,1,0.910423486178132,0,0.0407565473176343,"Not Sig","Not Sig","Imputed",0.891467798456184,"Not Sig"
"anhydroglucitol15AG",0.224437437941672,0.224,0.315401105011585,1,0.910423486178132,0,0.0407565473176343,"Not Sig","Not Sig","Imputed",0.891467798456184,"Not Sig"
"dimethylurate17",-0.286930662365348,0.215,0.18291593980702,1,0.818116566599555,0,0.0871848129249144,"Not Sig","Not Sig","Imputed",0.794641980370483,"Not Sig"
"heptadecenoate171n7",-0.20987440064642,0.226,0.353327693795204,1,0.91803929688407,0,0.0371387283252974,"Not Sig","Not Sig","Imputed",0.899507555120061,"Not Sig"
"nonadecenoate191n9",-0.280764670763214,0.22,0.20220133227538,1,0.843666082115459,0,0.0738294104710704,"Not Sig","Not Sig","Imputed",0.812620448578415,"Not Sig"
"undecenoate111n1",0.0542562266128886,0.171,0.750469614601988,1,0.978923177832859,0,0.00925138863849772,"Not Sig","Not Sig","Imputed",0.947606114357074,"Not Sig"
"DiHOME1213",0.340466021820438,0.203,0.0936870732374482,1,0.699414710624405,0,0.155265237517456,"Not Sig","Not Sig","Imputed",0.736932295161469,"Not Sig"
"HETE",0.166169241581327,0.207,0.421879577275064,1,0.946199165897323,0,0.0240174391307738,"Not Sig","Not Sig","Imputed",0.918014133302228,"Not Sig"
"HODE9HODE",-0.130486215177049,0.188,0.486790919207192,1,0.954400192726263,0,0.0202694816386951,"Not Sig","Not Sig","Imputed",0.930518344754474,"Not Sig"
