"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","strata","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"enyloleoylGPEP181",-0.511791921025978,0.373805516781227,0.170955654196587,1,0.968031104426119,"1",0,0.0141106878738385,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"enylpalmitoyl2arachidonoylGPCP160204",0.123151791062161,0.39891180610439,0.757535027818371,1,0.985501321012973,"1",0,0.00634278923511089,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"enylpalmitoyl2arachidonoylGPEP160204",-0.207468973378432,0.437471113546281,0.635324416420898,1,0.985501321012973,"1",0,0.00634278923511089,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"enylpalmitoyl2linoleoylGPCP160182",0.371293306497201,0.393974276932439,0.345972366733972,1,0.978342055212704,"1",0,0.00950927740124421,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"enylpalmitoyl2linoleoylGPEP160182",-0.0302171504649197,0.506441264619518,0.952421925230651,1,0.993537243737815,"1",0,0.00281584828576988,"Not Sig","Not Sig","Imputed",0.991561512761171,"Not Sig"
"enylpalmitoyl2oleoylGPCP160181",0.126199394063465,0.47927867714345,0.792310807527844,1,0.985501321012973,"1",0,0.00634278923511089,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"enylpalmitoyl2oleoylGPEP160181",-0.500944836614515,0.541905134202097,0.355270670190977,1,0.978342055212704,"1",0,0.00950927740124421,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"enylpalmitoyl2palmitoleoylGPCP160161",-0.137988750759887,0.463442054561686,0.765895824969547,1,0.985501321012973,"1",0,0.00634278923511089,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"enylpalmitoyl2palmitoylGPCP160160",0.0685564891660842,0.410985690985395,0.867519615068036,1,0.985501321012973,"1",0,0.00634278923511089,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"enylpalmitoylGPCP160",-0.194615966987179,0.41272349859631,0.63725459391255,1,0.985501321012973,"1",0,0.00634278923511089,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"enylpalmitoylGPEP160",-0.658234935073229,0.430267250229213,0.126059281199821,1,0.968031104426119,"1",0,0.0141106878738385,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"enylstearoyl2arachidonoylGPEP180204",0.156373517566345,0.461547533907163,0.734758421177478,1,0.985501321012973,"1",0,0.00634278923511089,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"enylstearoyl2linoleoylGPEP180182",0.0267530298134189,0.493901399117087,0.9568023175583,1,0.993537243737815,"1",0,0.00281584828576988,"Not Sig","Not Sig","Imputed",0.991561512761171,"Not Sig"
"enylstearoyl2oleoylGPEP180181",0.0509759691199429,0.526909868773856,0.922928791253489,1,0.990080225072026,"1",0,0.00432961358984647,"Not Sig","Not Sig","Imputed",0.991561512761171,"Not Sig"
"enylstearoylGPEP180",-0.0654676271780686,0.420583414468471,0.876301753686164,1,0.985501321012973,"1",0,0.00634278923511089,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"dilinoleoylGPC182182",0.9664091849,0.449981301569248,0.0317403612950841,1,0.881245090504104,"1",0,0.0549032894875417,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"dipalmitoylGPC160160",-0.0265766158400265,0.434016961534429,0.951172813510877,1,0.993537243737815,"1",0,0.00281584828576988,"Not Sig","Not Sig","Imputed",0.991561512761171,"Not Sig"
"dimethylurate13",-0.0884554628845434,0.422377908981005,0.834118383064121,1,0.985501321012973,"1",0,0.00634278923511089,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"anhydroglucitol15AG",0.362716694970526,0.430178122485118,0.399128944684125,1,0.978342055212704,"1",0,0.00950927740124421,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"dimethylurate17",0.172855306405367,0.381336620336272,0.650341386871238,1,0.985501321012973,"1",0,0.00634278923511089,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"heptadecenoate171n7",-0.271475260621498,0.475074678639172,0.567703437821206,1,0.985501321012973,"1",0,0.00634278923511089,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"nonadecenoate191n9",-0.212262301431725,0.51700524108057,0.681394306068511,1,0.985501321012973,"1",0,0.00634278923511089,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"undecenoate111n1",-0.144802057143009,0.419087649528136,0.729705463590706,1,0.985501321012973,"1",0,0.00634278923511089,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"DiHOME1213",0.22293420610227,0.403839525055882,0.580923264543072,1,0.985501321012973,"1",0,0.00634278923511089,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"HETE",-0.151738862608962,0.377444653823557,0.68767210944748,1,0.985501321012973,"1",0,0.00634278923511089,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"HODE9HODE",-0.338849578208968,0.454711271872688,0.456152499888865,1,0.978342055212704,"1",0,0.00950927740124421,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"ahydroxyDHEA3sulfate",0.997995197562271,0.392196649809881,0.010939371401772,1,0.795853178735388,"1",0,0.0991670447577292,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"hydroxypalmitate16",0.300668974924044,0.474452054703425,0.526264644984,1,0.978342055212704,"1",0,0.00950927740124421,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"methylstearate",-0.0448953641749641,0.453617393402348,0.921160600558446,1,0.989684626842464,"1",0,0.00450317574827178,"Not Sig","Not Sig","Imputed",0.991561512761171,"Not Sig"
"arachidonoylGPA204",0.103976984091636,0.383337874254635,0.786205609352041,1,0.985501321012973,"1",0,0.00634278923511089,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"arachidonoylGPC204n6",-0.310519121959346,0.395845995282897,0.432779471866769,1,0.978342055212704,"1",0,0.00950927740124421,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"arachidonoylGPE204n6",0.514106233566816,0.401477742163226,0.200357102224381,1,0.968031104426119,"1",0,0.0141106878738385,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"arachidonoylGPI204",-0.470067720810744,0.403202097837489,0.243680558458338,1,0.968031104426119,"1",0,0.0141106878738385,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"arachidonylglycerol204",-0.502720226753758,0.455880135752161,0.270137264704687,1,0.968031104426119,"1",0,0.0141106878738385,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"dihomolinolenylglycerol203",-0.571942174474712,0.415599609037879,0.168764196161147,1,0.968031104426119,"1",0,0.0141106878738385,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"docosahexaenoylglycerol226",-1.21065850542751,0.448764356760935,0.00698077601701521,1,0.795853178735388,"1",0,0.0991670447577292,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"lignoceroylGPC240",0.738355255782631,0.450674700466788,0.101352237242594,1,0.968031104426119,"1",0,0.0141106878738385,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"linolenoylglycerol183",-0.112042572394049,0.411101448408676,0.785204999787128,1,0.985501321012973,"1",0,0.00634278923511089,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"linolenoylGPC183",0.368688181407373,0.559660271711184,0.510042574638012,1,0.978342055212704,"1",0,0.00950927740124421,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"linoleoyl2arachidonoylGPC182204n6",0.575538466704504,0.377383086654764,0.127239760322519,1,0.968031104426119,"1",0,0.0141106878738385,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"linoleoyl2linolenoylGPC182183",0.344320451812152,0.592176491834924,0.560937855198627,1,0.985501321012973,"1",0,0.00634278923511089,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"linoleoylglycerol1821",-0.479904535417876,0.403354766693238,0.234131799159175,1,0.968031104426119,"1",0,0.0141106878738385,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"linoleoylGPA182",0.0750863643745817,0.470354444311894,0.873166374483717,1,0.985501321012973,"1",0,0.00634278923511089,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"linoleoylGPC182",0.0632665366359232,0.408275308835211,0.876852475586087,1,0.985501321012973,"1",0,0.00634278923511089,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
"linoleoylGPE182",0.974299666216946,0.506456308297878,0.0543848520291605,1,0.968031104426119,"1",0,0.0141106878738385,"Not Sig","Not Sig","Imputed",0.989516521766895,"Not Sig"
