"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"enyloleoylGPEP181",-0.0132640611069338,0.032,0.67960366879839,1,0.975976255763445,0,0.0105607480262902,"Not Sig","Not Sig","Complete-cases",0.981789157897248,"Not Sig"
"enylpalmitoyl2arachidonoylGPCP160204",0.00164785834688712,0.035,0.962647450272037,1,0.989721829080581,0,0.00448685092859433,"Not Sig","Not Sig","Complete-cases",0.989590140784031,"Not Sig"
"enylpalmitoyl2arachidonoylGPEP160204",-0.00678331959411921,0.032,0.833830244151212,1,0.975976255763445,0,0.0105607480262902,"Not Sig","Not Sig","Complete-cases",0.981789157897248,"Not Sig"
"enylpalmitoyl2linoleoylGPCP160182",-0.00715800703741215,0.033,0.827167158777169,1,0.975976255763445,0,0.0105607480262902,"Not Sig","Not Sig","Complete-cases",0.981789157897248,"Not Sig"
"enylpalmitoyl2linoleoylGPEP160182",-0.0149934118699663,0.033,0.653617760020847,1,0.975976255763445,0,0.0105607480262902,"Not Sig","Not Sig","Complete-cases",0.981789157897248,"Not Sig"
"enylpalmitoyl2oleoylGPCP160181",-0.0280790102150771,0.039,0.466025581345084,1,0.975976255763445,0,0.0105607480262902,"Not Sig","Not Sig","Complete-cases",0.981789157897248,"Not Sig"
"enylpalmitoyl2oleoylGPEP160181",-0.0318467278425541,0.031,0.303641007357915,1,0.975976255763445,0,0.0105607480262902,"Not Sig","Not Sig","Complete-cases",0.981789157897248,"Not Sig"
"enylpalmitoyl2palmitoleoylGPCP160161",-0.0273502058191649,0.036,0.452243516263422,1,0.975976255763445,0,0.0105607480262902,"Not Sig","Not Sig","Complete-cases",0.981789157897248,"Not Sig"
"enylpalmitoyl2palmitoylGPCP160160",-0.0117385595435264,0.039,0.761172225686833,1,0.975976255763445,0,0.0105607480262902,"Not Sig","Not Sig","Complete-cases",0.981789157897248,"Not Sig"
"enylpalmitoylGPCP160",-0.01248132438226,0.035,0.719394578121871,1,0.975976255763445,0,0.0105607480262902,"Not Sig","Not Sig","Complete-cases",0.981789157897248,"Not Sig"
"enylpalmitoylGPEP160",-0.0215195066598774,0.033,0.51988517572682,1,0.975976255763445,0,0.0105607480262902,"Not Sig","Not Sig","Complete-cases",0.981789157897248,"Not Sig"
"enylstearoyl2arachidonoylGPEP180204",-0.0182175266621617,0.035,0.606844649526252,1,0.975976255763445,0,0.0105607480262902,"Not Sig","Not Sig","Complete-cases",0.981789157897248,"Not Sig"
"enylstearoyl2linoleoylGPEP180182",-0.0201367209089495,0.031,0.519707142478427,1,0.975976255763445,0,0.0105607480262902,"Not Sig","Not Sig","Complete-cases",0.981789157897248,"Not Sig"
"enylstearoyl2oleoylGPEP180181",-0.0180400173071078,0.031,0.565059511246594,1,0.975976255763445,0,0.0105607480262902,"Not Sig","Not Sig","Complete-cases",0.981789157897248,"Not Sig"
"enylstearoylGPEP180",-0.0163038569618335,0.034,0.631892604289309,1,0.975976255763445,0,0.0105607480262902,"Not Sig","Not Sig","Complete-cases",0.981789157897248,"Not Sig"
"dilinoleoylGPC182182",0.0128549328217566,0.031,0.68104248289566,1,0.975976255763445,0,0.0105607480262902,"Not Sig","Not Sig","Complete-cases",0.981789157897248,"Not Sig"
"dipalmitoylGPC160160",-0.028295546967376,0.036,0.433695003148262,1,0.975976255763445,0,0.0105607480262902,"Not Sig","Not Sig","Complete-cases",0.981789157897248,"Not Sig"
"dimethylurate13",-0.0320032388373341,0.045,0.479831068758971,1,0.975976255763445,0,0.0105607480262902,"Not Sig","Not Sig","Complete-cases",0.981789157897248,"Not Sig"
"anhydroglucitol15AG",0.0279170472030347,0.043,0.511841932891572,1,0.975976255763445,0,0.0105607480262902,"Not Sig","Not Sig","Complete-cases",0.981789157897248,"Not Sig"
"dimethylurate17",-0.0210469423397839,0.034,0.534598292223762,1,0.975976255763445,0,0.0105607480262902,"Not Sig","Not Sig","Complete-cases",0.981789157897248,"Not Sig"
"heptadecenoate171n7",-0.0201388077138564,0.043,0.643024726285449,1,0.975976255763445,0,0.0105607480262902,"Not Sig","Not Sig","Complete-cases",0.981789157897248,"Not Sig"
