"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"dilinoleoylGPE182182",-0.0610793619816647,0.084,0.468461879195636,1,0.978201942456322,0,0.00957147911724696,"Not Sig","Not Sig","Dichotomized",0.992593961108041,"Not Sig"
"trimethylurate",-0.0777298282177458,0.065,0.232280075475714,1,0.978201942456322,0,0.00957147911724696,"Not Sig","Not Sig","Dichotomized",0.992593961108041,"Not Sig"
"alphahydroxypregnanoloneglucuronide",0.0587075052065375,0.082,0.474326739480442,1,0.978201942456322,0,0.00957147911724696,"Not Sig","Not Sig","Dichotomized",0.992593961108041,"Not Sig"
"alphahydroxypregnenolone3sulfate",-0.00179026488493243,0.079,0.981811695617314,1,0.999848757045919,0,0.0000656889480048073,"Not Sig","Not Sig","Dichotomized",0.992593961108041,"Not Sig"
"methylurate",-0.0964875571551829,0.069,0.16272668180648,1,0.855821808019267,0,0.0676166510353568,"Not Sig","Not Sig","Dichotomized",0.992593961108041,"Not Sig"
"stearoylGPG180",-0.0811115379309584,0.076,0.283666904478853,1,0.978201942456322,0,0.00957147911724696,"Not Sig","Not Sig","Dichotomized",0.992593961108041,"Not Sig"
"hydroxypregnenolonemonosulfate1",-0.0316187294607177,0.074,0.668259961838909,1,0.995027805907227,0,0.00216478278860501,"Not Sig","Not Sig","Dichotomized",0.992593961108041,"Not Sig"
"acetamidophenolsulfate",-0.0109393011841388,0.08,0.891592077872947,1,0.999848757045919,0,0.0000656889480048073,"Not Sig","Not Sig","Dichotomized",0.992593961108041,"Not Sig"
"hydroxyphenylpropionate",-0.0392932292977121,0.073,0.588457136797931,1,0.978201942456322,0,0.00957147911724696,"Not Sig","Not Sig","Dichotomized",0.992593961108041,"Not Sig"
"hydroxyphenylpropionatesulfate",-0.0454452876403764,0.077,0.556097067959616,1,0.978201942456322,0,0.00957147911724696,"Not Sig","Not Sig","Dichotomized",0.992593961108041,"Not Sig"
"dimethylurate37",-0.0773718817477806,0.073,0.290688636941781,1,0.978201942456322,0,0.00957147911724696,"Not Sig","Not Sig","Dichotomized",0.992593961108041,"Not Sig"
"acetaminophensulfate",-0.0425788924813369,0.076,0.575704532429315,1,0.978201942456322,0,0.00957147911724696,"Not Sig","Not Sig","Dichotomized",0.992593961108041,"Not Sig"
"acetylphenolsulfate4",0.0139982375473303,0.072,0.845336482375447,1,0.999848757045919,0,0.0000656889480048073,"Not Sig","Not Sig","Dichotomized",0.992593961108041,"Not Sig"
"hydroxyphenylacetate4",-0.0464999362172955,0.065,0.477616142598306,1,0.978201942456322,0,0.00957147911724696,"Not Sig","Not Sig","Dichotomized",0.992593961108041,"Not Sig"
"vinylguaiacolsulfate",-0.113346994567942,0.078,0.145347309563939,1,0.825572718323174,0,0.0832446670703865,"Not Sig","Not Sig","Dichotomized",0.992593961108041,"Not Sig"
"alphaandrostan3alpha17alphadiolmonosulfate",0.0542209730437305,0.069,0.434599214174329,1,0.978201942456322,0,0.00957147911724696,"Not Sig","Not Sig","Dichotomized",0.992593961108041,"Not Sig"
"alphaandrostan3alpha17betadiol17glucuronide",-0.00122242558220844,0.088,0.988931253795763,1,0.999848757045919,0,0.0000656889480048073,"Not Sig","Not Sig","Dichotomized",0.992593961108041,"Not Sig"
"alphaandrostan3alpha17betadioldisulfate",-0.0141003391159799,0.081,0.861800726811243,1,0.999848757045919,0,0.0000656889480048073,"Not Sig","Not Sig","Dichotomized",0.992593961108041,"Not Sig"
