"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","strata","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"dilinoleoylGPE182182",0.0566714377886961,0.130711887065628,0.664608031191913,1,0.922155751322578,"1",0,0.0351957207822817,"Not Sig","Not Sig","Dichotomized",0.932360694244659,"Not Sig"
"trimethylurate",-0.0638984744581097,0.134653642746223,0.635115225924587,1,0.922155751322578,"1",0,0.0351957207822817,"Not Sig","Not Sig","Dichotomized",0.925059133411899,"Not Sig"
"alphahydroxypregnanoloneglucuronide",0.0109537022775174,0.118262741694426,0.926204062799033,1,0.992278090231765,"1",0,0.00336659787811954,"Not Sig","Not Sig","Dichotomized",0.987583112472086,"Not Sig"
"alphahydroxypregnenolone3sulfate",-0.00530452966242361,0.115898550402434,0.963494581139302,1,0.997096910448482,"1",0,0.00126262942390796,"Not Sig","Not Sig","Dichotomized",0.99314056825128,"Not Sig"
"methylurate",-0.253770633201606,0.116626487214575,0.0295607767521332,1,0.579036875936645,"1",0,0.237293777367847,"Not Sig","Not Sig","Dichotomized",0.33126754755593,"Not Sig"
"stearoylGPG180",0.0102179490801506,0.124945217033293,0.934822110892997,1,0.992278090231765,"1",0,0.00336659787811954,"Not Sig","Not Sig","Dichotomized",0.987583112472086,"Not Sig"
"hydroxypregnenolonemonosulfate1",0.17419098093367,0.123882567995031,0.159695146409649,1,0.671932380580666,"1",0,0.172674429651959,"Not Sig","Not Sig","Dichotomized",0.509503562354595,"Not Sig"
"acetamidophenolsulfate",-0.0909872728775295,0.121926124746811,0.455516893263785,1,0.922155751322578,"1",0,0.0351957207822817,"Not Sig","Not Sig","Dichotomized",0.902628745196173,"Not Sig"
"hydroxyphenylpropionate",0.0929014366849027,0.130633448817254,0.476984365864179,1,0.922155751322578,"1",0,0.0351957207822817,"Not Sig","Not Sig","Dichotomized",0.902628745196173,"Not Sig"
"hydroxyphenylpropionatesulfate",0.0590021615437278,0.115482816870972,0.609409011868336,1,0.922155751322578,"1",0,0.0351957207822817,"Not Sig","Not Sig","Dichotomized",0.925059133411899,"Not Sig"
"dimethylurate37",-0.00875891010663231,0.110224394319418,0.936663284631677,1,0.992278090231765,"1",0,0.00336659787811954,"Not Sig","Not Sig","Dichotomized",0.987583112472086,"Not Sig"
"acetaminophensulfate",-0.232190873693499,0.136255052838934,0.0883642735946675,1,0.639276855255193,"1",0,0.194311018727265,"Not Sig","Not Sig","Dichotomized",0.493367194236894,"Not Sig"
"acetylphenolsulfate4",0.089362987480183,0.113288199875403,0.43022243165464,1,0.922155751322578,"1",0,0.0351957207822817,"Not Sig","Not Sig","Dichotomized",0.902628745196173,"Not Sig"
"hydroxyphenylacetate4",-0.0195528539223118,0.116991020567531,0.867266788527178,1,0.97443579568144,"1",0,0.0112467707073156,"Not Sig","Not Sig","Dichotomized",0.984862285276626,"Not Sig"
"vinylguaiacolsulfate",-0.0617827545404568,0.144316458920861,0.668573885220296,1,0.922155751322578,"1",0,0.0351957207822817,"Not Sig","Not Sig","Dichotomized",0.932360694244659,"Not Sig"
"alphaandrostan3alpha17alphadiolmonosulfate",0.174575969836914,0.113107227434924,0.122720301814814,1,0.645417883618651,"1",0,0.190159005078236,"Not Sig","Not Sig","Dichotomized",0.50486117888636,"Not Sig"
"alphaandrostan3alpha17betadiol17glucuronide",-0.136665834125157,0.180661288410566,0.449364170658131,1,0.922155751322578,"1",0,0.0351957207822817,"Not Sig","Not Sig","Dichotomized",0.902628745196173,"Not Sig"
"alphaandrostan3alpha17betadioldisulfate",-0.035227852238349,0.126909009820653,0.781332068733401,1,0.952775705395739,"1",0,0.0210093253572356,"Not Sig","Not Sig","Dichotomized",0.974023050938602,"Not Sig"
"alphaandrostan3alpha17betadiolmonosulfate2",-0.380817715778608,0.147479591197873,0.00981805531322972,1,0.348540963619655,"1",0,0.457746172433981,"Not Sig","Not Sig","Dichotomized",0.219269901995464,"Not Sig"
"alphapregnan3alphaorbeta20betadioldisulfate",0.0472445549958,0.115257364011164,0.681875731611765,1,0.922155751322578,"1",0,0.0351957207822817,"Not Sig","Not Sig","Dichotomized",0.932360694244659,"Not Sig"
"hydroxyhexanoate5",0.0868448775231119,0.118501608466705,0.463644909294036,1,0.922155751322578,"1",0,0.0351957207822817,"Not Sig","Not Sig","Dichotomized",0.902628745196173,"Not Sig"
