"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"enyloleoylGPEP181",-0.0125086075952807,0.032,0.699808510955004,1,0.981755546119301,0,0.00799663664047768,"Not Sig","Not Sig","Imputed",0.98218781378574,"Not Sig"
"enylpalmitoyl2arachidonoylGPCP160204",-0.00499601340717301,0.035,0.887161113132466,1,0.985856389528241,0,0.00618634446841925,"Not Sig","Not Sig","Imputed",0.98218781378574,"Not Sig"
"enylpalmitoyl2arachidonoylGPEP160204",-0.017342449791731,0.034,0.61149292375138,1,0.973692888043006,0,0.0115780021154572,"Not Sig","Not Sig","Imputed",0.981913920081245,"Not Sig"
"enylpalmitoyl2linoleoylGPCP160182",-0.0163380499522072,0.034,0.629727744830363,1,0.973692888043006,0,0.0115780021154572,"Not Sig","Not Sig","Imputed",0.981913920081245,"Not Sig"
"enylpalmitoyl2linoleoylGPEP160182",-0.0228071750066654,0.034,0.500961305528299,1,0.973692888043006,0,0.0115780021154572,"Not Sig","Not Sig","Imputed",0.981913920081245,"Not Sig"
"enylpalmitoyl2oleoylGPCP160181",-0.032478918051391,0.039,0.408250034338165,1,0.973692888043006,0,0.0115780021154572,"Not Sig","Not Sig","Imputed",0.981913920081245,"Not Sig"
"enylpalmitoyl2oleoylGPEP160181",-0.0404482275965408,0.032,0.201242217734681,1,0.958728104025345,0,0.0183045415926961,"Not Sig","Not Sig","Imputed",0.981913920081245,"Not Sig"
"enylpalmitoyl2palmitoleoylGPCP160161",-0.0263139996418292,0.036,0.470234342050401,1,0.973692888043006,0,0.0115780021154572,"Not Sig","Not Sig","Imputed",0.981913920081245,"Not Sig"
"enylpalmitoyl2palmitoylGPCP160160",-0.0145043795689769,0.038,0.705765009995063,1,0.981755546119301,0,0.00799663664047768,"Not Sig","Not Sig","Imputed",0.98218781378574,"Not Sig"
"enylpalmitoylGPCP160",-0.012577022178483,0.035,0.718851934538522,1,0.981755546119301,0,0.00799663664047768,"Not Sig","Not Sig","Imputed",0.98218781378574,"Not Sig"
"enylpalmitoylGPEP160",-0.0234125538581172,0.034,0.49096454861007,1,0.973692888043006,0,0.0115780021154572,"Not Sig","Not Sig","Imputed",0.981913920081245,"Not Sig"
"enylstearoyl2arachidonoylGPEP180204",-0.0277969425744058,0.036,0.445131450520205,1,0.973692888043006,0,0.0115780021154572,"Not Sig","Not Sig","Imputed",0.981913920081245,"Not Sig"
"enylstearoyl2linoleoylGPEP180182",-0.0277713329801858,0.032,0.38483887176819,1,0.973692888043006,0,0.0115780021154572,"Not Sig","Not Sig","Imputed",0.981913920081245,"Not Sig"
"enylstearoyl2oleoylGPEP180181",-0.0297930588807402,0.032,0.348389961639882,1,0.973692888043006,0,0.0115780021154572,"Not Sig","Not Sig","Imputed",0.981913920081245,"Not Sig"
"enylstearoylGPEP180",-0.0181782161326462,0.034,0.594494146831952,1,0.973692888043006,0,0.0115780021154572,"Not Sig","Not Sig","Imputed",0.981913920081245,"Not Sig"
"dilinoleoylGPC182182",0.00615181547909131,0.031,0.84495471772988,1,0.984852217034535,0,0.00662893309789681,"Not Sig","Not Sig","Imputed",0.98218781378574,"Not Sig"
"dipalmitoylGPC160160",-0.0328659023903725,0.036,0.359782109910793,1,0.973692888043006,0,0.0115780021154572,"Not Sig","Not Sig","Imputed",0.981913920081245,"Not Sig"
"dimethylurate13",-0.0460636726120283,0.031,0.143073072156556,1,0.892960296088387,0,0.0491678508237289,"Not Sig","Not Sig","Imputed",0.981913920081245,"Not Sig"
"anhydroglucitol15AG",0.0323352168018033,0.038,0.400016251805612,1,0.973692888043006,0,0.0115780021154572,"Not Sig","Not Sig","Imputed",0.981913920081245,"Not Sig"
"dimethylurate17",-0.0439886213318232,0.031,0.149636730987039,1,0.892960296088387,0,0.0491678508237289,"Not Sig","Not Sig","Imputed",0.981913920081245,"Not Sig"
"heptadecenoate171n7",-0.0187765246627367,0.044,0.667656611897061,1,0.973692888043006,0,0.0115780021154572,"Not Sig","Not Sig","Imputed",0.981913920081245,"Not Sig"
"nonadecenoate191n9",-0.0258790157436774,0.04,0.512893036965163,1,0.973692888043006,0,0.0115780021154572,"Not Sig","Not Sig","Imputed",0.981913920081245,"Not Sig"
"undecenoate111n1",0.0021549963624792,0.029,0.941040939944042,1,0.989096088657627,0,0.00476151553458426,"Not Sig","Not Sig","Imputed",0.983099019895008,"Not Sig"
"DiHOME1213",0.0592283318945394,0.036,0.104123766877507,1,0.821116372130519,0,0.0855952884437678,"Not Sig","Not Sig","Imputed",0.928979564855035,"Not Sig"
"HETE",0.028725028122171,0.035,0.415921027517759,1,0.973692888043006,0,0.0115780021154572,"Not Sig","Not Sig","Imputed",0.981913920081245,"Not Sig"
