"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","strata","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"enyloleoylGPEP181",0.0719793222612263,0.446030039694255,0.871795893394473,1,0.99706737135719,"1",0,0.00127549563003424,"Not Sig","Not Sig","Complete-cases",0.989259871440758,"Not Sig"
"enylpalmitoyl2arachidonoylGPCP160204",0.382337875681592,0.393993465541038,0.331838780950519,1,0.99706737135719,"1",0,0.00127549563003424,"Not Sig","Not Sig","Complete-cases",0.989259871440758,"Not Sig"
"enylpalmitoyl2arachidonoylGPEP160204",0.207772464873466,0.381790861094737,0.586300466810831,1,0.99706737135719,"1",0,0.00127549563003424,"Not Sig","Not Sig","Complete-cases",0.989259871440758,"Not Sig"
"enylpalmitoyl2linoleoylGPCP160182",0.0585987307345497,0.407020736223763,0.885524245976303,1,0.99706737135719,"1",0,0.00127549563003424,"Not Sig","Not Sig","Complete-cases",0.989259871440758,"Not Sig"
"enylpalmitoyl2linoleoylGPEP160182",-0.0635406024928984,0.396752112098087,0.872761422610196,1,0.99706737135719,"1",0,0.00127549563003424,"Not Sig","Not Sig","Complete-cases",0.989259871440758,"Not Sig"
"enylpalmitoyl2oleoylGPCP160181",0.106676451016872,0.445529537487681,0.810766402767284,1,0.99706737135719,"1",0,0.00127549563003424,"Not Sig","Not Sig","Complete-cases",0.989259871440758,"Not Sig"
"enylpalmitoyl2oleoylGPEP160181",0.00648429743726665,0.354538959452425,0.985408000296559,1,0.999245647666879,"1",0,0.000327734684944676,"Not Sig","Not Sig","Complete-cases",0.999245647666879,"Not Sig"
"enylpalmitoyl2palmitoleoylGPCP160161",0.503261987406701,0.445924603019462,0.259074673986427,1,0.99706737135719,"1",0,0.00127549563003424,"Not Sig","Not Sig","Complete-cases",0.989259871440758,"Not Sig"
"enylpalmitoyl2palmitoylGPCP160160",0.188480037731715,0.477600856655166,0.693109151946397,1,0.99706737135719,"1",0,0.00127549563003424,"Not Sig","Not Sig","Complete-cases",0.989259871440758,"Not Sig"
"enylpalmitoylGPCP160",0.147209714268786,0.47690427602331,0.757566710037197,1,0.99706737135719,"1",0,0.00127549563003424,"Not Sig","Not Sig","Complete-cases",0.989259871440758,"Not Sig"
"enylpalmitoylGPEP160",0.0139902272071829,0.429166118690021,0.973994662918723,1,0.999245647666879,"1",0,0.000327734684944676,"Not Sig","Not Sig","Complete-cases",0.999245647666879,"Not Sig"
"enylstearoyl2arachidonoylGPEP180204",0.327257267431989,0.372897992826408,0.380157933780004,1,0.99706737135719,"1",0,0.00127549563003424,"Not Sig","Not Sig","Complete-cases",0.989259871440758,"Not Sig"
"enylstearoyl2linoleoylGPEP180182",-0.0809180297979213,0.383502000987892,0.832889087161753,1,0.99706737135719,"1",0,0.00127549563003424,"Not Sig","Not Sig","Complete-cases",0.989259871440758,"Not Sig"
"enylstearoyl2oleoylGPEP180181",-0.103778141648836,0.367716822885664,0.777772530187388,1,0.99706737135719,"1",0,0.00127549563003424,"Not Sig","Not Sig","Complete-cases",0.989259871440758,"Not Sig"
"enylstearoylGPEP180",0.0352466313064826,0.429620134117166,0.934613803001074,1,0.999245647666879,"1",0,0.000327734684944676,"Not Sig","Not Sig","Complete-cases",0.998488641422527,"Not Sig"
"dilinoleoylGPC182182",0.160691594779053,0.518720690784244,0.756724890782539,1,0.99706737135719,"1",0,0.00127549563003424,"Not Sig","Not Sig","Complete-cases",0.989259871440758,"Not Sig"
"dipalmitoylGPC160160",-0.0755477055438964,0.459368598739097,0.869369126207004,1,0.99706737135719,"1",0,0.00127549563003424,"Not Sig","Not Sig","Complete-cases",0.989259871440758,"Not Sig"
"dimethylurate13",-0.914581992296714,0.571066441983599,0.109258823882624,1,0.99706737135719,"1",0,0.00127549563003424,"Not Sig","Not Sig","Complete-cases",0.978046940156597,"Not Sig"
"anhydroglucitol15AG",0.493227632157796,0.477521571220881,0.301655010090278,1,0.99706737135719,"1",0,0.00127549563003424,"Not Sig","Not Sig","Complete-cases",0.989259871440758,"Not Sig"
"dimethylurate17",-0.548610837620319,0.509219511087374,0.281321128576887,1,0.99706737135719,"1",0,0.00127549563003424,"Not Sig","Not Sig","Complete-cases",0.989259871440758,"Not Sig"
"heptadecenoate171n7",0.481844713978353,0.463758054396994,0.298804640535215,1,0.99706737135719,"1",0,0.00127549563003424,"Not Sig","Not Sig","Complete-cases",0.989259871440758,"Not Sig"
"nonadecenoate191n9",0.545951735043143,0.462934658573107,0.23826765309135,1,0.99706737135719,"1",0,0.00127549563003424,"Not Sig","Not Sig","Complete-cases",0.989259871440758,"Not Sig"
"undecenoate111n1",-0.617910809959387,0.413078895850143,0.134688493237309,1,0.99706737135719,"1",0,0.00127549563003424,"Not Sig","Not Sig","Complete-cases",0.989259871440758,"Not Sig"
"DiHOME1213",-0.125133183465972,0.569819731662361,0.82618163837415,1,0.99706737135719,"1",0,0.00127549563003424,"Not Sig","Not Sig","Complete-cases",0.989259871440758,"Not Sig"
"HETE",0.0170324117772103,0.402688949823053,0.966262179766605,1,0.999245647666879,"1",0,0.000327734684944676,"Not Sig","Not Sig","Complete-cases",0.999245647666879,"Not Sig"
"HODE9HODE",0.32024574811544,0.455818898429006,0.482322307790384,1,0.99706737135719,"1",0,0.00127549563003424,"Not Sig","Not Sig","Complete-cases",0.989259871440758,"Not Sig"
"ahydroxyDHEA3sulfate",-0.0891957012645723,0.376822683973516,0.812885886643391,1,0.99706737135719,"1",0,0.00127549563003424,"Not Sig","Not Sig","Complete-cases",0.989259871440758,"Not Sig"
"hydroxypalmitate16",-0.175596761041506,0.433596600126243,0.685494229704416,1,0.99706737135719,"1",0,0.00127549563003424,"Not Sig","Not Sig","Complete-cases",0.989259871440758,"Not Sig"
"methylstearate",0.90628290649008,0.493545019540731,0.0663174368112254,1,0.99706737135719,"1",0,0.00127549563003424,"Not Sig","Not Sig","Complete-cases",0.918240756514523,"Not Sig"
"arachidonoylGPA204",-0.495712050173493,0.447213666235739,0.267669392180359,1,0.99706737135719,"1",0,0.00127549563003424,"Not Sig","Not Sig","Complete-cases",0.989259871440758,"Not Sig"
