"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"enyloleoylGPEP181",-0.0203038393378511,0.268,0.939550859952206,1,0.985648261229686,0,0.00627803988683105,"Not Sig","Not Sig","Imputed",0.985418200547622,"Not Sig"
"enylpalmitoyl2arachidonoylGPCP160204",0.14590343670302,0.284,0.607958616329395,1,0.962734399582869,0,0.0164935100773096,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"enylpalmitoyl2arachidonoylGPEP160204",-0.0513343285249936,0.272,0.850282325749099,1,0.984037565114499,0,0.00698832228965466,"Not Sig","Not Sig","Imputed",0.976047578850103,"Not Sig"
"enylpalmitoyl2linoleoylGPCP160182",-0.173372553059896,0.283,0.540129233977768,1,0.962734399582869,0,0.0164935100773096,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"enylpalmitoyl2linoleoylGPEP160182",-0.283754287677579,0.291,0.329358400663641,1,0.949757990690401,0,0.0223870438662675,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"enylpalmitoyl2oleoylGPCP160181",-0.230444882831351,0.369,0.531885567026388,1,0.962734399582869,0,0.0164935100773096,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"enylpalmitoyl2oleoylGPEP160181",-0.308608756691245,0.278,0.2661666436617,1,0.949757990690401,0,0.0223870438662675,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"enylpalmitoyl2palmitoleoylGPCP160161",-0.153409318292546,0.34,0.651432761158768,1,0.962734399582869,0,0.0164935100773096,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"enylpalmitoyl2palmitoylGPCP160160",-0.159295799473778,0.337,0.636548934411303,1,0.962734399582869,0,0.0164935100773096,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"enylpalmitoylGPCP160",-0.0321006594153666,0.3,0.914821077170409,1,0.985648261229686,0,0.00627803988683105,"Not Sig","Not Sig","Imputed",0.984524453524189,"Not Sig"
"enylpalmitoylGPEP160",-0.0469671392572814,0.275,0.864156086806636,1,0.984037565114499,0,0.00698832228965466,"Not Sig","Not Sig","Imputed",0.976047578850103,"Not Sig"
"enylstearoyl2arachidonoylGPEP180204",-0.12057101597444,0.269,0.653881309571613,1,0.962734399582869,0,0.0164935100773096,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"enylstearoyl2linoleoylGPEP180182",-0.368262063163616,0.288,0.201754244814695,1,0.949757990690401,0,0.0223870438662675,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"enylstearoyl2oleoylGPEP180181",-0.34582006903582,0.246,0.159132396174146,1,0.946140385986147,0,0.0240444192687233,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"enylstearoylGPEP180",-0.0687378546086429,0.251,0.784185227560636,1,0.979142388301406,0,0.00915414787300989,"Not Sig","Not Sig","Imputed",0.976047578850103,"Not Sig"
"dilinoleoylGPC182182",-0.229512429432707,0.266,0.388062464638573,1,0.949757990690401,0,0.0223870438662675,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"dipalmitoylGPC160160",-0.218881658313224,0.299,0.464660724779164,1,0.949757990690401,0,0.0223870438662675,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"dimethylurate13",-0.253542166807446,0.26,0.329811058448416,1,0.949757990690401,0,0.0223870438662675,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"anhydroglucitol15AG",0.286695591245471,0.33,0.384290522319541,1,0.949757990690401,0,0.0223870438662675,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"dimethylurate17",-0.259672371962635,0.28,0.353391706791189,1,0.949757990690401,0,0.0223870438662675,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"heptadecenoate171n7",-0.170554440447888,0.334,0.610121503019964,1,0.962734399582869,0,0.0164935100773096,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"nonadecenoate191n9",-0.246047058320215,0.308,0.42372300367021,1,0.949757990690401,0,0.0223870438662675,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"undecenoate111n1",-0.358593320766878,0.256,0.160594021547047,1,0.946140385986147,0,0.0240444192687233,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"DiHOME1213",0.0183997592443047,0.284,0.948400172917767,1,0.987962636677952,0,0.00525947949275856,"Not Sig","Not Sig","Imputed",0.987015815137546,"Not Sig"
"HETE",0.160152049621226,0.268,0.55084150469392,1,0.962734399582869,0,0.0164935100773096,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"HODE9HODE",-0.135525882124516,0.268,0.61301366293558,1,0.962734399582869,0,0.0164935100773096,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"ahydroxyDHEA3sulfate",-0.115375560964297,0.259,0.655388078992925,1,0.962734399582869,0,0.0164935100773096,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"hydroxypalmitate16",-0.627274249919649,0.324,0.053006412237155,1,0.876879860497454,0,0.0570599043501614,"Not Sig","Not Sig","Imputed",0.913173617819437,"Not Sig"
"methylstearate",-0.251034238640607,0.322,0.435636380044769,1,0.949757990690401,0,0.0223870438662675,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"arachidonoylGPA204",-0.214926085204176,0.247,0.38341389090542,1,0.949757990690401,0,0.0223870438662675,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"arachidonoylGPC204n6",-0.0909176381983859,0.297,0.75931797120783,1,0.975181223022627,0,0.0109146695883708,"Not Sig","Not Sig","Imputed",0.976047578850103,"Not Sig"
"arachidonoylGPE204n6",-0.22528013389307,0.297,0.44853377706276,1,0.949757990690401,0,0.0223870438662675,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"arachidonoylGPI204",0.166964887040549,0.272,0.539859423338796,1,0.962734399582869,0,0.0164935100773096,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"arachidonylglycerol204",-0.169638696354015,0.262,0.517086197032623,1,0.962734399582869,0,0.0164935100773096,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"dihomolinolenylglycerol203",0.0918700553892555,0.317,0.771769775854984,1,0.977467887554734,0,0.00989750143783757,"Not Sig","Not Sig","Imputed",0.976047578850103,"Not Sig"
"docosahexaenoylglycerol226",0.176045372342433,0.27,0.514437240402242,1,0.962734399582869,0,0.0164935100773096,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"lignoceroylGPC240",0.201749853754144,0.303,0.505100146856735,1,0.962734399582869,0,0.0164935100773096,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"linolenoylglycerol183",0.254854164216256,0.317,0.420793824372402,1,0.949757990690401,0,0.0223870438662675,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"linolenoylGPC183",-0.094515157553577,0.329,0.773954982469531,1,0.977467887554734,0,0.00989750143783757,"Not Sig","Not Sig","Imputed",0.976047578850103,"Not Sig"
"linoleoyl2arachidonoylGPC182204n6",-0.010140936053324,0.298,0.972876327275082,1,0.996495660947466,0,0.00152458801284129,"Not Sig","Not Sig","Imputed",0.998144842382272,"Not Sig"
"linoleoyl2linolenoylGPC182183",-0.0713008222998824,0.302,0.813461434489382,1,0.983802410109159,0,0.0070921178451705,"Not Sig","Not Sig","Imputed",0.976047578850103,"Not Sig"
"linoleoylglycerol1821",0.287621093834619,0.266,0.279683865504601,1,0.949757990690401,0,0.0223870438662675,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"linoleoylGPA182",0.248010752294033,0.248,0.31823923061152,1,0.949757990690401,0,0.0223870438662675,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"linoleoylGPC182",-0.437719190136848,0.314,0.163051572584278,1,0.946140385986147,0,0.0240444192687233,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"linoleoylGPE182",-0.344392299589817,0.295,0.242395655634316,1,0.949757990690401,0,0.0223870438662675,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"linoleoylGPG182",-0.0376318553367839,0.253,0.881652423402203,1,0.985648261229686,0,0.00627803988683105,"Not Sig","Not Sig","Imputed",0.979784171398275,"Not Sig"
"linoleoylGPI182",0.0510400226037115,0.287,0.859029646069597,1,0.984037565114499,0,0.00698832228965466,"Not Sig","Not Sig","Imputed",0.976047578850103,"Not Sig"
"N1methyladenosine",0.187918195470598,0.394,0.63374227147822,1,0.962734399582869,0,0.0164935100773096,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"methylhistamine",-0.270391708217551,0.317,0.394112718412923,1,0.949757990690401,0,0.0223870438662675,"Not Sig","Not Sig","Imputed",0.969439805477092,"Not Sig"
"methylhistidine1",0.0283522546139224,0.347,0.934820789404384,1,0.985648261229686,0,0.00627803988683105,"Not Sig","Not Sig","Imputed",0.985418200547622,"Not Sig"
