"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","strata","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"dilinoleoylGPE182182",0.00943991866309343,0.0203001467561444,0.641919094922528,1,0.94950532790624,"1",0,0.0225025939877449,"Not Sig","Not Sig","Dichotomized",0.92378990375641,"Not Sig"
"trimethylurate",-0.0118560889314876,0.0211661329996794,0.575381010103031,1,0.943578687081143,"1",0,0.0252218772264457,"Not Sig","Not Sig","Dichotomized",0.921174829240511,"Not Sig"
"alphahydroxypregnanoloneglucuronide",0.004480293744149,0.0178506067778396,0.801823142191866,1,0.962332050936465,"1",0,0.0166750495763037,"Not Sig","Not Sig","Dichotomized",0.942001092113864,"Not Sig"
"alphahydroxypregnenolone3sulfate",-0.00200511059154818,0.0180985150168765,0.911783922014038,1,0.962332050936465,"1",0,0.0166750495763037,"Not Sig","Not Sig","Dichotomized",0.942001092113864,"Not Sig"
"methylurate",-0.0468955575443044,0.0192024912848615,0.0145996714875144,1,0.552117478964436,"1",0,0.25796850372448,"Not Sig","Not Sig","Dichotomized",0.296600947144858,"Not Sig"
"stearoylGPG180",0.00176256194310351,0.0188651100795205,0.92556218102453,1,0.962332050936465,"1",0,0.0166750495763037,"Not Sig","Not Sig","Dichotomized",0.942001092113864,"Not Sig"
"hydroxypregnenolonemonosulfate1",0.0249966795278632,0.0191006157343851,0.190641248244644,1,0.694129673095881,"1",0,0.158559389704613,"Not Sig","Not Sig","Dichotomized",0.578152096890006,"Not Sig"
"acetamidophenolsulfate",-0.0107757590538595,0.0185841630713741,0.562025498413046,1,0.943578687081143,"1",0,0.0252218772264457,"Not Sig","Not Sig","Dichotomized",0.921174829240511,"Not Sig"
"hydroxyphenylpropionate",0.0223703601792331,0.0193476397213906,0.247586273859028,1,0.752172772792517,"1",0,0.123682391253927,"Not Sig","Not Sig","Dichotomized",0.621072236689596,"Not Sig"
"hydroxyphenylpropionatesulfate",0.00904087319591662,0.0179536835015645,0.614566052954975,1,0.943578687081143,"1",0,0.0252218772264457,"Not Sig","Not Sig","Dichotomized",0.921174829240511,"Not Sig"
"dimethylurate37",-0.00288080696047492,0.0162821134283871,0.859562764380317,1,0.962332050936465,"1",0,0.0166750495763037,"Not Sig","Not Sig","Dichotomized",0.942001092113864,"Not Sig"
"acetaminophensulfate",-0.0318421508858303,0.0217309286511833,0.142841331221345,1,0.694129673095881,"1",0,0.158559389704613,"Not Sig","Not Sig","Dichotomized",0.572126413719645,"Not Sig"
