"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","strata","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"dilinoleoylGPE182182",0.0778148373279149,0.350107194210315,0.824111461258515,1,0.903205642850746,"1",0,0.0442133577844992,"Not Sig","Not Sig","Dichotomized",0.943767289766907,"Not Sig"
"trimethylurate",-0.208951756806385,0.408862119585166,0.60931130106272,1,0.891981492277385,"1",0,0.0496441567059308,"Not Sig","Not Sig","Dichotomized",0.902926658227369,"Not Sig"
"alphahydroxypregnanoloneglucuronide",-0.225174050584044,0.435470554272203,0.605098813397496,1,0.891981492277385,"1",0,0.0496441567059308,"Not Sig","Not Sig","Dichotomized",0.902926658227369,"Not Sig"
"alphahydroxypregnenolone3sulfate",-0.0300378625832807,0.290329372811169,0.917596840208948,1,0.951875587648237,"1",0,0.0214198112045228,"Not Sig","Not Sig","Dichotomized",0.968424481007438,"Not Sig"
"methylurate",-0.0972268321229992,0.333976927302416,0.770960760118068,1,0.903205642850746,"1",0,0.0442133577844992,"Not Sig","Not Sig","Dichotomized",0.943767289766907,"Not Sig"
"stearoylGPG180",-0.141836385184225,0.360196460524858,0.693747114302853,1,0.903205642850746,"1",0,0.0442133577844992,"Not Sig","Not Sig","Dichotomized",0.941252013242938,"Not Sig"
"hydroxypregnenolonemonosulfate1",-0.140212178920519,0.306066075057156,0.646872829774832,1,0.903205642850746,"1",0,0.0442133577844992,"Not Sig","Not Sig","Dichotomized",0.902926658227369,"Not Sig"
"acetamidophenolsulfate",-0.565302995257107,0.358466978348268,0.114795158941559,1,0.590715260625484,"1",0,0.22862180936936,"Not Sig","Not Sig","Dichotomized",0.615304077203978,"Not Sig"
"hydroxyphenylpropionate",0.126900731702445,0.332160437102314,0.702426875554431,1,0.903205642850746,"1",0,0.0442133577844992,"Not Sig","Not Sig","Dichotomized",0.941252013242938,"Not Sig"
"hydroxyphenylpropionatesulfate",-0.0251763248760785,0.267664888259847,0.925062190813075,1,0.951875587648237,"1",0,0.0214198112045228,"Not Sig","Not Sig","Dichotomized",0.968424481007438,"Not Sig"
"dimethylurate37",-0.402962676607737,0.362774463302586,0.266662988105327,1,0.70122489464734,"1",0,0.154142674129795,"Not Sig","Not Sig","Dichotomized",0.74443417512737,"Not Sig"
"acetaminophensulfate",-0.286381038418516,0.517114814344873,0.579711950459498,1,0.891981492277385,"1",0,0.0496441567059308,"Not Sig","Not Sig","Dichotomized",0.902926658227369,"Not Sig"
"acetylphenolsulfate4",-0.941299698779671,0.352039453651536,0.00749866147695804,1,0.302742246613562,"1",0,0.51892697055011,"Not Sig","Not Sig","Dichotomized",0.285686345395897,"Not Sig"
"hydroxyphenylacetate4",-0.0841329680352121,0.3599419331883,0.815186529055229,1,0.903205642850746,"1",0,0.0442133577844992,"Not Sig","Not Sig","Dichotomized",0.943767289766907,"Not Sig"
"vinylguaiacolsulfate",0.361258865207702,0.356926789474513,0.311472479494003,1,0.727339268992408,"1",0,0.138262964269176,"Not Sig","Not Sig","Dichotomized",0.778322233982249,"Not Sig"
"alphaandrostan3alpha17alphadiolmonosulfate",0.392222901632289,0.330685577297674,0.235586705195988,1,0.70122489464734,"1",0,0.154142674129795,"Not Sig","Not Sig","Dichotomized",0.74443417512737,"Not Sig"
"alphaandrostan3alpha17betadiol17glucuronide",-0.255247078913201,0.482815337402451,0.597038567075102,1,0.891981492277385,"1",0,0.0496441567059308,"Not Sig","Not Sig","Dichotomized",0.902926658227369,"Not Sig"
"alphaandrostan3alpha17betadioldisulfate",0.18006069807693,0.392979434739647,0.646813291409593,1,0.903205642850746,"1",0,0.0442133577844992,"Not Sig","Not Sig","Dichotomized",0.902926658227369,"Not Sig"
"alphaandrostan3alpha17betadiolmonosulfate2",0.212970586386135,0.404853028566731,0.598857499075776,1,0.891981492277385,"1",0,0.0496441567059308,"Not Sig","Not Sig","Dichotomized",0.902926658227369,"Not Sig"
"alphapregnan3alphaorbeta20betadioldisulfate",-0.0224531066536466,0.343567505146602,0.947893084827209,1,0.961041870558262,"1",0,0.0172576906287708,"Not Sig","Not Sig","Dichotomized",0.968732666577454,"Not Sig"
"hydroxyhexanoate5",0.594286249211823,0.362120776243604,0.10077101724892,1,0.590715260625484,"1",0,0.22862180936936,"Not Sig","Not Sig","Dichotomized",0.615304077203978,"Not Sig"
"hydroxyindoleacetate",-0.38426074287371,0.339036153417978,0.25704982209932,1,0.70122489464734,"1",0,0.154142674129795,"Not Sig","Not Sig","Dichotomized",0.74443417512737,"Not Sig"
"acesulfame",0.830739890228355,0.315820277967438,0.00852795060883274,1,0.302742246613562,"1",0,0.51892697055011,"Not Sig","Not Sig","Dichotomized",0.285686345395897,"Not Sig"
"adenosine35cyclicmonophosphatecAMP",0.0190755216576554,0.332671083211263,0.954273970061373,1,0.961041870558262,"1",0,0.0172576906287708,"Not Sig","Not Sig","Dichotomized",0.968732666577454,"Not Sig"
"ADSGEGDFXAEGGGVR",-0.344200874600804,0.384880732447032,0.371158570985186,1,0.772009118064321,"1",0,0.112377570258001,"Not Sig","Not Sig","Dichotomized",0.784882248762504,"Not Sig"
"alphaCEHCglucuronide",-0.540878020432302,0.312500107029386,0.0834858232065702,1,0.590715260625484,"1",0,0.22862180936936,"Not Sig","Not Sig","Dichotomized",0.615304077203978,"Not Sig"
"alphaCEHCsulfate",0.0428079401872855,0.417911203974539,0.918412911765922,1,0.951875587648237,"1",0,0.0214198112045228,"Not Sig","Not Sig","Dichotomized",0.968424481007438,"Not Sig"
