"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"enyloleoylGPEP181",-0.0125235999873898,0.009,0.176469716277924,1,0.716218413094292,0,0.144954518003741,"Not Sig","Not Sig","Imputed",0.721969019020037,"Not Sig"
"enylpalmitoyl2arachidonoylGPCP160204",0.00292008502498832,0.011,0.797001273010654,1,0.931034611508853,0,0.0310341736825673,"Not Sig","Not Sig","Imputed",0.929698997225071,"Not Sig"
"enylpalmitoyl2arachidonoylGPEP160204",0.00317067182458361,0.01,0.755671523132039,1,0.925193986525491,0,0.0337671986719364,"Not Sig","Not Sig","Imputed",0.921709517672728,"Not Sig"
"enylpalmitoyl2linoleoylGPCP160182",-0.00726374563894111,0.01,0.467191910488108,1,0.853144769389507,0,0.0689772675284725,"Not Sig","Not Sig","Imputed",0.856449075596655,"Not Sig"
"enylpalmitoyl2linoleoylGPEP160182",-0.0081029704117011,0.01,0.415802472219001,1,0.841906357038023,0,0.0747362112121106,"Not Sig","Not Sig","Imputed",0.851514142657562,"Not Sig"
"enylpalmitoyl2oleoylGPCP160181",0.00720693612533095,0.012,0.557920271919893,1,0.877224937341225,0,0.0568890308981301,"Not Sig","Not Sig","Imputed",0.874154104772504,"Not Sig"
"enylpalmitoyl2oleoylGPEP160181",-0.00301814896475414,0.01,0.764485202451558,1,0.925193986525491,0,0.0337671986719364,"Not Sig","Not Sig","Imputed",0.921709517672728,"Not Sig"
"enylpalmitoyl2palmitoleoylGPCP160161",0.0144828381305692,0.012,0.228960342522484,1,0.745460829642234,0,0.127575171684037,"Not Sig","Not Sig","Imputed",0.754370667780644,"Not Sig"
"enylpalmitoyl2palmitoylGPCP160160",0.0131169081744686,0.012,0.280432402892799,1,0.778787673909311,0,0.108580930798041,"Not Sig","Not Sig","Imputed",0.793591132996782,"Not Sig"
"enylpalmitoylGPCP160",-0.00820010968805442,0.011,0.451862028347247,1,0.853144769389507,0,0.0689772675284725,"Not Sig","Not Sig","Imputed",0.856449075596655,"Not Sig"
"enylpalmitoylGPEP160",-0.00682560874038301,0.01,0.48744983594033,1,0.856310711560965,0,0.0673686233696413,"Not Sig","Not Sig","Imputed",0.856449075596655,"Not Sig"
"enylstearoyl2arachidonoylGPEP180204",0.00760587718551252,0.011,0.500313305568795,1,0.861132426444225,0,0.0649300568487785,"Not Sig","Not Sig","Imputed",0.859325639938471,"Not Sig"
"enylstearoyl2linoleoylGPEP180182",-0.00319607420172031,0.011,0.764058451554904,1,0.925193986525491,0,0.0337671986719364,"Not Sig","Not Sig","Imputed",0.921709517672728,"Not Sig"
"enylstearoyl2oleoylGPEP180181",-0.00130361579307636,0.012,0.913522199943046,1,0.971290495400407,0,0.0126508610483638,"Not Sig","Not Sig","Imputed",0.978332176400147,"Not Sig"
"enylstearoylGPEP180",-0.00744025760036267,0.01,0.471928846677922,1,0.853144769389507,0,0.0689772675284725,"Not Sig","Not Sig","Imputed",0.856449075596655,"Not Sig"
"dilinoleoylGPC182182",-0.0163710399938449,0.011,0.132459367712708,1,0.716218413094292,0,0.144954518003741,"Not Sig","Not Sig","Imputed",0.721969019020037,"Not Sig"
"dipalmitoylGPC160160",0.0142775411722827,0.012,0.235310951789871,1,0.745460829642234,0,0.127575171684037,"Not Sig","Not Sig","Imputed",0.754370667780644,"Not Sig"
"dimethylurate13",0.0205924908453248,0.015,0.160540795325119,1,0.716218413094292,0,0.144954518003741,"Not Sig","Not Sig","Imputed",0.721969019020037,"Not Sig"
"anhydroglucitol15AG",-0.00427166514474417,0.013,0.73503666888814,1,0.925193986525491,0,0.0337671986719364,"Not Sig","Not Sig","Imputed",0.921709517672728,"Not Sig"
"dimethylurate17",0.0195680486207323,0.014,0.167070190671245,1,0.716218413094292,0,0.144954518003741,"Not Sig","Not Sig","Imputed",0.721969019020037,"Not Sig"
"heptadecenoate171n7",0.0150568390161695,0.015,0.313791143054292,1,0.798664080642093,0,0.0976358472186084,"Not Sig","Not Sig","Imputed",0.811791661585801,"Not Sig"
"nonadecenoate191n9",0.00754412994606986,0.013,0.571037463769644,1,0.883734276705375,0,0.0536783000418209,"Not Sig","Not Sig","Imputed",0.88296455411039,"Not Sig"
"undecenoate111n1",-0.00735266024578879,0.01,0.48150227865193,1,0.853788064118511,0,0.0686499208880113,"Not Sig","Not Sig","Imputed",0.856449075596655,"Not Sig"
"DiHOME1213",-0.0333783794774314,0.011,0.00353752327141048,1,0.289112129181638,0,0.538933687899882,"Not Sig","Not Sig","Imputed",0.378395627596183,"Not Sig"
"HETE",0.00271899240494346,0.011,0.799534851861616,1,0.931034611508853,0,0.0310341736825673,"Not Sig","Not Sig","Imputed",0.929698997225071,"Not Sig"
"HODE9HODE",-0.00765156012385426,0.011,0.500970254761212,1,0.861132426444225,0,0.0649300568487785,"Not Sig","Not Sig","Imputed",0.859325639938471,"Not Sig"
"ahydroxyDHEA3sulfate",0.00889900972833239,0.01,0.392666415497172,1,0.836698270416335,0,0.0774311287666696,"Not Sig","Not Sig","Imputed",0.848770247794395,"Not Sig"
"hydroxypalmitate16",0.0146130126483138,0.014,0.309132146202332,1,0.798664080642093,0,0.0976358472186084,"Not Sig","Not Sig","Imputed",0.811198462329286,"Not Sig"
"methylstearate",0.000743489345629823,0.011,0.947426797998204,1,0.984666695260561,0,0.00671075113218422,"Not Sig","Not Sig","Imputed",0.986445393571943,"Not Sig"
"arachidonoylGPA204",0.00327755664142202,0.011,0.758983259708466,1,0.925193986525491,0,0.0337671986719364,"Not Sig","Not Sig","Imputed",0.921709517672728,"Not Sig"
"arachidonoylGPC204n6",0.0123119569809773,0.013,0.349121558329184,1,0.818427881703502,0,0.0870195837634967,"Not Sig","Not Sig","Imputed",0.828961066408738,"Not Sig"
"arachidonoylGPE204n6",0.0280302964330701,0.014,0.0391885223936599,1,0.533795176240913,0,0.272625355129664,"Not Sig","Not Sig","Imputed",0.582359669989504,"Not Sig"
"arachidonoylGPI204",0.0186313996204427,0.011,0.0977763987632764,1,0.67248500149445,0,0.172317397334232,"Not Sig","Not Sig","Imputed",0.691858328460852,"Not Sig"
"arachidonylglycerol204",0.0284949659496841,0.013,0.0303358889089283,1,0.494771817320603,0,0.305595046170503,"Not Sig","Not Sig","Imputed",0.520970742582299,"Not Sig"
"dihomolinolenylglycerol203",0.029581639145057,0.012,0.0145982745776139,1,0.397692389250755,0,0.400452720148109,"Not Sig","Not Sig","Imputed",0.42401352068615,"Not Sig"
"docosahexaenoylglycerol226",0.00962749786767321,0.013,0.45966786810961,1,0.853144769389507,0,0.0689772675284725,"Not Sig","Not Sig","Imputed",0.856449075596655,"Not Sig"
"lignoceroylGPC240",-0.00184608652192797,0.012,0.875783051073803,1,0.957966322548846,0,0.0186497583413784,"Not Sig","Not Sig","Imputed",0.962522006370673,"Not Sig"
"linolenoylglycerol183",0.00499566531665714,0.012,0.668330131891145,1,0.921419438430352,0,0.0355426300321226,"Not Sig","Not Sig","Imputed",0.921709517672728,"Not Sig"
"linolenoylGPC183",0.00809638064122701,0.012,0.487000933399352,1,0.856310711560965,0,0.0673686233696413,"Not Sig","Not Sig","Imputed",0.856449075596655,"Not Sig"
"linoleoyl2arachidonoylGPC182204n6",0.00327849351847942,0.01,0.753222505569601,1,0.925193986525491,0,0.0337671986719364,"Not Sig","Not Sig","Imputed",0.921709517672728,"Not Sig"
"linoleoyl2linolenoylGPC182183",-0.00501136711618557,0.01,0.627929246372179,1,0.917184301405666,0,0.0375433872949547,"Not Sig","Not Sig","Imputed",0.914220442418281,"Not Sig"
"linoleoylglycerol1821",-0.00429956024764799,0.011,0.686931269806058,1,0.921419438430352,0,0.0355426300321226,"Not Sig","Not Sig","Imputed",0.921709517672728,"Not Sig"
"linoleoylGPA182",0.00311391573578846,0.01,0.763501368353314,1,0.925193986525491,0,0.0337671986719364,"Not Sig","Not Sig","Imputed",0.921709517672728,"Not Sig"
"linoleoylGPC182",-0.00905794527859987,0.012,0.462105908989227,1,0.853144769389507,0,0.0689772675284725,"Not Sig","Not Sig","Imputed",0.856449075596655,"Not Sig"
"linoleoylGPE182",0.00863916771958399,0.012,0.476312741391981,1,0.853144769389507,0,0.0689772675284725,"Not Sig","Not Sig","Imputed",0.856449075596655,"Not Sig"
"linoleoylGPG182",0.000165985094236857,0.01,0.987004174129894,1,0.992302148300498,0,0.00335606841068504,"Not Sig","Not Sig","Imputed",0.991749700999321,"Not Sig"
"linoleoylGPI182",0.011006210375562,0.012,0.341239414315548,1,0.817470534258026,0,0.0875278925389573,"Not Sig","Not Sig","Imputed",0.828961066408738,"Not Sig"
"N1methyladenosine",0.00612121616375248,0.014,0.664841317886275,1,0.921419438430352,0,0.0355426300321226,"Not Sig","Not Sig","Imputed",0.921709517672728,"Not Sig"
"methylhistamine",0.000645593959828119,0.012,0.955570733366249,1,0.986289425139216,0,0.00599562329766402,"Not Sig","Not Sig","Imputed",0.986445393571943,"Not Sig"
"methylhistidine1",-0.0147936660324555,0.017,0.38834746774644,1,0.836698270416335,0,0.0774311287666696,"Not Sig","Not Sig","Imputed",0.848770247794395,"Not Sig"
"methylimidazoleacetate",0.00184453429107323,0.014,0.8938022967564,1,0.964566396680877,0,0.0156678719914453,"Not Sig","Not Sig","Imputed",0.967134968975738,"Not Sig"
"methylnicotinamide",0.01239511537637,0.013,0.346181588230105,1,0.818427881703502,0,0.0870195837634967,"Not Sig","Not Sig","Imputed",0.828961066408738,"Not Sig"
"methylxanthine1",0.0264834336024162,0.014,0.0666670052105116,1,0.60381355756239,0,0.219097139891206,"Not Sig","Not Sig","Imputed",0.650279541717004,"Not Sig"
"myristoylglycerol140",0.020272746940325,0.012,0.0797110770949183,1,0.639823734895817,0,0.193939653368686,"Not Sig","Not Sig","Imputed",0.679138376848704,"Not Sig"
"oleoylglycerol181",-0.000458355769793742,0.011,0.968198810635743,1,0.991921024429326,0,0.00352290447880691,"Not Sig","Not Sig","Imputed",0.990450465651396,"Not Sig"
"oleoylGPC181",0.0157642867374367,0.014,0.262695936358407,1,0.763259479968975,0,0.11732779289547,"Not Sig","Not Sig","Imputed",0.772493559618763,"Not Sig"
"oleoylGPE181",0.0125265567478946,0.012,0.315379030731861,1,0.798664080642093,0,0.0976358472186084,"Not Sig","Not Sig","Imputed",0.812609679990561,"Not Sig"
"oleoylGPI181",0.0102983339296001,0.011,0.346416672441306,1,0.818427881703502,0,0.0870195837634967,"Not Sig","Not Sig","Imputed",0.828961066408738,"Not Sig"
"palmitoleoyl2linolenoylGPC161183",0.0187213537599807,0.011,0.0868602630161852,1,0.66258559164631,0,0.178758012366731,"Not Sig","Not Sig","Imputed",0.691858328460852,"Not Sig"
"palmitoleoylglycerol161",0.0232380842728815,0.013,0.063232094039434,1,0.60381355756239,0,0.219097139891206,"Not Sig","Not Sig","Imputed",0.650279541717004,"Not Sig"
"palmitoleoylGPC161",0.0295472306720916,0.015,0.0439645860534015,1,0.560140825545554,0,0.251702772871329,"Not Sig","Not Sig","Imputed",0.603071791233231,"Not Sig"
"palmitoyl2arachidonoylGPC160204n6",0.023027150930466,0.012,0.0460168337585724,1,0.560140825545554,0,0.251702772871329,"Not Sig","Not Sig","Imputed",0.605176397147814,"Not Sig"
"palmitoyl2arachidonoylGPE160204",0.0273029081929307,0.013,0.0350905315919023,1,0.515913205814527,0,0.287423355361863,"Not Sig","Not Sig","Imputed",0.554530762851947,"Not Sig"
