"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","strata","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"enyloleoylGPEP181",0.0162487225749257,0.189409968419977,0.931636539926039,1,0.980727458306217,"1",0,0.00845166519764027,"Not Sig","Not Sig","Complete-cases",0.982371914149248,"Not Sig"
"enylpalmitoyl2arachidonoylGPCP160204",0.212445173696941,0.16647308919824,0.201901351182828,1,0.641375670365238,"1",0,0.192887518412144,"Not Sig","Not Sig","Complete-cases",0.608561148140693,"Not Sig"
"enylpalmitoyl2arachidonoylGPEP160204",0.293536418608236,0.169116667313965,0.0826162458321154,1,0.473008740386308,"1",0,0.325130834174509,"Not Sig","Not Sig","Complete-cases",0.460839256568498,"Not Sig"
"enylpalmitoyl2linoleoylGPCP160182",0.204237275175802,0.186601569464629,0.273731384228766,1,0.715361960528084,"1",0,0.145474157242648,"Not Sig","Not Sig","Complete-cases",0.667612040160999,"Not Sig"
"enylpalmitoyl2linoleoylGPEP160182",0.312641759039155,0.184028863007327,0.0893430206140596,1,0.48975228982951,"1",0,0.310023524791121,"Not Sig","Not Sig","Complete-cases",0.475751584769867,"Not Sig"
"enylpalmitoyl2oleoylGPCP160181",0.0685841230878716,0.182295307144569,0.70674934095864,1,0.946896658005689,"1",0,0.0236974162521465,"Not Sig","Not Sig","Complete-cases",0.933084357174734,"Not Sig"
"enylpalmitoyl2oleoylGPEP160181",0.207841256011825,0.20903996026538,0.320093544722675,1,0.743418834309482,"1",0,0.128766440370958,"Not Sig","Not Sig","Complete-cases",0.705309569233756,"Not Sig"
"enylpalmitoyl2palmitoleoylGPCP160161",0.100526775934556,0.178993453474847,0.574373151616578,1,0.885666913774565,"1",0,0.052729579137859,"Not Sig","Not Sig","Complete-cases",0.864485780686519,"Not Sig"
"enylpalmitoyl2palmitoylGPCP160160",0.196193008510312,0.188018059400295,0.296726226369549,1,0.726857976856199,"1",0,0.138550439062802,"Not Sig","Not Sig","Complete-cases",0.68204337643936,"Not Sig"
"enylpalmitoylGPCP160",0.105753859251322,0.203832274102047,0.60388079931945,1,0.901022755435765,"1",0,0.0452642407241643,"Not Sig","Not Sig","Complete-cases",0.8749912025175,"Not Sig"
"enylpalmitoylGPEP160",0.0669402847538071,0.199189236853862,0.736822782732031,1,0.96300069808734,"1",0,0.0163733980516131,"Not Sig","Not Sig","Complete-cases",0.953385183833289,"Not Sig"
"enylstearoyl2arachidonoylGPEP180204",0.218355357297476,0.166057605867276,0.188530940401186,1,0.623122483164215,"1",0,0.205426578486858,"Not Sig","Not Sig","Complete-cases",0.593454536533784,"Not Sig"
"enylstearoyl2linoleoylGPEP180182",0.306993679357219,0.195121010328676,0.115637752946976,1,0.549604441636768,"1",0,0.259949766176773,"Not Sig","Not Sig","Complete-cases",0.51673093799383,"Not Sig"
"enylstearoyl2oleoylGPEP180181",0.178404142957569,0.205528895814073,0.385380851446118,1,0.787043900908574,"1",0,0.104001042239931,"Not Sig","Not Sig","Complete-cases",0.752982349878369,"Not Sig"
"enylstearoylGPEP180",-0.00359517166458441,0.178018993152322,0.983887466530745,1,0.997198232707035,"1",0,0.0012184998496348,"Not Sig","Not Sig","Complete-cases",0.99912564625706,"Not Sig"
"dilinoleoylGPC182182",0.344713148631931,0.189885684425409,0.0694667659414541,1,0.462597204306424,"1",0,0.334796996204314,"Not Sig","Not Sig","Complete-cases",0.448376398349385,"Not Sig"
