"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"dilinoleoylGPE182182",0.671329740210162,0.437,0.124566481365339,1,0.625446070612506,0,0.203810131606254,"Not Sig","Not Sig","Dichotomized",0.686284436227942,"Not Sig"
"trimethylurate",-0.628724792449513,0.482,0.192439110706355,1,0.649336286942749,0,0.187530326715022,"Not Sig","Not Sig","Dichotomized",0.686284436227942,"Not Sig"
"alphahydroxypregnanoloneglucuronide",0.468210997940847,0.407,0.250412193301531,1,0.649336286942749,0,0.187530326715022,"Not Sig","Not Sig","Dichotomized",0.686284436227942,"Not Sig"
"alphahydroxypregnenolone3sulfate",-0.0465572330481999,0.442,0.916088647678987,1,0.949522539930045,0,0.0224947214471806,"Not Sig","Not Sig","Dichotomized",0.95903030303894,"Not Sig"
"methylurate",-0.842538589036517,0.435,0.0529266565916248,1,0.578121941231594,0,0.237980547706738,"Not Sig","Not Sig","Dichotomized",0.686284436227942,"Not Sig"
"stearoylGPG180",-1.27990054051659,0.428,0.00276504458887551,0.393,0.174697045708399,0.406,0.757714439283749,"Not Sig","Not Sig","Dichotomized",0.146903148494814,"Not Sig"
"hydroxypregnenolonemonosulfate1",0.242061735458162,0.389,0.53373857102034,1,0.825425646372922,0,0.0833220415099639,"Not Sig","Not Sig","Dichotomized",0.778922793056138,"Not Sig"
"acetamidophenolsulfate",0.0993727520473133,0.436,0.819508893967954,1,0.949522539930045,0,0.0224947214471806,"Not Sig","Not Sig","Dichotomized",0.925069076960092,"Not Sig"
"hydroxyphenylpropionate",-0.353432600356533,0.411,0.390070484200089,1,0.780140968400178,0,0.107826914916291,"Not Sig","Not Sig","Dichotomized",0.778922793056138,"Not Sig"
"hydroxyphenylpropionatesulfate",-0.432045524456596,0.421,0.304248872271444,1,0.675052185352265,0,0.170662652451224,"Not Sig","Not Sig","Dichotomized",0.728024087220954,"Not Sig"
"dimethylurate37",-0.254840384093961,0.391,0.515027641774917,1,0.825425646372922,0,0.0833220415099639,"Not Sig","Not Sig","Dichotomized",0.778922793056138,"Not Sig"
"acetaminophensulfate",-0.574626442605166,0.426,0.177764754916197,1,0.649336286942749,0,0.187530326715022,"Not Sig","Not Sig","Dichotomized",0.686284436227942,"Not Sig"
"acetylphenolsulfate4",-0.0343756947246184,0.436,0.937154712746691,1,0.957381073453455,0,0.0189151623731568,"Not Sig","Not Sig","Dichotomized",0.965990242369666,"Not Sig"
"hydroxyphenylacetate4",-0.514140493269972,0.421,0.221504290392157,1,0.649336286942749,0,0.187530326715022,"Not Sig","Not Sig","Dichotomized",0.686284436227942,"Not Sig"
"vinylguaiacolsulfate",-0.287298119434207,0.476,0.546408526472216,1,0.825425646372922,0,0.0833220415099639,"Not Sig","Not Sig","Dichotomized",0.778922793056138,"Not Sig"
"alphaandrostan3alpha17alphadiolmonosulfate",0.562792305221352,0.337,0.0953404393384015,1,0.625446070612506,0,0.203810131606254,"Not Sig","Not Sig","Dichotomized",0.686284436227942,"Not Sig"
"alphaandrostan3alpha17betadiol17glucuronide",-0.695566882286796,0.555,0.210011891962092,1,0.649336286942749,0,0.187530326715022,"Not Sig","Not Sig","Dichotomized",0.686284436227942,"Not Sig"
"alphaandrostan3alpha17betadioldisulfate",0.363893552399238,0.483,0.450747791522286,1,0.788694725213072,0,0.103091063723888,"Not Sig","Not Sig","Dichotomized",0.778922793056138,"Not Sig"
"alphaandrostan3alpha17betadiolmonosulfate2",-0.404358530589448,0.541,0.45485600472611,1,0.788694725213072,0,0.103091063723888,"Not Sig","Not Sig","Dichotomized",0.778922793056138,"Not Sig"
"alphapregnan3alphaorbeta20betadioldisulfate",0.65788766810278,0.403,0.102494300703375,1,0.625446070612506,0,0.203810131606254,"Not Sig","Not Sig","Dichotomized",0.686284436227942,"Not Sig"
"hydroxyhexanoate5",-0.599916702566029,0.428,0.160921975398088,1,0.649336286942749,0,0.187530326715022,"Not Sig","Not Sig","Dichotomized",0.686284436227942,"Not Sig"
"hydroxyindoleacetate",0.281720910542131,0.406,0.487541220555531,1,0.814480627281004,0,0.0891192410853885,"Not Sig","Not Sig","Dichotomized",0.778922793056138,"Not Sig"
"acesulfame",-0.456909987250868,0.401,0.254991416160376,1,0.649336286942749,0,0.187530326715022,"Not Sig","Not Sig","Dichotomized",0.686284436227942,"Not Sig"
"adenosine35cyclicmonophosphatecAMP",-0.173618273234149,0.432,0.687500493541048,1,0.890751577375885,0,0.050243399911512,"Not Sig","Not Sig","Dichotomized",0.855851451552963,"Not Sig"
"ADSGEGDFXAEGGGVR",-0.199022017918404,0.468,0.670348718762285,1,0.890751577375885,0,0.050243399911512,"Not Sig","Not Sig","Dichotomized",0.855851451552963,"Not Sig"
"alphaCEHCglucuronide",0.28113135839479,0.416,0.499244621358958,1,0.824334142243861,0,0.0838967121894938,"Not Sig","Not Sig","Dichotomized",0.778922793056138,"Not Sig"
"alphaCEHCsulfate",-0.295964161738486,0.362,0.414138226324201,1,0.786409523557991,0,0.104351235761323,"Not Sig","Not Sig","Dichotomized",0.778922793056138,"Not Sig"
"benzoylcarnitine",-0.543716621938899,0.492,0.268754207699831,1,0.64954762943039,0,0.187388997877507,"Not Sig","Not Sig","Dichotomized",0.692558919841872,"Not Sig"
"bradykinindesarg9",-0.327030095237271,0.366,0.371181725243267,1,0.752968642636341,0,0.12322310960749,"Not Sig","Not Sig","Dichotomized",0.778922793056138,"Not Sig"
"caffeicacidsulfate",-0.259732771318677,0.395,0.510709674069435,1,0.825425646372922,0,0.0833220415099639,"Not Sig","Not Sig","Dichotomized",0.778922793056138,"Not Sig"
"campesterol",0.525020061926259,0.413,0.203563318203512,1,0.649336286942749,0,0.187530326715022,"Not Sig","Not Sig","Dichotomized",0.686284436227942,"Not Sig"
"chiroinositol",-0.155632906724033,0.408,0.702564624409149,1,0.890751577375885,0,0.050243399911512,"Not Sig","Not Sig","Dichotomized",0.855851451552963,"Not Sig"
"cotinine",0.314565094908837,0.421,0.45544343286952,1,0.788694725213072,0,0.103091063723888,"Not Sig","Not Sig","Dichotomized",0.778922793056138,"Not Sig"
"diacylglycerol16118221601831",0.455825112514623,0.401,0.256076282174605,1,0.649336286942749,0,0.187530326715022,"Not Sig","Not Sig","Dichotomized",0.686284436227942,"Not Sig"
