"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","strata","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"enyloleoylGPEP181",-0.00872765682181429,0.0514534865038473,0.865307212895647,1,0.991533867034852,"1",0,0.00369244735362309,"Not Sig","Not Sig","Complete-cases",0.987934666850315,"Not Sig"
"enylpalmitoyl2arachidonoylGPCP160204",0.084448614176158,0.0494234898090055,0.087511419737044,1,0.98883176735089,"1",0,0.0048775898244528,"Not Sig","Not Sig","Complete-cases",0.987934666850315,"Not Sig"
"enylpalmitoyl2arachidonoylGPEP160204",0.0737030747884313,0.0496739500249854,0.137878721298728,1,0.98883176735089,"1",0,0.0048775898244528,"Not Sig","Not Sig","Complete-cases",0.987934666850315,"Not Sig"
"enylpalmitoyl2linoleoylGPCP160182",0.0776819181140401,0.04877161270848,0.11121199746995,1,0.98883176735089,"1",0,0.0048775898244528,"Not Sig","Not Sig","Complete-cases",0.987934666850315,"Not Sig"
"enylpalmitoyl2linoleoylGPEP160182",0.0611990285346077,0.0504646063055743,0.225239988979507,1,0.98883176735089,"1",0,0.0048775898244528,"Not Sig","Not Sig","Complete-cases",0.987934666850315,"Not Sig"
"enylpalmitoyl2oleoylGPCP160181",0.0103823788806764,0.0566123335201403,0.854488653460454,1,0.991533867034852,"1",0,0.00369244735362309,"Not Sig","Not Sig","Complete-cases",0.987934666850315,"Not Sig"
"enylpalmitoyl2oleoylGPEP160181",0.024476814159318,0.0523337431659694,0.639994733911183,1,0.98883176735089,"1",0,0.0048775898244528,"Not Sig","Not Sig","Complete-cases",0.987934666850315,"Not Sig"
"enylpalmitoyl2palmitoleoylGPCP160161",0.0306685063338826,0.0601474774797324,0.610129587690232,1,0.98883176735089,"1",0,0.0048775898244528,"Not Sig","Not Sig","Complete-cases",0.987934666850315,"Not Sig"
"enylpalmitoyl2palmitoylGPCP160160",0.0353623975038241,0.0602030634341075,0.556944930464987,1,0.98883176735089,"1",0,0.0048775898244528,"Not Sig","Not Sig","Complete-cases",0.987934666850315,"Not Sig"
"enylpalmitoylGPCP160",0.0253614341664684,0.0571381185441435,0.657142428059738,1,0.98883176735089,"1",0,0.0048775898244528,"Not Sig","Not Sig","Complete-cases",0.987934666850315,"Not Sig"
"enylpalmitoylGPEP160",-0.0172318409621186,0.0528389519726714,0.744333537856457,1,0.98883176735089,"1",0,0.0048775898244528,"Not Sig","Not Sig","Complete-cases",0.987934666850315,"Not Sig"
"enylstearoyl2arachidonoylGPEP180204",0.0925862812217013,0.050794215320829,0.0683379069981293,1,0.98883176735089,"1",0,0.0048775898244528,"Not Sig","Not Sig","Complete-cases",0.987934666850315,"Not Sig"
"enylstearoyl2linoleoylGPEP180182",0.0547162610260995,0.0499405596761528,0.273241730143576,1,0.98883176735089,"1",0,0.0048775898244528,"Not Sig","Not Sig","Complete-cases",0.987934666850315,"Not Sig"
"enylstearoyl2oleoylGPEP180181",0.0363257155895584,0.053865606069112,0.500071782231292,1,0.98883176735089,"1",0,0.0048775898244528,"Not Sig","Not Sig","Complete-cases",0.987934666850315,"Not Sig"
"enylstearoylGPEP180",0.0151133674775454,0.0534664612989145,0.77742977420369,1,0.98883176735089,"1",0,0.0048775898244528,"Not Sig","Not Sig","Complete-cases",0.987934666850315,"Not Sig"
"dilinoleoylGPC182182",0.137833624689246,0.0577814290575311,0.0170591120869808,1,0.98883176735089,"1",0,0.0048775898244528,"Not Sig","Not Sig","Complete-cases",0.918594757031001,"Not Sig"
"dipalmitoylGPC160160",0.0289358575077685,0.0641312158700208,0.651847062585117,1,0.98883176735089,"1",0,0.0048775898244528,"Not Sig","Not Sig","Complete-cases",0.987934666850315,"Not Sig"
"dimethylurate13",-0.148966228174727,0.0819241440000903,0.0690116603215534,1,0.98883176735089,"1",0,0.0048775898244528,"Not Sig","Not Sig","Complete-cases",0.987934666850315,"Not Sig"
"anhydroglucitol15AG",0.0562307297945001,0.0613288162111784,0.35920924435916,1,0.98883176735089,"1",0,0.0048775898244528,"Not Sig","Not Sig","Complete-cases",0.987934666850315,"Not Sig"
"dimethylurate17",-0.119061325037243,0.0583328539150491,0.0412440624896576,1,0.98883176735089,"1",0,0.0048775898244528,"Not Sig","Not Sig","Complete-cases",0.987934666850315,"Not Sig"
"heptadecenoate171n7",0.0242761105002476,0.063662265662729,0.702960974229236,1,0.98883176735089,"1",0,0.0048775898244528,"Not Sig","Not Sig","Complete-cases",0.987934666850315,"Not Sig"
"nonadecenoate191n9",0.0411903192385225,0.0641161422890933,0.520592143618527,1,0.98883176735089,"1",0,0.0048775898244528,"Not Sig","Not Sig","Complete-cases",0.987934666850315,"Not Sig"
"undecenoate111n1",-0.0260137751998639,0.0525338530514447,0.620472236052346,1,0.98883176735089,"1",0,0.0048775898244528,"Not Sig","Not Sig","Complete-cases",0.987934666850315,"Not Sig"
"DiHOME1213",0.100542826439764,0.0851504915804782,0.237695595829126,1,0.98883176735089,"1",0,0.0048775898244528,"Not Sig","Not Sig","Complete-cases",0.987934666850315,"Not Sig"
"HETE",-0.0414345615159933,0.0513163408817056,0.419416449840002,1,0.98883176735089,"1",0,0.0048775898244528,"Not Sig","Not Sig","Complete-cases",0.987934666850315,"Not Sig"
"HODE9HODE",-0.0198855716563906,0.0597037554816094,0.739080915545974,1,0.98883176735089,"1",0,0.0048775898244528,"Not Sig","Not Sig","Complete-cases",0.987934666850315,"Not Sig"
"ahydroxyDHEA3sulfate",0.0462070368638877,0.0491814489906013,0.347462974009816,1,0.98883176735089,"1",0,0.0048775898244528,"Not Sig","Not Sig","Complete-cases",0.987934666850315,"Not Sig"
"hydroxypalmitate16",0.0141809296780612,0.0502104432125579,0.777613902782083,1,0.98883176735089,"1",0,0.0048775898244528,"Not Sig","Not Sig","Complete-cases",0.987934666850315,"Not Sig"
"methylstearate",0.12696579894302,0.0732915042672219,0.083213057515117,1,0.98883176735089,"1",0,0.0048775898244528,"Not Sig","Not Sig","Complete-cases",0.987934666850315,"Not Sig"
