"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","strata","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"enyloleoylGPEP181",-0.0104548203965226,0.050291936315926,0.835320605824454,1,0.995717348444622,"1",0,0.00186392606633728,"Not Sig","Not Sig","Imputed",0.981194608679828,"Not Sig"
"enylpalmitoyl2arachidonoylGPCP160204",0.0848692220274116,0.0494063507453548,0.0858368216010198,1,0.995357422270087,"1",0,0.00202094071540516,"Not Sig","Not Sig","Imputed",0.98029414020576,"Not Sig"
"enylpalmitoyl2arachidonoylGPEP160204",0.0738364657924796,0.049682557056342,0.137235544595002,1,0.995357422270087,"1",0,0.00202094071540516,"Not Sig","Not Sig","Imputed",0.98029414020576,"Not Sig"
"enylpalmitoyl2linoleoylGPCP160182",0.0779453903850512,0.0487102212048497,0.109557434637651,1,0.995357422270087,"1",0,0.00202094071540516,"Not Sig","Not Sig","Imputed",0.98029414020576,"Not Sig"
"enylpalmitoyl2linoleoylGPEP160182",0.0610882505223009,0.050435450790384,0.225812438048205,1,0.995357422270087,"1",0,0.00202094071540516,"Not Sig","Not Sig","Imputed",0.98029414020576,"Not Sig"
"enylpalmitoyl2oleoylGPCP160181",0.0107344005571943,0.056526378201056,0.849386919415538,1,0.995717348444622,"1",0,0.00186392606633728,"Not Sig","Not Sig","Imputed",0.988630676696774,"Not Sig"
"enylpalmitoyl2oleoylGPEP160181",0.0242577591678963,0.0523032715600279,0.642797868138352,1,0.995357422270087,"1",0,0.00202094071540516,"Not Sig","Not Sig","Imputed",0.98029414020576,"Not Sig"
"enylpalmitoyl2palmitoleoylGPCP160161",0.0310101718714041,0.0602574794897617,0.606813160754975,1,0.995357422270087,"1",0,0.00202094071540516,"Not Sig","Not Sig","Imputed",0.98029414020576,"Not Sig"
"enylpalmitoyl2palmitoylGPCP160160",0.0361941151499913,0.0601161865217695,0.547127955627462,1,0.995357422270087,"1",0,0.00202094071540516,"Not Sig","Not Sig","Imputed",0.98029414020576,"Not Sig"
"enylpalmitoylGPCP160",0.0255752144221284,0.0571018684637755,0.654234373531735,1,0.995357422270087,"1",0,0.00202094071540516,"Not Sig","Not Sig","Imputed",0.98029414020576,"Not Sig"
"enylpalmitoylGPEP160",-0.0174025659782844,0.0528231651008633,0.741815949165241,1,0.995593540750759,"1",0,0.00191792968638801,"Not Sig","Not Sig","Imputed",0.98029414020576,"Not Sig"
"enylstearoyl2arachidonoylGPEP180204",0.0926197269682603,0.0507794144031388,0.0681578032678507,1,0.995357422270087,"1",0,0.00202094071540516,"Not Sig","Not Sig","Imputed",0.98029414020576,"Not Sig"
"enylstearoyl2linoleoylGPEP180182",0.0547361484428607,0.0499291349142965,0.272957692394189,1,0.995357422270087,"1",0,0.00202094071540516,"Not Sig","Not Sig","Imputed",0.98029414020576,"Not Sig"
