"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"enyloleoylGPEP181",-0.0538302771031223,0.268,0.840570234785992,1,0.989153562993883,0,0.00473628031002806,"Not Sig","Not Sig","Complete-cases",0.98298459455094,"Not Sig"
"enylpalmitoyl2arachidonoylGPCP160204",0.164071605354024,0.286,0.565950965718597,1,0.984645086594744,0,0.00672028189761453,"Not Sig","Not Sig","Complete-cases",0.979669264929785,"Not Sig"
"enylpalmitoyl2arachidonoylGPEP160204",-0.0160471227784865,0.267,0.95202403172813,1,0.989833241058995,0,0.00443796559246608,"Not Sig","Not Sig","Complete-cases",0.985795268997008,"Not Sig"
"enylpalmitoyl2linoleoylGPCP160182",-0.14219034711355,0.28,0.611227628720277,1,0.984645086594744,0,0.00672028189761453,"Not Sig","Not Sig","Complete-cases",0.979669264929785,"Not Sig"
"enylpalmitoyl2linoleoylGPEP160182",-0.253805069645551,0.292,0.384772996758293,1,0.984645086594744,0,0.00672028189761453,"Not Sig","Not Sig","Complete-cases",0.979669264929785,"Not Sig"
"enylpalmitoyl2oleoylGPCP160181",-0.221664074618574,0.364,0.542538619725961,1,0.984645086594744,0,0.00672028189761453,"Not Sig","Not Sig","Complete-cases",0.979669264929785,"Not Sig"
"enylpalmitoyl2oleoylGPEP160181",-0.275993781168947,0.278,0.321246171580769,1,0.984645086594744,0,0.00672028189761453,"Not Sig","Not Sig","Complete-cases",0.979669264929785,"Not Sig"
"enylpalmitoyl2palmitoleoylGPCP160161",-0.166778730623685,0.337,0.620640593317424,1,0.984645086594744,0,0.00672028189761453,"Not Sig","Not Sig","Complete-cases",0.979669264929785,"Not Sig"
"enylpalmitoyl2palmitoylGPCP160160",-0.156897936609852,0.333,0.637608051931339,1,0.984645086594744,0,0.00672028189761453,"Not Sig","Not Sig","Complete-cases",0.979669264929785,"Not Sig"
"enylpalmitoylGPCP160",-0.0327384232462959,0.296,0.91191880584159,1,0.989833241058995,0,0.00443796559246608,"Not Sig","Not Sig","Complete-cases",0.98298459455094,"Not Sig"
"enylpalmitoylGPEP160",-0.0429002275270185,0.271,0.874031967304379,1,0.989153562993883,0,0.00473628031002806,"Not Sig","Not Sig","Complete-cases",0.98298459455094,"Not Sig"
"enylstearoyl2arachidonoylGPEP180204",-0.0881776947091036,0.268,0.742216655159328,1,0.984645086594744,0,0.00672028189761453,"Not Sig","Not Sig","Complete-cases",0.979669264929785,"Not Sig"
"enylstearoyl2linoleoylGPEP180182",-0.342951932380646,0.289,0.234977505913451,1,0.984645086594744,0,0.00672028189761453,"Not Sig","Not Sig","Complete-cases",0.979669264929785,"Not Sig"
"enylstearoyl2oleoylGPEP180181",-0.294160629399847,0.245,0.229256867496096,1,0.984645086594744,0,0.00672028189761453,"Not Sig","Not Sig","Complete-cases",0.979669264929785,"Not Sig"
"enylstearoylGPEP180",-0.0642054956593398,0.249,0.796598587597212,1,0.989153562993883,0,0.00473628031002806,"Not Sig","Not Sig","Complete-cases",0.98298459455094,"Not Sig"
"dilinoleoylGPC182182",-0.201988708746854,0.265,0.446119931679084,1,0.984645086594744,0,0.00672028189761453,"Not Sig","Not Sig","Complete-cases",0.979669264929785,"Not Sig"
"dipalmitoylGPC160160",-0.204256143122195,0.295,0.488739855926029,1,0.984645086594744,0,0.00672028189761453,"Not Sig","Not Sig","Complete-cases",0.979669264929785,"Not Sig"
"dimethylurate13",0.0646028364226534,0.368,0.860473569873572,1,0.989153562993883,0,0.00473628031002806,"Not Sig","Not Sig","Complete-cases",0.98298459455094,"Not Sig"
"anhydroglucitol15AG",0.238595740745388,0.359,0.506537658288537,1,0.984645086594744,0,0.00672028189761453,"Not Sig","Not Sig","Complete-cases",0.979669264929785,"Not Sig"
"dimethylurate17",-0.0556721381730037,0.309,0.857110132003161,1,0.989153562993883,0,0.00473628031002806,"Not Sig","Not Sig","Complete-cases",0.98298459455094,"Not Sig"
"heptadecenoate171n7",-0.180955484161011,0.331,0.584113347102536,1,0.984645086594744,0,0.00672028189761453,"Not Sig","Not Sig","Complete-cases",0.979669264929785,"Not Sig"
"nonadecenoate191n9",-0.238889635416395,0.303,0.429928521250972,1,0.984645086594744,0,0.00672028189761453,"Not Sig","Not Sig","Complete-cases",0.979669264929785,"Not Sig"
"undecenoate111n1",-0.32758689261957,0.253,0.195681459870226,1,0.984645086594744,0,0.00672028189761453,"Not Sig","Not Sig","Complete-cases",0.979669264929785,"Not Sig"
"DiHOME1213",0.0704783639017192,0.343,0.837123979098357,1,0.989153562993883,0,0.00473628031002806,"Not Sig","Not Sig","Complete-cases",0.98298459455094,"Not Sig"
"HETE",0.109387412838037,0.285,0.700797941737635,1,0.984645086594744,0,0.00672028189761453,"Not Sig","Not Sig","Complete-cases",0.979669264929785,"Not Sig"
"HODE9HODE",-0.180508025794831,0.276,0.513287428690563,1,0.984645086594744,0,0.00672028189761453,"Not Sig","Not Sig","Complete-cases",0.979669264929785,"Not Sig"
"ahydroxyDHEA3sulfate",-0.0702738060966139,0.267,0.792250828841827,1,0.989153562993883,0,0.00473628031002806,"Not Sig","Not Sig","Complete-cases",0.98298459455094,"Not Sig"
"hydroxypalmitate16",-0.642705926378474,0.32,0.0448732065286249,1,0.885222019597677,0,0.0529477916823917,"Not Sig","Not Sig","Complete-cases",0.979669264929785,"Not Sig"
"methylstearate",-0.00445957458889831,0.326,0.989098756806587,1,0.998624799596495,0,0.000597652987321763,"Not Sig","Not Sig","Complete-cases",0.995972832500617,"Not Sig"
"arachidonoylGPA204",-0.17177433300649,0.252,0.496035168187586,1,0.984645086594744,0,0.00672028189761453,"Not Sig","Not Sig","Complete-cases",0.979669264929785,"Not Sig"
"arachidonoylGPC204n6",-0.0924453295514757,0.296,0.754773291096233,1,0.984645086594744,0,0.00672028189761453,"Not Sig","Not Sig","Complete-cases",0.979669264929785,"Not Sig"
