"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","strata","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"enyloleoylGPEP181",0.0000388765200601268,0.00721023807084858,0.99569794720617,1,0.998664068072356,"1",0,0.000580575755623084,"Not Sig","Not Sig","Complete-cases",0.998436773152563,"Not Sig"
"enylpalmitoyl2arachidonoylGPCP160204",0.00982050871206009,0.00797806495006866,0.218345800705709,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.994634194659408,"Not Sig"
"enylpalmitoyl2arachidonoylGPEP160204",0.00993166939908276,0.00773172039710259,0.198954647232057,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.994634194659408,"Not Sig"
"enylpalmitoyl2linoleoylGPCP160182",0.0092464359984741,0.00751038313416986,0.218265383614336,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.994634194659408,"Not Sig"
"enylpalmitoyl2linoleoylGPEP160182",0.00847271799779059,0.00772508007840561,0.272737310781554,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.994634194659408,"Not Sig"
"enylpalmitoyl2oleoylGPCP160181",0.00160899577872297,0.00825507762312108,0.845463538311654,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.994634194659408,"Not Sig"
"enylpalmitoyl2oleoylGPEP160181",0.00428706966550127,0.00732682270592055,0.558467108488947,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.994634194659408,"Not Sig"
"enylpalmitoyl2palmitoleoylGPCP160161",0.00377811379879894,0.00952379333476377,0.691586765540855,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.994634194659408,"Not Sig"
"enylpalmitoyl2palmitoylGPCP160160",0.00379309380165241,0.009342155462271,0.684728546955545,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.994634194659408,"Not Sig"
"enylpalmitoylGPCP160",0.00303544802541438,0.00841803300685848,0.718406898196621,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.994634194659408,"Not Sig"
"enylpalmitoylGPEP160",-0.00285838373426396,0.00762611421605467,0.707797888660694,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.994634194659408,"Not Sig"
"enylstearoyl2arachidonoylGPEP180204",0.0134395473304099,0.00834655343324358,0.107356110384058,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.994634194659408,"Not Sig"
"enylstearoyl2linoleoylGPEP180182",0.00781125954576831,0.00735631063720855,0.288306188120184,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.994634194659408,"Not Sig"
"enylstearoyl2oleoylGPEP180181",0.00564192589803917,0.00777283881199202,0.467929875632208,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.994634194659408,"Not Sig"
"enylstearoylGPEP180",0.00266190651400909,0.00783500536629951,0.73404831875622,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.994634194659408,"Not Sig"
"dilinoleoylGPC182182",0.0203734774376412,0.00860678295067531,0.0179260532989147,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.981220119705341,"Not Sig"
"dipalmitoylGPC160160",0.002835454135698,0.00968795190387328,0.769767991585216,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.994634194659408,"Not Sig"
"dimethylurate13",-0.0267948749835728,0.0134546425477762,0.0464263178675244,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.994634194659408,"Not Sig"
"anhydroglucitol15AG",0.00641168381490615,0.00928618886253071,0.489908892635286,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.994634194659408,"Not Sig"
"dimethylurate17",-0.0204559588964778,0.00898772662453061,0.0228467215106554,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.981220119705341,"Not Sig"
"heptadecenoate171n7",0.00148749433771832,0.00943496786112322,0.874726617135771,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.994634194659408,"Not Sig"
"nonadecenoate191n9",0.00341496588404446,0.00970187112988479,0.72484543234057,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.994634194659408,"Not Sig"
"undecenoate111n1",-0.0036427816247356,0.0079193503418817,0.645527054524081,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.994634194659408,"Not Sig"
"DiHOME1213",0.015345250139938,0.0135367419660078,0.256962390177633,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.994634194659408,"Not Sig"
"HETE",-0.00838753172688876,0.00789311205493612,0.287945519735482,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.994634194659408,"Not Sig"
"HODE9HODE",-0.00210234441460359,0.00940220221369786,0.823067570502713,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.994634194659408,"Not Sig"
"ahydroxyDHEA3sulfate",0.00718120218281012,0.00729595294269545,0.32498179360082,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.994634194659408,"Not Sig"
"hydroxypalmitate16",0.00078270712103905,0.00736657876447588,0.915383125838144,1,0.993876123343588,"1",0,0.00266774266599228,"Not Sig","Not Sig","Complete-cases",0.995803971999177,"Not Sig"
"methylstearate",0.0157549603526554,0.0114554881939743,0.169032303860618,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.994634194659408,"Not Sig"
"arachidonoylGPA204",-0.00232995680196429,0.00928269731903313,0.801814127937727,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.994634194659408,"Not Sig"
"arachidonoylGPC204n6",0.000663101925509637,0.00815662770169473,0.935206484814424,1,0.995836639839161,"1",0,0.00181189876027013,"Not Sig","Not Sig","Complete-cases",0.995803971999177,"Not Sig"
"arachidonoylGPE204n6",0.0169660053445921,0.00931279817902438,0.068486158874416,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.994634194659408,"Not Sig"
"arachidonoylGPI204",-0.0038251706482536,0.00748194214119343,0.609173416655843,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.994634194659408,"Not Sig"
"arachidonylglycerol204",-0.00222305587161939,0.0105473306549817,0.833067119899416,1,0.99075842906234,"1",0,0.00403222413665463,"Not Sig","Not Sig","Complete-cases",0.994634194659408,"Not Sig"
