"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"dilinoleoylGPE182182",-0.011083756037398,0.013,0.384029730779872,1,0.964685885965886,0,0.0156140754634749,"Not Sig","Not Sig","Dichotomized",0.976003531939593,"Not Sig"
"trimethylurate",-0.0150807360529782,0.01,0.124345180493935,1,0.767696331745162,0,0.114810534561369,"Not Sig","Not Sig","Dichotomized",0.833112709309363,"Not Sig"
"alphahydroxypregnanoloneglucuronide",0.0111044325492092,0.013,0.384152518165134,1,0.964685885965886,0,0.0156140754634749,"Not Sig","Not Sig","Dichotomized",0.976003531939593,"Not Sig"
"alphahydroxypregnenolone3sulfate",-0.0015432836203119,0.012,0.896729823796398,1,0.975355752218523,0,0.0108369504086031,"Not Sig","Not Sig","Dichotomized",0.976003531939593,"Not Sig"
"methylurate",-0.0192010321491575,0.01,0.0670051717469185,1,0.679623884861602,0,0.1677313665874,"Not Sig","Not Sig","Dichotomized",0.748163211912622,"Not Sig"
"stearoylGPG180",-0.0173988625024045,0.011,0.120584273056611,1,0.767696331745162,0,0.114810534561369,"Not Sig","Not Sig","Dichotomized",0.833112709309363,"Not Sig"
"hydroxypregnenolonemonosulfate1",-0.00620187104389917,0.011,0.574797113110539,1,0.975355752218523,0,0.0108369504086031,"Not Sig","Not Sig","Dichotomized",0.976003531939593,"Not Sig"
"acetamidophenolsulfate",0.00113793283993405,0.012,0.926784953769525,1,0.975355752218523,0,0.0108369504086031,"Not Sig","Not Sig","Dichotomized",0.976003531939593,"Not Sig"
"hydroxyphenylpropionate",-0.00532292695691254,0.011,0.619334502454968,1,0.975355752218523,0,0.0108369504086031,"Not Sig","Not Sig","Dichotomized",0.976003531939593,"Not Sig"
"hydroxyphenylpropionatesulfate",-0.00794871433620921,0.011,0.476713273251314,1,0.964685885965886,0,0.0156140754634749,"Not Sig","Not Sig","Dichotomized",0.976003531939593,"Not Sig"
"dimethylurate37",-0.0127962890187393,0.011,0.230135117100441,1,0.931459040260185,0,0.0308362379014921,"Not Sig","Not Sig","Dichotomized",0.976003531939593,"Not Sig"
"acetaminophensulfate",-0.00766745974912476,0.012,0.511648929282977,1,0.964685885965886,0,0.0156140754634749,"Not Sig","Not Sig","Dichotomized",0.976003531939593,"Not Sig"
"acetylphenolsulfate4",0.00421256871568486,0.01,0.687438181730486,1,0.975355752218523,0,0.0108369504086031,"Not Sig","Not Sig","Dichotomized",0.976003531939593,"Not Sig"
"hydroxyphenylacetate4",-0.00822990988666773,0.01,0.413051360774573,1,0.964685885965886,0,0.0156140754634749,"Not Sig","Not Sig","Dichotomized",0.976003531939593,"Not Sig"
"vinylguaiacolsulfate",-0.0159746080589306,0.012,0.194735782320504,1,0.880947906296391,0,0.0550497722655081,"Not Sig","Not Sig","Dichotomized",0.976003531939593,"Not Sig"
"alphaandrostan3alpha17alphadiolmonosulfate",0.00846661828894387,0.01,0.416532652326136,1,0.964685885965886,0,0.0156140754634749,"Not Sig","Not Sig","Dichotomized",0.976003531939593,"Not Sig"
"alphaandrostan3alpha17betadiol17glucuronide",-0.002703149615147,0.013,0.839954746173889,1,0.975355752218523,0,0.0108369504086031,"Not Sig","Not Sig","Dichotomized",0.976003531939593,"Not Sig"
"alphaandrostan3alpha17betadioldisulfate",-0.000225207730342228,0.012,0.985003731210191,1,0.986591220133898,0,0.00586275372727939,"Not Sig","Not Sig","Dichotomized",0.985003731210191,"Not Sig"
"alphaandrostan3alpha17betadiolmonosulfate2",-0.00384894457694959,0.014,0.779417297114268,1,0.975355752218523,0,0.0108369504086031,"Not Sig","Not Sig","Dichotomized",0.976003531939593,"Not Sig"
"alphapregnan3alphaorbeta20betadioldisulfate",0.00333869931219849,0.012,0.7750912845573,1,0.975355752218523,0,0.0108369504086031,"Not Sig","Not Sig","Dichotomized",0.976003531939593,"Not Sig"
"hydroxyhexanoate5",-0.0073512435484713,0.01,0.482265137090763,1,0.964685885965886,0,0.0156140754634749,"Not Sig","Not Sig","Dichotomized",0.976003531939593,"Not Sig"
"hydroxyindoleacetate",0.00377114473090228,0.011,0.733858156573797,1,0.975355752218523,0,0.0108369504086031,"Not Sig","Not Sig","Dichotomized",0.976003531939593,"Not Sig"
