"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"enyloleoylGPEP181",-0.000686910720836528,0.005,0.87885076501206,1,0.987446433645897,0,0.00548645438806912,"Not Sig","Not Sig","Imputed",0.977946100969231,"Not Sig"
"enylpalmitoyl2arachidonoylGPCP160204",-0.0000828364448195761,0.005,0.987684662449904,1,0.995435551056574,0,0.00198685289078364,"Not Sig","Not Sig","Imputed",0.99078571319543,"Not Sig"
"enylpalmitoyl2arachidonoylGPEP160204",-0.000679450657224706,0.005,0.885946625221493,1,0.987446433645897,0,0.00548645438806912,"Not Sig","Not Sig","Imputed",0.977946100969231,"Not Sig"
"enylpalmitoyl2linoleoylGPCP160182",-0.000155916769757995,0.005,0.9757497013608,1,0.995435551056574,0,0.00198685289078364,"Not Sig","Not Sig","Imputed",0.988120537511175,"Not Sig"
"enylpalmitoyl2linoleoylGPEP160182",-0.0014815319483043,0.005,0.771995190216407,1,0.96930681006222,0,0.013538736027726,"Not Sig","Not Sig","Imputed",0.965371676219734,"Not Sig"
"enylpalmitoyl2oleoylGPCP160181",-0.00311636392675997,0.006,0.594119630588058,1,0.92833885805375,0,0.0322934706334857,"Not Sig","Not Sig","Imputed",0.922513730988124,"Not Sig"
"enylpalmitoyl2oleoylGPEP160181",-0.004210222269692,0.005,0.3770844329653,1,0.861885067573742,0,0.0645506435098809,"Not Sig","Not Sig","Imputed",0.898369922559277,"Not Sig"
"enylpalmitoyl2palmitoleoylGPCP160161",-0.00279501332628027,0.006,0.618632773075325,1,0.92872532961757,0,0.0321127095471249,"Not Sig","Not Sig","Imputed",0.922513730988124,"Not Sig"
"enylpalmitoyl2palmitoylGPCP160160",-0.000873082612453381,0.006,0.88499750978902,1,0.987446433645897,0,0.00548645438806912,"Not Sig","Not Sig","Imputed",0.977946100969231,"Not Sig"
"enylpalmitoylGPCP160",-0.00123102789745753,0.005,0.807557539866396,1,0.97974929600525,0,0.00888503991022732,"Not Sig","Not Sig","Imputed",0.974875518828587,"Not Sig"
"enylpalmitoylGPEP160",-0.00274579207936636,0.005,0.559126588283818,1,0.925904906422449,0,0.0334336145455778,"Not Sig","Not Sig","Imputed",0.922513730988124,"Not Sig"
"enylstearoyl2arachidonoylGPEP180204",-0.00282504188473737,0.005,0.599427385380577,1,0.92833885805375,0,0.0322934706334857,"Not Sig","Not Sig","Imputed",0.922513730988124,"Not Sig"
"enylstearoyl2linoleoylGPEP180182",-0.00255282146544658,0.005,0.601540493454797,1,0.92872532961757,0,0.0321127095471249,"Not Sig","Not Sig","Imputed",0.922513730988124,"Not Sig"
"enylstearoyl2oleoylGPEP180181",-0.002434547337498,0.005,0.610326088300294,1,0.92872532961757,0,0.0321127095471249,"Not Sig","Not Sig","Imputed",0.922513730988124,"Not Sig"
"enylstearoylGPEP180",-0.00200176179459856,0.005,0.683160206986355,1,0.941399071147234,0,0.0262262345357187,"Not Sig","Not Sig","Imputed",0.932277633795315,"Not Sig"
"dilinoleoylGPC182182",0.00099881431731696,0.005,0.832608259547549,1,0.987446433645897,0,0.00548645438806912,"Not Sig","Not Sig","Imputed",0.977946100969231,"Not Sig"
"dipalmitoylGPC160160",-0.00639611280413595,0.005,0.240770758996565,1,0.804657666683689,0,0.094388846453945,"Not Sig","Not Sig","Imputed",0.878275993004096,"Not Sig"
"dimethylurate13",-0.0038763367055484,0.005,0.419305948700448,1,0.887689459189228,0,0.0517389370906772,"Not Sig","Not Sig","Imputed",0.922513730988124,"Not Sig"
"anhydroglucitol15AG",0.0056355888184353,0.006,0.336290989279566,1,0.861885067573742,0,0.0645506435098809,"Not Sig","Not Sig","Imputed",0.898369922559277,"Not Sig"
"dimethylurate17",-0.00347639238494879,0.005,0.456691141838458,1,0.894275124066022,0,0.0485288497923976,"Not Sig","Not Sig","Imputed",0.922513730988124,"Not Sig"
"heptadecenoate171n7",-0.00367797408429005,0.007,0.575829406379557,1,0.92833885805375,0,0.0322934706334857,"Not Sig","Not Sig","Imputed",0.922513730988124,"Not Sig"
"nonadecenoate191n9",-0.00485522080495738,0.006,0.410684916338716,1,0.881178871055019,0,0.0549359249282447,"Not Sig","Not Sig","Imputed",0.922513730988124,"Not Sig"
"undecenoate111n1",0.000671448458089407,0.004,0.876350166746412,1,0.987446433645897,0,0.00548645438806912,"Not Sig","Not Sig","Imputed",0.977946100969231,"Not Sig"
"DiHOME1213",0.00707425057600675,0.005,0.182046287611221,1,0.780135465054577,0,0.107829978569085,"Not Sig","Not Sig","Imputed",0.843886954575874,"Not Sig"
"HETE",0.00371179486957357,0.005,0.49157646247409,1,0.904718182491076,0,0.0434866814018932,"Not Sig","Not Sig","Imputed",0.922513730988124,"Not Sig"
"HODE9HODE",-0.00432130082864492,0.005,0.406359908207031,1,0.878167205476253,0,0.0564227853444006,"Not Sig","Not Sig","Imputed",0.922513730988124,"Not Sig"
"ahydroxyDHEA3sulfate",0.00389236408131427,0.005,0.475210287093985,1,0.899842633664046,0,0.0458334342351252,"Not Sig","Not Sig","Imputed",0.922513730988124,"Not Sig"
"hydroxypalmitate16",-0.011055530283819,0.006,0.0829060003973709,1,0.615971027745756,0,0.210439714436307,"Not Sig","Not Sig","Imputed",0.711767125046021,"Not Sig"
"methylstearate",-0.00513184474717485,0.006,0.385100915289193,1,0.861885067573742,0,0.0645506435098809,"Not Sig","Not Sig","Imputed",0.903222105140553,"Not Sig"
"arachidonoylGPA204",-0.00122664122365729,0.005,0.797126019952371,1,0.975900267087218,0,0.0105945631394931,"Not Sig","Not Sig","Imputed",0.969916387057576,"Not Sig"
"arachidonoylGPC204n6",-0.00682153503885552,0.006,0.252145078781959,1,0.812467476075202,0,0.0901940152645151,"Not Sig","Not Sig","Imputed",0.878275993004096,"Not Sig"
"arachidonoylGPE204n6",-0.00703800693144218,0.006,0.218993743303845,1,0.781251489008559,0,0.10720914191336,"Not Sig","Not Sig","Imputed",0.858509214546976,"Not Sig"
"arachidonoylGPI204",-0.00464364584084463,0.005,0.331547060302198,1,0.861885067573742,0,0.0645506435098809,"Not Sig","Not Sig","Imputed",0.898369922559277,"Not Sig"
"arachidonylglycerol204",-0.00454707506393526,0.005,0.403179927541088,1,0.87762410377588,0,0.0566914574557887,"Not Sig","Not Sig","Imputed",0.920114191781269,"Not Sig"
"dihomolinolenylglycerol203",-0.00174220242444885,0.006,0.756851643480383,1,0.957522049100862,0,0.0188512166360161,"Not Sig","Not Sig","Imputed",0.956332761139838,"Not Sig"
"docosahexaenoylglycerol226",0.00291435571363957,0.006,0.620158405441274,1,0.92872532961757,0,0.0321127095471249,"Not Sig","Not Sig","Imputed",0.922513730988124,"Not Sig"
"lignoceroylGPC240",0.000459200828224763,0.005,0.926322118171,1,0.990206402182793,0,0.00427427006303719,"Not Sig","Not Sig","Imputed",0.981624931196135,"Not Sig"
"linolenoylglycerol183",0.00503705007279999,0.005,0.35878404983134,1,0.861885067573742,0,0.0645506435098809,"Not Sig","Not Sig","Imputed",0.898369922559277,"Not Sig"
"linolenoylGPC183",-0.00301510167840073,0.006,0.610026350708512,1,0.92872532961757,0,0.0321127095471249,"Not Sig","Not Sig","Imputed",0.922513730988124,"Not Sig"
"linoleoyl2arachidonoylGPC182204n6",-0.000837096223333973,0.005,0.873032417399078,1,0.987446433645897,0,0.00548645438806912,"Not Sig","Not Sig","Imputed",0.977946100969231,"Not Sig"
"linoleoyl2linolenoylGPC182183",0.00314843644378817,0.005,0.546989764159528,1,0.925536892359275,0,0.0336062653727433,"Not Sig","Not Sig","Imputed",0.922513730988124,"Not Sig"
"linoleoylglycerol1821",0.00745667309524299,0.005,0.146895988547313,1,0.75387207292008,0,0.122702344764897,"Not Sig","Not Sig","Imputed",0.810124458755442,"Not Sig"
"linoleoylGPA182",0.00760584373541371,0.004,0.0778267816420034,1,0.608402406053575,0,0.215809077107987,"Not Sig","Not Sig","Imputed",0.700441034778031,"Not Sig"
"linoleoylGPC182",-0.00583628502446408,0.006,0.294111595617132,1,0.861185720948157,0,0.064903179690205,"Not Sig","Not Sig","Imputed",0.898369922559277,"Not Sig"
"linoleoylGPE182",-0.00391345358969456,0.006,0.481374266064841,1,0.899842633664046,0,0.0458334342351252,"Not Sig","Not Sig","Imputed",0.922513730988124,"Not Sig"
"linoleoylGPG182",-0.00181966239938207,0.005,0.713760125832708,1,0.946140073413028,0,0.0240445627451096,"Not Sig","Not Sig","Imputed",0.940404620708704,"Not Sig"
"linoleoylGPI182",-0.00442831530257399,0.005,0.352116797204922,1,0.861885067573742,0,0.0645506435098809,"Not Sig","Not Sig","Imputed",0.898369922559277,"Not Sig"
"N1methyladenosine",0.0122071849394884,0.006,0.0570944427299518,1,0.566014235339322,0,0.247172646105771,"Not Sig","Not Sig","Imputed",0.608055815073986,"Not Sig"
"methylhistamine",-0.0022114314328724,0.007,0.734450962181351,1,0.950257776564752,0,0.022158567601901,"Not Sig","Not Sig","Imputed",0.948109423906835,"Not Sig"
"methylhistidine1",0.00727507764861675,0.005,0.152474628451641,1,0.761526060989029,0,0.118315229622671,"Not Sig","Not Sig","Imputed",0.825688877801683,"Not Sig"
"methylimidazoleacetate",0.00346483750075983,0.006,0.558696216916846,1,0.925904906422449,0,0.0334336145455778,"Not Sig","Not Sig","Imputed",0.922513730988124,"Not Sig"
"methylnicotinamide",-0.00379336719459148,0.005,0.459297596687162,1,0.894275124066022,0,0.0485288497923976,"Not Sig","Not Sig","Imputed",0.922513730988124,"Not Sig"
