"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","strata","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"enyloleoylGPEP181",-0.000363910062590368,0.00719338607616858,0.959652601352626,1,0.998642408994789,"1",0,0.000589994858778762,"Not Sig","Not Sig","Imputed",0.996768674552138,"Not Sig"
"enylpalmitoyl2arachidonoylGPCP160204",0.007121317334086,0.00807881599911019,0.378057899768776,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"enylpalmitoyl2arachidonoylGPEP160204",0.00765378187556263,0.00782916897532141,0.328273064083152,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"enylpalmitoyl2linoleoylGPCP160182",0.00646611346760544,0.00764391349219266,0.397599259982651,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"enylpalmitoyl2linoleoylGPEP160182",0.00687952479611219,0.0076793725519107,0.370335740568771,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"enylpalmitoyl2oleoylGPCP160181",0.00144189796054728,0.00827388644498184,0.861652537008323,1,0.996519583575583,"1",0,0.00151416213635802,"Not Sig","Not Sig","Imputed",0.996543323580653,"Not Sig"
"enylpalmitoyl2oleoylGPEP160181",0.00332110004702183,0.00700044462766096,0.635205617003337,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"enylpalmitoyl2palmitoleoylGPCP160161",0.00288359671451385,0.00901544690569675,0.749081536080576,1,0.983456812133928,"1",0,0.0072447070855172,"Not Sig","Not Sig","Imputed",0.981248772665109,"Not Sig"
"enylpalmitoyl2palmitoylGPCP160160",0.00221904797642458,0.0091194719903111,0.807749183582489,1,0.989663018855976,"1",0,0.00451265789186352,"Not Sig","Not Sig","Imputed",0.986959032973136,"Not Sig"
"enylpalmitoylGPCP160",0.00226153575841056,0.00859795129262906,0.792525965577733,1,0.984427100700035,"1",0,0.00681643893259039,"Not Sig","Not Sig","Imputed",0.985260879385547,"Not Sig"
"enylpalmitoylGPEP160",-0.00331597114865789,0.00778016502466262,0.669956047574106,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"enylstearoyl2arachidonoylGPEP180204",0.0115959136228913,0.00840833612905452,0.167864757325037,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"enylstearoyl2linoleoylGPEP180182",0.00723766506633794,0.00733314782784139,0.323652789424552,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"enylstearoyl2oleoylGPEP180181",0.00491916166060644,0.00761671764068491,0.518384617969952,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"enylstearoylGPEP180",0.00272055727825854,0.00805137248277083,0.735438686430741,1,0.983456812133928,"1",0,0.0072447070855172,"Not Sig","Not Sig","Imputed",0.981096702775038,"Not Sig"
"dilinoleoylGPC182182",0.017823668131042,0.00871816442376717,0.0409111853299383,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"dipalmitoylGPC160160",0.000991532063512637,0.00961612431784731,0.91787455550135,1,0.996519583575583,"1",0,0.00151416213635802,"Not Sig","Not Sig","Imputed",0.996543323580653,"Not Sig"
"dimethylurate13",-0.0138752902766917,0.009430370582494,0.141198937974648,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"anhydroglucitol15AG",0.00692857414912047,0.00886652151056492,0.434549085574477,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"dimethylurate17",-0.0145997476398621,0.00752734271148088,0.0524329467367068,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"heptadecenoate171n7",0.00180463102721956,0.00967349972388665,0.852010258341399,1,0.996519583575583,"1",0,0.00151416213635802,"Not Sig","Not Sig","Imputed",0.996543323580653,"Not Sig"
"nonadecenoate191n9",0.00265794014757202,0.00997830237155878,0.789952743565689,1,0.984427100700035,"1",0,0.00681643893259039,"Not Sig","Not Sig","Imputed",0.985141471889315,"Not Sig"
"undecenoate111n1",-0.00359483595151896,0.00784283524811344,0.64669437497378,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"DiHOME1213",0.0101381154043031,0.00862733567769749,0.239948532288846,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"HETE",-0.00584190044265746,0.00771290831303109,0.448799098631644,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"HODE9HODE",-0.00167400690092658,0.0101016293894466,0.868380042229628,1,0.996519583575583,"1",0,0.00151416213635802,"Not Sig","Not Sig","Imputed",0.996543323580653,"Not Sig"
"ahydroxyDHEA3sulfate",0.00543572433837375,0.00753864591398279,0.470880082431227,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"hydroxypalmitate16",0.000623400690511119,0.00742207718411006,0.933062194229926,1,0.996519583575583,"1",0,0.00151416213635802,"Not Sig","Not Sig","Imputed",0.996543323580653,"Not Sig"
"methylstearate",0.00610686079243602,0.00863364943306502,0.47935987651397,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"arachidonoylGPA204",-0.00385502723117231,0.00892941545790965,0.665943302357243,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"arachidonoylGPC204n6",-0.000748670238531523,0.00811369463670346,0.926481600590688,1,0.996519583575583,"1",0,0.00151416213635802,"Not Sig","Not Sig","Imputed",0.996543323580653,"Not Sig"
"arachidonoylGPE204n6",0.01504267662191,0.00902912563698471,0.0957100325693287,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"arachidonoylGPI204",-0.00616622643056997,0.00750444509790456,0.411261018521629,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"arachidonylglycerol204",-0.00744210553115529,0.0106367145517042,0.484138380511603,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"dihomolinolenylglycerol203",-0.00631970826523456,0.00851663789030507,0.458061515421277,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"docosahexaenoylglycerol226",-0.00729650877707964,0.0089830045982863,0.416644152401814,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"lignoceroylGPC240",0.00397182186964596,0.00867767243491511,0.647163748815466,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"linolenoylglycerol183",0.00537468848439046,0.00731830217219845,0.46269438269154,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"linolenoylGPC183",-0.00455622178868729,0.0111788732863314,0.683586213537149,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"linoleoyl2arachidonoylGPC182204n6",0.0161601475205997,0.00808258325783671,0.0455673584644406,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"linoleoyl2linolenoylGPC182183",0.0018312071133491,0.0115445423760019,0.873967465113519,1,0.996519583575583,"1",0,0.00151416213635802,"Not Sig","Not Sig","Imputed",0.996543323580653,"Not Sig"
"linoleoylglycerol1821",0.00500114414127813,0.00870469534933284,0.565606444962502,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"linoleoylGPA182",-0.00690648183057873,0.00929738584317667,0.457577791052348,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"linoleoylGPC182",0.00633988388910812,0.0085797537912162,0.459946218854503,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"linoleoylGPE182",0.0180428110797361,0.0106003959191357,0.0887387954501839,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"linoleoylGPG182",-0.000725799942482138,0.00814999975835388,0.929038032898139,1,0.996519583575583,"1",0,0.00151416213635802,"Not Sig","Not Sig","Imputed",0.996543323580653,"Not Sig"
"linoleoylGPI182",-0.00628372767399903,0.0072035972376019,0.383042481172925,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"N1methyladenosine",0.00108100374283381,0.011361453860706,0.924198381911932,1,0.996519583575583,"1",0,0.00151416213635802,"Not Sig","Not Sig","Imputed",0.996543323580653,"Not Sig"
"methylhistamine",-0.0037673350436114,0.00984852217684752,0.702069797901114,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"methylhistidine1",0.00341565198585034,0.0110450518157971,0.757133447970893,1,0.983456812133928,"1",0,0.0072447070855172,"Not Sig","Not Sig","Imputed",0.981248772665109,"Not Sig"
"methylimidazoleacetate",0.00801417505624163,0.0102938233508795,0.436249485691777,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"methylnicotinamide",-0.000707828854092267,0.0083236105043796,0.932230639496188,1,0.996519583575583,"1",0,0.00151416213635802,"Not Sig","Not Sig","Imputed",0.996543323580653,"Not Sig"
"methylxanthine1",-0.0174624557319868,0.00963377501848742,0.0698891298912512,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"myristoylglycerol140",-0.00249953099909537,0.00865753851144328,0.772802155456567,1,0.983456812133928,"1",0,0.0072447070855172,"Not Sig","Not Sig","Imputed",0.981248772665109,"Not Sig"
"oleoylglycerol181",0.00410344166243199,0.00822717401903012,0.617943644325152,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"oleoylGPC181",-0.000622959364561135,0.00915619310917383,0.945756228239604,1,0.996519583575583,"1",0,0.00151416213635802,"Not Sig","Not Sig","Imputed",0.996543323580653,"Not Sig"
"oleoylGPE181",0.0132175419995453,0.0137504774499187,0.336430299987703,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
"oleoylGPI181",-0.00450875748129429,0.0079669998423458,0.571441941930099,1,0.973637953852796,"1",0,0.0116025050044054,"Not Sig","Not Sig","Imputed",0.965896084012695,"Not Sig"
