"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","strata","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"enyloleoylGPEP181",-0.237310789169673,0.173826692940175,0.172185520325721,1,0.68869154472433,"1",0,0.161975248947463,"Not Sig","Not Sig","Complete-cases",0.757742245873036,"Not Sig"
"enylpalmitoyl2arachidonoylGPCP160204",-0.289845861432333,0.157161447815542,0.0651459162968604,1,0.573003935420796,"1",0,0.241842395265304,"Not Sig","Not Sig","Complete-cases",0.611944602466746,"Not Sig"
"enylpalmitoyl2arachidonoylGPEP160204",-0.224261246905354,0.148581427142051,0.131209587158165,1,0.644259534947753,"1",0,0.190939145234099,"Not Sig","Not Sig","Complete-cases",0.703125601956371,"Not Sig"
"enylpalmitoyl2linoleoylGPCP160182",-0.385416469732185,0.148106276780793,0.00926017102345853,1,0.292881111559054,"1",0,0.533308635864277,"Not Sig","Not Sig","Complete-cases",0.308410217585359,"Not Sig"
"enylpalmitoyl2linoleoylGPEP160182",-0.111808741797903,0.148559023091971,0.451677284862332,1,0.873319821562926,"1",0,0.0588266826358595,"Not Sig","Not Sig","Complete-cases",0.890397713742639,"Not Sig"
"enylpalmitoyl2oleoylGPCP160181",-0.163672742698783,0.158582639496967,0.302026453962177,1,0.778513248184829,"1",0,0.108733992518326,"Not Sig","Not Sig","Complete-cases",0.820487133874788,"Not Sig"
"enylpalmitoyl2oleoylGPEP160181",-0.0487573600680977,0.136212524978915,0.720380255172558,1,0.926497638626795,"1",0,0.0331556832340846,"Not Sig","Not Sig","Complete-cases",0.929945420313666,"Not Sig"
"enylpalmitoyl2palmitoleoylGPCP160161",-0.1530782496678,0.18144558403196,0.398859831570661,1,0.853553083007032,"1",0,0.068769464660365,"Not Sig","Not Sig","Complete-cases",0.888684949180831,"Not Sig"
"enylpalmitoyl2palmitoylGPCP160160",-0.145703945271018,0.160534525792132,0.364080344149339,1,0.82862842883609,"1",0,0.0816401708749867,"Not Sig","Not Sig","Complete-cases",0.864859999670734,"Not Sig"
"enylpalmitoylGPCP160",-0.403509890859742,0.206163257938592,0.0503198759829906,1,0.49546790443864,"1",0,0.304984473119477,"Not Sig","Not Sig","Complete-cases",0.53114694225166,"Not Sig"
"enylpalmitoylGPEP160",-0.262954583729774,0.178064010405811,0.13974483794751,1,0.644259534947753,"1",0,0.190939145234099,"Not Sig","Not Sig","Complete-cases",0.703125601956371,"Not Sig"
"enylstearoyl2arachidonoylGPEP180204",-0.111498802960783,0.151870794995187,0.462845851689684,1,0.875760213965309,"1",0,0.0576147888171162,"Not Sig","Not Sig","Complete-cases",0.890397713742639,"Not Sig"
"enylstearoyl2linoleoylGPEP180182",0.0154614784146486,0.144232191308691,0.914631484198975,1,0.987902793776792,"1",0,0.00528578638730951,"Not Sig","Not Sig","Complete-cases",0.983774578318777,"Not Sig"
"enylstearoyl2oleoylGPEP180181",0.122558235251407,0.151440247368842,0.418351556318279,1,0.863702011500163,"1",0,0.0636360689603152,"Not Sig","Not Sig","Complete-cases",0.890397713742639,"Not Sig"
"enylstearoylGPEP180",-0.209418174997839,0.177390960228176,0.237783156663914,1,0.766821616469133,"1",0,0.115305652991497,"Not Sig","Not Sig","Complete-cases",0.820487133874788,"Not Sig"
"dilinoleoylGPC182182",-0.241451344561309,0.143048950942573,0.0914317416154053,1,0.644259534947753,"1",0,0.190939145234099,"Not Sig","Not Sig","Complete-cases",0.695534320145762,"Not Sig"
"dipalmitoylGPC160160",-0.108048457876211,0.173304880610498,0.532983049532359,1,0.876881504316499,"1",0,0.057059090212554,"Not Sig","Not Sig","Complete-cases",0.890397713742639,"Not Sig"
"dimethylurate13",0.0292501171138862,0.322501010469018,0.927732755814456,1,0.990605673890996,"1",0,0.00409918883842683,"Not Sig","Not Sig","Complete-cases",0.987586189078275,"Not Sig"
"anhydroglucitol15AG",-0.10564945609505,0.201365476215135,0.599815959207344,1,0.897228864105495,"1",0,0.0470967634884191,"Not Sig","Not Sig","Complete-cases",0.912577137936888,"Not Sig"
"dimethylurate17",-0.119552010558098,0.183918610355541,0.515674963798434,1,0.876881504316499,"1",0,0.057059090212554,"Not Sig","Not Sig","Complete-cases",0.890397713742639,"Not Sig"
"heptadecenoate171n7",0.0104937230933946,0.174470528844376,0.952039268344628,1,0.990605673890996,"1",0,0.00409918883842683,"Not Sig","Not Sig","Complete-cases",0.987586189078275,"Not Sig"
