"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"enyloleoylGPEP181",-0.0919392175691264,0.081,0.256156616589864,1,0.78286867158899,0,0.106311085946985,"Not Sig","Not Sig","Complete-cases",0.77522618925372,"Not Sig"
"enylpalmitoyl2arachidonoylGPCP160204",0.0117554736018092,0.088,0.894274386465345,1,0.986319750810394,0,0.00598227014913973,"Not Sig","Not Sig","Complete-cases",0.979859074645984,"Not Sig"
"enylpalmitoyl2arachidonoylGPEP160204",0.0360317324546874,0.088,0.681483355603176,1,0.941096062499625,0,0.0263660436458833,"Not Sig","Not Sig","Complete-cases",0.91293053297784,"Not Sig"
"enylpalmitoyl2linoleoylGPCP160182",-0.0872208268352133,0.088,0.324159549522289,1,0.811753300892864,0,0.0905759366943952,"Not Sig","Not Sig","Complete-cases",0.802860279630787,"Not Sig"
"enylpalmitoyl2linoleoylGPEP160182",-0.0673911378959341,0.091,0.461143865867967,1,0.844573412515497,0,0.0733625944474053,"Not Sig","Not Sig","Complete-cases",0.833871792503234,"Not Sig"
"enylpalmitoyl2oleoylGPCP160181",0.0346325388579648,0.102,0.733252418109465,1,0.94824946556845,0,0.0230773933926259,"Not Sig","Not Sig","Complete-cases",0.935248658036793,"Not Sig"
"enylpalmitoyl2oleoylGPEP160181",-0.0338578229991455,0.088,0.700837745898145,1,0.94680839176364,0,0.0237379014817685,"Not Sig","Not Sig","Complete-cases",0.923013696260697,"Not Sig"
"enylpalmitoyl2palmitoleoylGPCP160161",0.104496991297761,0.1,0.295440790117041,1,0.792839612881254,0,0.100814659196396,"Not Sig","Not Sig","Complete-cases",0.783347157198296,"Not Sig"
"enylpalmitoyl2palmitoylGPCP160160",0.0752937034116416,0.099,0.446853227688734,1,0.844573412515497,0,0.0733625944474053,"Not Sig","Not Sig","Complete-cases",0.833871792503234,"Not Sig"
"enylpalmitoylGPCP160",-0.0601798402822694,0.093,0.517608447177685,1,0.859621547697818,0,0.065692706804405,"Not Sig","Not Sig","Complete-cases",0.837253270284992,"Not Sig"
"enylpalmitoylGPEP160",-0.0422183328819231,0.083,0.609852078554693,1,0.910556284957095,0,0.0406932036408689,"Not Sig","Not Sig","Complete-cases",0.886361095355793,"Not Sig"
"enylstearoyl2arachidonoylGPEP180204",0.0716581965084812,0.097,0.459322338444682,1,0.844573412515497,0,0.0733625944474053,"Not Sig","Not Sig","Complete-cases",0.833871792503234,"Not Sig"
"enylstearoyl2linoleoylGPEP180182",-0.0234188342927658,0.094,0.804171336033106,1,0.958974229731333,0,0.0181930633568193,"Not Sig","Not Sig","Complete-cases",0.952890750393115,"Not Sig"
"enylstearoyl2oleoylGPEP180181",-0.0165455732030152,0.104,0.873736766350559,1,0.980779378853806,0,0.00842867388617144,"Not Sig","Not Sig","Complete-cases",0.974531799374865,"Not Sig"
"enylstearoylGPEP180",-0.0484730818864724,0.091,0.593602702603981,1,0.898404617354799,0,0.0465280246823099,"Not Sig","Not Sig","Complete-cases",0.875546230174122,"Not Sig"
