"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","strata","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"enyloleoylGPEP181",-0.144654019377045,0.174910550184478,0.408227358307526,1,0.870187795082507,"1",0,0.0603870122470373,"Not Sig","Not Sig","Imputed",0.91736696622647,"Not Sig"
"enylpalmitoyl2arachidonoylGPCP160204",-0.232316848139361,0.161653837047285,0.150682342470536,1,0.618554456077679,"1",0,0.208622060088268,"Not Sig","Not Sig","Imputed",0.708477769669108,"Not Sig"
"enylpalmitoyl2arachidonoylGPEP160204",-0.179749597260582,0.142497941452006,0.207157960633578,1,0.701660687457748,"1",0,0.153872855377196,"Not Sig","Not Sig","Imputed",0.777095972582678,"Not Sig"
"enylpalmitoyl2linoleoylGPCP160182",-0.388027182896604,0.158058429103091,0.0140900112395575,1,0.301593335818148,"1",0,0.520578259119839,"Not Sig","Not Sig","Imputed",0.368788328826394,"Not Sig"
"enylpalmitoyl2linoleoylGPEP160182",-0.100135513965503,0.157484857509671,0.52487929678367,1,0.92169487928237,"1",0,0.0354128253402887,"Not Sig","Not Sig","Imputed",0.94739262228988,"Not Sig"
"enylpalmitoyl2oleoylGPCP160181",-0.195853183212563,0.177321795069021,0.269373221521192,1,0.756770394211098,"1",0,0.121035866408394,"Not Sig","Not Sig","Imputed",0.815779566597354,"Not Sig"
"enylpalmitoyl2oleoylGPEP160181",-0.0818811137105428,0.151277682818801,0.588325857975531,1,0.92169487928237,"1",0,0.0354128253402887,"Not Sig","Not Sig","Imputed",0.94739262228988,"Not Sig"
"enylpalmitoyl2palmitoleoylGPCP160161",-0.128206660101501,0.204334714114908,0.530374423874339,1,0.92169487928237,"1",0,0.0354128253402887,"Not Sig","Not Sig","Imputed",0.94739262228988,"Not Sig"
"enylpalmitoyl2palmitoylGPCP160160",-0.0867022309422121,0.171330709159265,0.612820215708502,1,0.92169487928237,"1",0,0.0354128253402887,"Not Sig","Not Sig","Imputed",0.94739262228988,"Not Sig"
"enylpalmitoylGPCP160",-0.28672136752396,0.218789144195722,0.190029534772294,1,0.67690269682653,"1",0,0.169473755640447,"Not Sig","Not Sig","Imputed",0.763253393880514,"Not Sig"
