"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"enyloleoylGPEP181",0.0147135996746713,0.104,0.887140416145014,1,0.987053507567286,0,0.00565930385382714,"Not Sig","Not Sig","Complete-cases",0.972354589908514,"Not Sig"
"enylpalmitoyl2arachidonoylGPCP160204",-0.0855552665029763,0.103,0.407585778438998,1,0.881331787848056,0,0.0548605654752539,"Not Sig","Not Sig","Complete-cases",0.904684198665343,"Not Sig"
"enylpalmitoyl2arachidonoylGPEP160204",-0.00677688573924337,0.101,0.946728901520331,1,0.998811516890429,0,0.000516458618321379,"Not Sig","Not Sig","Complete-cases",0.991424668086023,"Not Sig"
"enylpalmitoyl2linoleoylGPCP160182",-0.128615805411284,0.11,0.240859861369699,1,0.798818584167654,0,0.0975518400111773,"Not Sig","Not Sig","Complete-cases",0.794034984852206,"Not Sig"
"enylpalmitoyl2linoleoylGPEP160182",-0.0166267229602872,0.113,0.883236011568741,1,0.985649701378241,0,0.00627740533174851,"Not Sig","Not Sig","Complete-cases",0.971436262626328,"Not Sig"
"enylpalmitoyl2oleoylGPCP160181",-0.129723268627187,0.119,0.277223565495239,1,0.833525034716455,0,0.0790813517136781,"Not Sig","Not Sig","Complete-cases",0.837236459985079,"Not Sig"
"enylpalmitoyl2oleoylGPEP160181",-0.0568190848808993,0.118,0.629375864570793,1,0.957375469118684,0,0.0189177046615485,"Not Sig","Not Sig","Complete-cases",0.965345285931811,"Not Sig"
"enylpalmitoyl2palmitoleoylGPCP160161",-0.0280617851298989,0.124,0.820617917424118,1,0.985266316688686,0,0.00644636418711718,"Not Sig","Not Sig","Complete-cases",0.971436262626328,"Not Sig"
"enylpalmitoyl2palmitoylGPCP160160",-0.006427606077625,0.128,0.959803717695126,1,0.998811516890429,0,0.000516458618321379,"Not Sig","Not Sig","Complete-cases",0.997058177264003,"Not Sig"
"enylpalmitoylGPCP160",-0.0173121491411529,0.104,0.868050665274282,1,0.985649701378241,0,0.00627740533174851,"Not Sig","Not Sig","Complete-cases",0.971436262626328,"Not Sig"
"enylpalmitoylGPEP160",0.0157964677349761,0.107,0.883095395829351,1,0.985649701378241,0,0.00627740533174851,"Not Sig","Not Sig","Complete-cases",0.971436262626328,"Not Sig"
"enylstearoyl2arachidonoylGPEP180204",-0.0447934761582746,0.113,0.69084591911692,1,0.976732872132104,0,0.0102241957711935,"Not Sig","Not Sig","Complete-cases",0.971436262626328,"Not Sig"
"enylstearoyl2linoleoylGPEP180182",-0.0324243028704845,0.114,0.775922928412129,1,0.977929103438011,0,0.00969262895648428,"Not Sig","Not Sig","Complete-cases",0.971436262626328,"Not Sig"
"enylstearoyl2oleoylGPEP180181",-0.0247838926733831,0.137,0.856267623384206,1,0.985639684279643,0,0.00628181906286024,"Not Sig","Not Sig","Complete-cases",0.971436262626328,"Not Sig"
"enylstearoylGPEP180",0.000190320781437786,0.102,0.998506491906528,1,0.999779733758324,0,0.0000956709502367887,"Not Sig","Not Sig","Complete-cases",0.999816058833732,"Not Sig"
"dilinoleoylGPC182182",-0.0725467098588433,0.107,0.499089932571888,1,0.910646795401209,0,0.0406500363665662,"Not Sig","Not Sig","Complete-cases",0.927900136779831,"Not Sig"
"dipalmitoylGPC160160",0.0268184637153869,0.113,0.812745779201677,1,0.985266316688686,0,0.00644636418711718,"Not Sig","Not Sig","Complete-cases",0.971436262626328,"Not Sig"
"dimethylurate13",-0.192766282975366,0.15,0.199058008399319,1,0.797169602770606,0,0.098449269932264,"Not Sig","Not Sig","Complete-cases",0.791860242494033,"Not Sig"
"anhydroglucitol15AG",-0.200304775135466,0.094,0.0338650343337666,1,0.595744951087917,0,0.224939629592415,"Not Sig","Not Sig","Complete-cases",0.579941589591002,"Not Sig"
"dimethylurate17",-0.0407215224139828,0.111,0.71421347717353,1,0.977210739308477,0,0.0100117688815905,"Not Sig","Not Sig","Complete-cases",0.971436262626328,"Not Sig"
"heptadecenoate171n7",0.0910231179771537,0.108,0.397458670430247,1,0.881331787848056,0,0.0548605654752539,"Not Sig","Not Sig","Complete-cases",0.904684198665343,"Not Sig"
"nonadecenoate191n9",0.124938421880648,0.107,0.24120833031979,1,0.798818584167654,0,0.0975518400111773,"Not Sig","Not Sig","Complete-cases",0.794034984852206,"Not Sig"
"undecenoate111n1",0.157381185591206,0.109,0.149539677330648,1,0.756972052648534,0,0.120920154323677,"Not Sig","Not Sig","Complete-cases",0.739749236478545,"Not Sig"
"DiHOME1213",0.135421758987028,0.172,0.431760560103956,1,0.888914773526572,0,0.0511398758817898,"Not Sig","Not Sig","Complete-cases",0.914880888808699,"Not Sig"
"HETE",0.221624136162223,0.127,0.0815469744143693,1,0.649656069610313,0,0.187316499666639,"Not Sig","Not Sig","Complete-cases",0.624437470791256,"Not Sig"
"HODE9HODE",-0.0183344230287096,0.099,0.853724888478717,1,0.985266316688686,0,0.00644636418711718,"Not Sig","Not Sig","Complete-cases",0.971436262626328,"Not Sig"
"ahydroxyDHEA3sulfate",-0.138082919859829,0.105,0.189927359047134,1,0.794161375736619,0,0.100091238793615,"Not Sig","Not Sig","Complete-cases",0.787524526412784,"Not Sig"
