"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"dilinoleoylGPE182182",0.102307428007325,0.19,0.590864838397736,1,0.877372498748158,0,0.0568159826836439,"Not Sig","Not Sig","Dichotomized",0.837719814953319,"Not Sig"
"trimethylurate",-0.261852707494428,0.186,0.160171607878426,1,0.693989361668252,0,0.158647186899881,"Not Sig","Not Sig","Dichotomized",0.631264572226736,"Not Sig"
"alphahydroxypregnanoloneglucuronide",0.233902123502887,0.209,0.263668383150733,1,0.693989361668252,0,0.158647186899881,"Not Sig","Not Sig","Dichotomized",0.685152232384411,"Not Sig"
"alphahydroxypregnenolone3sulfate",0.163906603821605,0.216,0.44859392832081,1,0.832015920510938,0,0.0798683634642061,"Not Sig","Not Sig","Dichotomized",0.817810551587947,"Not Sig"
"methylurate",-0.223084804663097,0.201,0.26587997077604,1,0.693989361668252,0,0.158647186899881,"Not Sig","Not Sig","Dichotomized",0.685152232384411,"Not Sig"
"stearoylGPG180",-0.0597784777277842,0.192,0.755723301503233,1,0.948044808427118,0,0.0231711356653593,"Not Sig","Not Sig","Dichotomized",0.920608385467575,"Not Sig"
"hydroxypregnenolonemonosulfate1",-0.235170873630773,0.207,0.255453198002306,1,0.693989361668252,0,0.158647186899881,"Not Sig","Not Sig","Dichotomized",0.685152232384411,"Not Sig"
"acetamidophenolsulfate",-0.146093440104712,0.206,0.478925288825945,1,0.832015920510938,0,0.0798683634642061,"Not Sig","Not Sig","Dichotomized",0.817810551587947,"Not Sig"
"hydroxyphenylpropionate",-0.00661287549327429,0.216,0.975534667137493,1,0.992237782387795,0,0.00338423993828934,"Not Sig","Not Sig","Dichotomized",0.996236878953426,"Not Sig"
"hydroxyphenylpropionatesulfate",-0.0188762727885751,0.182,0.917520217172962,1,0.98702932453455,0,0.00566994429657125,"Not Sig","Not Sig","Dichotomized",0.97577546905696,"Not Sig"
"dimethylurate37",-0.32556839719306,0.207,0.115731426566728,1,0.632071637402897,0,0.199233697088427,"Not Sig","Not Sig","Dichotomized",0.631264572226736,"Not Sig"
"acetaminophensulfate",-0.000250577469428122,0.183,0.998909559431462,1,0.998909559431462,0,0.000473830710851013,"Not Sig","Not Sig","Dichotomized",0.998909559431462,"Not Sig"
"acetylphenolsulfate4",-0.158652999123477,0.188,0.39990994236909,1,0.832015920510938,0,0.0798683634642061,"Not Sig","Not Sig","Dichotomized",0.817810551587947,"Not Sig"
"hydroxyphenylacetate4",0.22791931557115,0.19,0.231465590096163,1,0.693989361668252,0,0.158647186899881,"Not Sig","Not Sig","Dichotomized",0.685152232384411,"Not Sig"
"vinylguaiacolsulfate",-0.398416229341669,0.216,0.0652024126259075,1,0.547818782052034,0,0.261363081973031,"Not Sig","Not Sig","Dichotomized",0.531871461621807,"Not Sig"
"alphaandrostan3alpha17alphadiolmonosulfate",-0.254158759522556,0.204,0.213798365152331,1,0.693989361668252,0,0.158647186899881,"Not Sig","Not Sig","Dichotomized",0.685152232384411,"Not Sig"
"alphaandrostan3alpha17betadiol17glucuronide",-0.231025967861409,0.226,0.30687073848209,1,0.751304221800979,0,0.124184170724042,"Not Sig","Not Sig","Dichotomized",0.761494054751853,"Not Sig"
"alphaandrostan3alpha17betadioldisulfate",0.0758433361456293,0.197,0.700468908839597,1,0.912083999946526,0,0.0399651627315315,"Not Sig","Not Sig","Dichotomized",0.869100312819501,"Not Sig"
"alphaandrostan3alpha17betadiolmonosulfate2",-0.110318500941994,0.241,0.647395787127624,1,0.886784024726232,0,0.052182139233392,"Not Sig","Not Sig","Dichotomized",0.85015576013921,"Not Sig"
"alphapregnan3alphaorbeta20betadioldisulfate",-0.136704661495358,0.218,0.529838878945368,1,0.845360907980249,0,0.0729578391199667,"Not Sig","Not Sig","Dichotomized",0.825304707088963,"Not Sig"
