"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","strata","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"dilinoleoylGPE182182",0.0748897677504966,0.320581347812665,0.815290768998026,1,0.966693779952349,"1",0,0.0147110758015078,"Not Sig","Not Sig","Dichotomized",0.980202549827484,"Not Sig"
"trimethylurate",-0.564891425436461,0.371450568536595,0.12831719745594,1,0.786776049762963,"1",0,0.104148868902801,"Not Sig","Not Sig","Dichotomized",0.916683608381394,"Not Sig"
"alphahydroxypregnanoloneglucuronide",-0.399902603977469,0.356876615255737,0.262474072990272,1,0.828613831275555,"1",0,0.0816478217056979,"Not Sig","Not Sig","Dichotomized",0.916683608381394,"Not Sig"
"alphahydroxypregnenolone3sulfate",0.403368842990107,0.362838506316207,0.266265647844098,1,0.828613831275555,"1",0,0.0816478217056979,"Not Sig","Not Sig","Dichotomized",0.916683608381394,"Not Sig"
"methylurate",-0.154963678529235,0.330535407906088,0.639193829230402,1,0.918424934096094,"1",0,0.0369563342303461,"Not Sig","Not Sig","Dichotomized",0.916683608381394,"Not Sig"
"stearoylGPG180",0.06968393314195,0.38436979503148,0.856136824447571,1,0.973534359766315,"1",0,0.011648715953323,"Not Sig","Not Sig","Dichotomized",0.980202549827484,"Not Sig"
"hydroxypregnenolonemonosulfate1",-0.185969591006567,0.344959829565142,0.589814361566937,1,0.910365645027229,"1",0,0.0407841398512694,"Not Sig","Not Sig","Dichotomized",0.916683608381394,"Not Sig"
"acetamidophenolsulfate",-0.674033759191803,0.379059355115854,0.0753751650249095,1,0.785459372594689,"1",0,0.104876273659338,"Not Sig","Not Sig","Dichotomized",0.916683608381394,"Not Sig"
"hydroxyphenylpropionate",-0.195223348721047,0.355596209565273,0.583003462669282,1,0.909741667022396,"1",0,0.0410819137387214,"Not Sig","Not Sig","Dichotomized",0.916683608381394,"Not Sig"
"hydroxyphenylpropionatesulfate",0.0927229772607021,0.309332875641972,0.764366752410506,1,0.935690334847343,"1",0,0.0288678565167221,"Not Sig","Not Sig","Dichotomized",0.966274951160451,"Not Sig"
"dimethylurate37",-0.135237188556015,0.333293133219479,0.684918583957262,1,0.918424934096094,"1",0,0.0369563342303461,"Not Sig","Not Sig","Dichotomized",0.916683608381394,"Not Sig"
"acetaminophensulfate",0.16201678724458,0.389585137991754,0.677505103121294,1,0.918424934096094,"1",0,0.0369563342303461,"Not Sig","Not Sig","Dichotomized",0.916683608381394,"Not Sig"
"acetylphenolsulfate4",0.0261149941509394,0.341178235155127,0.93898666570924,1,0.994658430393029,"1",0,0.00232603208156659,"Not Sig","Not Sig","Dichotomized",0.986505063417213,"Not Sig"
"hydroxyphenylacetate4",-0.389981433310015,0.338489489550665,0.249270645788693,1,0.828613831275555,"1",0,0.0816478217056979,"Not Sig","Not Sig","Dichotomized",0.916683608381394,"Not Sig"
"vinylguaiacolsulfate",-0.536614114790786,0.422037772295924,0.203556650823867,1,0.828613831275555,"1",0,0.0816478217056979,"Not Sig","Not Sig","Dichotomized",0.916683608381394,"Not Sig"
"alphaandrostan3alpha17alphadiolmonosulfate",-0.20953728070056,0.320929788585595,0.513816285670668,1,0.895163949987222,"1",0,0.0480974160204497,"Not Sig","Not Sig","Dichotomized",0.916683608381394,"Not Sig"
"alphaandrostan3alpha17betadiol17glucuronide",0.0950460863906503,0.455669931783014,0.834771923725974,1,0.967311849426023,"1",0,0.0144334921513779,"Not Sig","Not Sig","Dichotomized",0.980202549827484,"Not Sig"
"alphaandrostan3alpha17betadioldisulfate",0.0371804246763319,0.437429853301861,0.932263413269368,1,0.994658430393029,"1",0,0.00232603208156659,"Not Sig","Not Sig","Dichotomized",0.986505063417213,"Not Sig"
