"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","strata","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"enyloleoylGPEP181",0.00701023947759675,0.171403395493785,0.967376358828316,1,0.997316595178652,"1",0,0.00116695431321732,"Not Sig","Not Sig","Imputed",0.991862252391815,"Not Sig"
"enylpalmitoyl2arachidonoylGPCP160204",0.203264393298912,0.16492473793993,0.21777446843905,1,0.646319626272971,"1",0,0.189552656002693,"Not Sig","Not Sig","Imputed",0.613030331861467,"Not Sig"
"enylpalmitoyl2arachidonoylGPEP160204",0.318969640702351,0.163720255741493,0.0513838496093046,1,0.446408971939753,"1",0,0.350267085520364,"Not Sig","Not Sig","Imputed",0.41926962970988,"Not Sig"
"enylpalmitoyl2linoleoylGPCP160182",0.210592653662554,0.18639031778315,0.258540445943674,1,0.686324066247407,"1",0,0.16347077212026,"Not Sig","Not Sig","Imputed",0.663483313084367,"Not Sig"
"enylpalmitoyl2linoleoylGPEP160182",0.349058275141059,0.184006083008513,0.0578288449561464,1,0.449637923763119,"1",0,0.347137066241334,"Not Sig","Not Sig","Imputed",0.428397365794899,"Not Sig"
"enylpalmitoyl2oleoylGPCP160181",0.0603302568328776,0.182214026344429,0.740572298073388,1,0.931711365826229,"1",0,0.0307186065766406,"Not Sig","Not Sig","Imputed",0.914110803886594,"Not Sig"
"enylpalmitoyl2oleoylGPEP160181",0.236147559465509,0.207420380706994,0.254912853338946,1,0.68490689752239,"1",0,0.164368460099302,"Not Sig","Not Sig","Imputed",0.662507047596398,"Not Sig"
"enylpalmitoyl2palmitoleoylGPCP160161",0.0439223534141643,0.175479714014181,0.802356321540313,1,0.948138041095894,"1",0,0.0231284283561719,"Not Sig","Not Sig","Imputed",0.932469650088119,"Not Sig"
"enylpalmitoyl2palmitoylGPCP160160",0.147285472007716,0.185077421100405,0.426145589563627,1,0.789906979417939,"1",0,0.102424048841308,"Not Sig","Not Sig","Imputed",0.770760058086465,"Not Sig"
"enylpalmitoylGPCP160",0.13481998770377,0.196936085046073,0.493604239212135,1,0.810184246615793,"1",0,0.0914162055789262,"Not Sig","Not Sig","Imputed",0.785881773070894,"Not Sig"
"enylpalmitoylGPEP160",0.100301328386176,0.194274971638417,0.605655102769003,1,0.892596618671039,"1",0,0.0493447626840294,"Not Sig","Not Sig","Imputed",0.869693507122231,"Not Sig"
"enylstearoyl2arachidonoylGPEP180204",0.244909663107432,0.160355663541515,0.126688819311606,1,0.546612851453478,"1",0,0.26232016179499,"Not Sig","Not Sig","Imputed",0.501247565363871,"Not Sig"
"enylstearoyl2linoleoylGPEP180182",0.324729909696199,0.198784169065162,0.102346999533895,1,0.532925701472468,"1",0,0.273333334481344,"Not Sig","Not Sig","Imputed",0.4789317739448,"Not Sig"
"enylstearoyl2oleoylGPEP180181",0.202030103031006,0.204863828496117,0.324050796693007,1,0.738797725044976,"1",0,0.131474450538151,"Not Sig","Not Sig","Imputed",0.718422827860965,"Not Sig"
"enylstearoylGPEP180",0.0322668687133684,0.16715418569201,0.846930337113696,1,0.966010404191711,"1",0,0.0150181960910117,"Not Sig","Not Sig","Imputed",0.951122118480935,"Not Sig"
"dilinoleoylGPC182182",0.313371332164526,0.191977566705861,0.10260933881608,1,0.532925701472468,"1",0,0.273333334481344,"Not Sig","Not Sig","Imputed",0.4789317739448,"Not Sig"
"dipalmitoylGPC160160",0.236116691851223,0.18129775332469,0.192790051856064,1,0.618993773637863,"1",0,0.208313719458587,"Not Sig","Not Sig","Imputed",0.575667491289837,"Not Sig"
"dimethylurate13",-0.499234273091952,0.176960992360765,0.00478511735662774,1,0.180107934406423,"1",0,0.744467154515148,"Not Sig","Not Sig","Imputed",0.180732531705614,"Not Sig"
"anhydroglucitol15AG",-0.0946311738992656,0.191187100241762,0.620623900574132,1,0.898515220845541,"1",0,0.0464745615452814,"Not Sig","Not Sig","Imputed",0.875507766590563,"Not Sig"
"dimethylurate17",-0.391379641157052,0.195417166763848,0.045199782167032,1,0.434412497675679,"1",0,0.362097688959015,"Not Sig","Not Sig","Imputed",0.414642000403422,"Not Sig"
"heptadecenoate171n7",0.17663531659884,0.190852152607806,0.354701390462542,1,0.753091263023423,"1",0,0.123152390830108,"Not Sig","Not Sig","Imputed",0.733239838130753,"Not Sig"
"nonadecenoate191n9",0.183972843810609,0.203875203809812,0.366855204683501,1,0.754587730464766,"1",0,0.12229026067063,"Not Sig","Not Sig","Imputed",0.733239838130753,"Not Sig"
"undecenoate111n1",0.272873074874865,0.158759603434437,0.0856541589996179,1,0.515568204916484,"1",0,0.287713873427045,"Not Sig","Not Sig","Imputed",0.47297597247412,"Not Sig"
"DiHOME1213",0.346565959511203,0.183812233809432,0.0593711760862544,1,0.449637923763119,"1",0,0.347137066241334,"Not Sig","Not Sig","Imputed",0.428397365794899,"Not Sig"
"HETE",-0.124653566785282,0.189047519288623,0.509653773501252,1,0.825547283563289,"1",0,0.0832580472921206,"Not Sig","Not Sig","Imputed",0.802139806077093,"Not Sig"
"HODE9HODE",-0.296479025812569,0.16712676619122,0.0760669681703088,1,0.47808476704415,"1",0,0.320495093773489,"Not Sig","Not Sig","Imputed",0.448933554350242,"Not Sig"
