"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"enyloleoylGPEP181",-0.370961152511309,0.192,0.0529512976225779,1,0.655984787296364,0,0.183106232072284,"Not Sig","Not Sig","Complete-cases",0.70911481212953,"Not Sig"
"enylpalmitoyl2arachidonoylGPCP160204",-0.21720792436707,0.23,0.345952799555616,1,0.896286936024492,0,0.0475529336604464,"Not Sig","Not Sig","Complete-cases",0.887806581992123,"Not Sig"
"enylpalmitoyl2arachidonoylGPEP160204",-0.218790755304044,0.209,0.294987745358356,1,0.883765066122545,0,0.0536631694291464,"Not Sig","Not Sig","Complete-cases",0.87676656208438,"Not Sig"
"enylpalmitoyl2linoleoylGPCP160182",-0.0506775410574801,0.204,0.803534935577338,1,0.957366707768642,0,0.0189216790932224,"Not Sig","Not Sig","Complete-cases",0.955240922199583,"Not Sig"
"enylpalmitoyl2linoleoylGPEP160182",-0.0775144165806059,0.19,0.68259231674907,1,0.939521406678103,0,0.0270933201975555,"Not Sig","Not Sig","Complete-cases",0.932777808892295,"Not Sig"
"enylpalmitoyl2oleoylGPCP160181",-0.11525711721135,0.218,0.596854934010511,1,0.939521406678103,0,0.0270933201975555,"Not Sig","Not Sig","Complete-cases",0.932777808892295,"Not Sig"
"enylpalmitoyl2oleoylGPEP160181",-0.208269023920102,0.18,0.246682010737402,1,0.8827540993007,0,0.0541602569995976,"Not Sig","Not Sig","Complete-cases",0.87676656208438,"Not Sig"
"enylpalmitoyl2palmitoleoylGPCP160161",-0.198547585936145,0.233,0.393430020918111,1,0.917887948340617,0,0.0372103322928138,"Not Sig","Not Sig","Complete-cases",0.904043332143032,"Not Sig"
"enylpalmitoyl2palmitoylGPCP160160",-0.0291361843279804,0.237,0.902176735929166,1,0.978892138260554,0,0.00926515941132069,"Not Sig","Not Sig","Complete-cases",0.975825921282372,"Not Sig"
"enylpalmitoylGPCP160",-0.293932740775677,0.214,0.169704621549913,1,0.802970814596695,0,0.0953002396403149,"Not Sig","Not Sig","Complete-cases",0.840629869537942,"Not Sig"
"enylpalmitoylGPEP160",-0.432208385010504,0.202,0.0320488133641976,1,0.589203317538196,0,0.229734816506128,"Not Sig","Not Sig","Complete-cases",0.641287022922638,"Not Sig"
"enylstearoyl2arachidonoylGPEP180204",-0.241648062850862,0.22,0.271484254565666,1,0.883765066122545,0,0.0536631694291464,"Not Sig","Not Sig","Complete-cases",0.87676656208438,"Not Sig"
"enylstearoyl2linoleoylGPEP180182",-0.061632170124092,0.184,0.738227782849525,1,0.957366707768642,0,0.0189216790932224,"Not Sig","Not Sig","Complete-cases",0.952984956042114,"Not Sig"
"enylstearoyl2oleoylGPEP180181",-0.0199533456941121,0.18,0.911687128334235,1,0.978892138260554,0,0.00926515941132069,"Not Sig","Not Sig","Complete-cases",0.975825921282372,"Not Sig"
"enylstearoylGPEP180",-0.388096916937241,0.215,0.0706775626434389,1,0.732184196215402,0,0.135379649355766,"Not Sig","Not Sig","Complete-cases",0.820882330445996,"Not Sig"
"dilinoleoylGPC182182",0.284842707368343,0.207,0.168264082137981,1,0.802970814596695,0,0.0953002396403149,"Not Sig","Not Sig","Complete-cases",0.840629869537942,"Not Sig"
"dipalmitoylGPC160160",-0.10161156897796,0.224,0.649967088750875,1,0.939521406678103,0,0.0270933201975555,"Not Sig","Not Sig","Complete-cases",0.932777808892295,"Not Sig"
"dimethylurate13",-0.399418495014858,0.314,0.202887411294253,1,0.844424920155247,0,0.0734389585403474,"Not Sig","Not Sig","Complete-cases",0.87676656208438,"Not Sig"
"anhydroglucitol15AG",0.182430690947066,0.17,0.283146260336736,1,0.883765066122545,0,0.0536631694291464,"Not Sig","Not Sig","Complete-cases",0.87676656208438,"Not Sig"
