"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","strata","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"enyloleoylGPEP181",-0.449508566910865,0.38441021047076,0.24226423072918,1,0.932778733608252,"1",0,0.0302213639378372,"Not Sig","Not Sig","Complete-cases",0.964199026989174,"Not Sig"
"enylpalmitoyl2arachidonoylGPCP160204",0.121044801421221,0.399119104195109,0.761676563891769,1,0.987932732915545,"1",0,0.00527262496513751,"Not Sig","Not Sig","Complete-cases",0.991006344758147,"Not Sig"
"enylpalmitoyl2arachidonoylGPEP160204",-0.208121335631779,0.437619045248695,0.634376117816883,1,0.961727031901143,"1",0,0.016948176778572,"Not Sig","Not Sig","Complete-cases",0.967227930263734,"Not Sig"
"enylpalmitoyl2linoleoylGPCP160182",0.370097677606601,0.394532568303091,0.34821037687976,1,0.955460419763553,"1",0,0.0197872990164159,"Not Sig","Not Sig","Complete-cases",0.964199026989174,"Not Sig"
"enylpalmitoyl2linoleoylGPEP160182",-0.0297377928068585,0.506560524537465,0.953186829583117,1,0.989285959158532,"1",0,0.00467815477909864,"Not Sig","Not Sig","Complete-cases",0.991769495921844,"Not Sig"
"enylpalmitoyl2oleoylGPCP160181",0.124646639753465,0.480048176990725,0.795130340367419,1,0.987932732915545,"1",0,0.00527262496513751,"Not Sig","Not Sig","Complete-cases",0.991006344758147,"Not Sig"
"enylpalmitoyl2oleoylGPEP160181",-0.500064526452366,0.542130361367959,0.356316621652727,1,0.955460419763553,"1",0,0.0197872990164159,"Not Sig","Not Sig","Complete-cases",0.964199026989174,"Not Sig"
"enylpalmitoyl2palmitoleoylGPCP160161",-0.154974243059125,0.462880929121509,0.737773176857892,1,0.987932732915545,"1",0,0.00527262496513751,"Not Sig","Not Sig","Complete-cases",0.991006344758147,"Not Sig"
"enylpalmitoyl2palmitoylGPCP160160",0.064454504212892,0.412151081056464,0.875729067721897,1,0.987932732915545,"1",0,0.00527262496513751,"Not Sig","Not Sig","Complete-cases",0.991006344758147,"Not Sig"
"enylpalmitoylGPCP160",-0.195592295954502,0.412931190539103,0.63573666777898,1,0.962167111672228,"1",0,0.0167494920222914,"Not Sig","Not Sig","Complete-cases",0.967227930263734,"Not Sig"
"enylpalmitoylGPEP160",-0.657573853075688,0.430420595498476,0.126575319954282,1,0.900332924837592,"1",0,0.0455968675786611,"Not Sig","Not Sig","Complete-cases",0.964199026989174,"Not Sig"
"enylstearoyl2arachidonoylGPEP180204",0.156200835260622,0.46168106487269,0.7351140606406,1,0.987932732915545,"1",0,0.00527262496513751,"Not Sig","Not Sig","Complete-cases",0.991006344758147,"Not Sig"
"enylstearoyl2linoleoylGPEP180182",0.0266980771451747,0.494006313682242,0.956900108628059,1,0.989285959158532,"1",0,0.00467815477909864,"Not Sig","Not Sig","Complete-cases",0.991769495921844,"Not Sig"
"enylstearoyl2oleoylGPEP180181",0.043083600155507,0.532232378921575,0.935482629004995,1,0.988673592829662,"1",0,0.00494706556219462,"Not Sig","Not Sig","Complete-cases",0.991769495921844,"Not Sig"
"enylstearoylGPEP180",-0.0658455279175888,0.420595724774088,0.875597136087929,1,0.987932732915545,"1",0,0.00527262496513751,"Not Sig","Not Sig","Complete-cases",0.991006344758147,"Not Sig"
"dilinoleoylGPC182182",0.964670551271238,0.451172533330188,0.0325052904438646,1,0.900332924837592,"1",0,0.0455968675786611,"Not Sig","Not Sig","Complete-cases",0.964199026989174,"Not Sig"
"dipalmitoylGPC160160",-0.0253746077713435,0.434354425028111,0.953414776982986,1,0.989285959158532,"1",0,0.00467815477909864,"Not Sig","Not Sig","Complete-cases",0.991769495921844,"Not Sig"
"dimethylurate13",-0.172965941178734,0.610220526303743,0.776833244960474,1,0.987932732915545,"1",0,0.00527262496513751,"Not Sig","Not Sig","Complete-cases",0.991006344758147,"Not Sig"
"anhydroglucitol15AG",0.361421343010281,0.43044513870617,0.401107154729891,1,0.955460419763553,"1",0,0.0197872990164159,"Not Sig","Not Sig","Complete-cases",0.964199026989174,"Not Sig"
"dimethylurate17",-0.319326701420621,0.430223561405155,0.457945365642082,1,0.955460419763553,"1",0,0.0197872990164159,"Not Sig","Not Sig","Complete-cases",0.964199026989174,"Not Sig"
"heptadecenoate171n7",-0.270734460137726,0.475340842977404,0.568977121700896,1,0.955460419763553,"1",0,0.0197872990164159,"Not Sig","Not Sig","Complete-cases",0.964199026989174,"Not Sig"
"nonadecenoate191n9",-0.210522269791327,0.517279881185949,0.684023098152603,1,0.976424195679987,"1",0,0.0103614673538772,"Not Sig","Not Sig","Complete-cases",0.975072658771646,"Not Sig"
"undecenoate111n1",-0.142471397854942,0.419612130769126,0.734209619624318,1,0.987932732915545,"1",0,0.00527262496513751,"Not Sig","Not Sig","Complete-cases",0.991006344758147,"Not Sig"
"DiHOME1213",0.683284128326608,0.615948943161337,0.267292407532883,1,0.932778733608252,"1",0,0.0302213639378372,"Not Sig","Not Sig","Complete-cases",0.964199026989174,"Not Sig"
"HETE",-0.356237797101258,0.395218590733863,0.367392143091216,1,0.955460419763553,"1",0,0.0197872990164159,"Not Sig","Not Sig","Complete-cases",0.964199026989174,"Not Sig"
"HODE9HODE",-0.315366014376408,0.454082301345979,0.48736061591539,1,0.955460419763553,"1",0,0.0197872990164159,"Not Sig","Not Sig","Complete-cases",0.964199026989174,"Not Sig"
"ahydroxyDHEA3sulfate",0.998745352715777,0.392804319754283,0.0110030237623404,1,0.900332924837592,"1",0,0.0455968675786611,"Not Sig","Not Sig","Complete-cases",0.964199026989174,"Not Sig"
"hydroxypalmitate16",0.299365975794925,0.474523383174657,0.528120831124212,1,0.955460419763553,"1",0,0.0197872990164159,"Not Sig","Not Sig","Complete-cases",0.964199026989174,"Not Sig"
