"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","strata","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"dilinoleoylGPE182182",1.4416050800278,0.957638051428528,0.132227505378498,1,0.69853139127231,"1",0,0.155814072370112,"Not Sig","Not Sig","Dichotomized",0.590616190690626,"Not Sig"
"trimethylurate",-0.166815675897275,0.975262556869769,0.8641868567582,1,0.981716269277315,"1",0,0.00801401169583608,"Not Sig","Not Sig","Dichotomized",0.949188842668842,"Not Sig"
"alphahydroxypregnanoloneglucuronide",0.866030786469587,0.887077945245598,0.328928894792699,1,0.822548510169422,"1",0,0.0848384799097264,"Not Sig","Not Sig","Dichotomized",0.691310026482619,"Not Sig"
"alphahydroxypregnenolone3sulfate",0.18423136578968,0.875206740165533,0.833277142262406,1,0.980829433854372,"1",0,0.00840650982328453,"Not Sig","Not Sig","Dichotomized",0.948710723520408,"Not Sig"
"methylurate",-1.48399465572304,0.967719940464669,0.125153691997773,1,0.69853139127231,"1",0,0.155814072370112,"Not Sig","Not Sig","Dichotomized",0.590616190690626,"Not Sig"
"stearoylGPG180",-1.76376949516052,0.896769954545556,0.049205970548676,1,0.54683819456838,"1",0,0.262141159226785,"Not Sig","Not Sig","Dichotomized",0.366311114084588,"Not Sig"
"hydroxypregnenolonemonosulfate1",1.57560772350089,0.913647133835473,0.0846130308211792,1,0.69853139127231,"1",0,0.155814072370112,"Not Sig","Not Sig","Dichotomized",0.560369087166835,"Not Sig"
"acetamidophenolsulfate",0.288105445416735,1.05492096969275,0.784771589610652,1,0.980829433854372,"1",0,0.00840650982328453,"Not Sig","Not Sig","Dichotomized",0.948710723520408,"Not Sig"
"hydroxyphenylpropionate",1.12191937138148,0.941049556740906,0.233182796017235,1,0.77004551242901,"1",0,0.113483605720179,"Not Sig","Not Sig","Dichotomized",0.691310026482619,"Not Sig"
"hydroxyphenylpropionatesulfate",0.846047553545862,0.90222222998366,0.348379364193515,1,0.838520393004719,"1",0,0.0764863707898918,"Not Sig","Not Sig","Dichotomized",0.707315678817137,"Not Sig"
"dimethylurate37",-0.615142317305401,0.854344124382127,0.471514511455725,1,0.893247475451589,"1",0,0.0490282025523272,"Not Sig","Not Sig","Dichotomized",0.818222175142537,"Not Sig"
"acetaminophensulfate",-1.10191128590536,1.06912502302523,0.302697265688889,1,0.807309009032485,"1",0,0.092960201051496,"Not Sig","Not Sig","Dichotomized",0.691310026482619,"Not Sig"
"acetylphenolsulfate4",1.18468712878179,0.939790914789371,0.207458099484578,1,0.757468473910114,"1",0,0.120635437930336,"Not Sig","Not Sig","Dichotomized",0.689299627305313,"Not Sig"
"hydroxyphenylacetate4",-0.309629599775014,0.925642014059717,0.738000378660526,1,0.980829433854372,"1",0,0.00840650982328453,"Not Sig","Not Sig","Dichotomized",0.948710723520408,"Not Sig"
"vinylguaiacolsulfate",0.631147798738634,1.06094031969469,0.551913844168617,1,0.920349958687994,"1",0,0.0360470028418184,"Not Sig","Not Sig","Dichotomized",0.88043398950708,"Not Sig"
"alphaandrostan3alpha17alphadiolmonosulfate",1.69664008784691,0.706025531650399,0.0162573625413218,1,0.54683819456838,"1",0,0.262141159226785,"Not Sig","Not Sig","Dichotomized",0.35301635928273,"Not Sig"
"alphaandrostan3alpha17betadiol17glucuronide",-1.965141077098,1.52893673503597,0.19868776912297,1,0.757468473910114,"1",0,0.120635437930336,"Not Sig","Not Sig","Dichotomized",0.689299627305313,"Not Sig"
"alphaandrostan3alpha17betadioldisulfate",-0.318588132676658,0.939581267234508,0.734553540212854,1,0.980829433854372,"1",0,0.00840650982328453,"Not Sig","Not Sig","Dichotomized",0.948710723520408,"Not Sig"
"alphaandrostan3alpha17betadiolmonosulfate2",-1.46989497330204,1.06249895670104,0.16653246830711,1,0.757468473910114,"1",0,0.120635437930336,"Not Sig","Not Sig","Dichotomized",0.656333845680962,"Not Sig"
"alphapregnan3alphaorbeta20betadioldisulfate",0.80196064137495,0.76211632895719,0.292670580830215,1,0.807309009032485,"1",0,0.092960201051496,"Not Sig","Not Sig","Dichotomized",0.691310026482619,"Not Sig"
"hydroxyhexanoate5",-0.85402955530261,0.812730429564374,0.293343435773818,1,0.807309009032485,"1",0,0.092960201051496,"Not Sig","Not Sig","Dichotomized",0.691310026482619,"Not Sig"
"hydroxyindoleacetate",0.246326050072735,0.797740945643039,0.757489264502096,1,0.980829433854372,"1",0,0.00840650982328453,"Not Sig","Not Sig","Dichotomized",0.948710723520408,"Not Sig"
