"","metabolite","beta","se","p_val","metabolite_model"
"1","enyloleoylGPEP181",-0.385197176900436,0.186,0.0383139310091,"Continuous"
"2","enylpalmitoyl2arachidonoylGPCP160204",-0.21720792436707,0.23,0.345952799555616,"Continuous"
"3","enylpalmitoyl2arachidonoylGPEP160204",-0.218790755304043,0.209,0.294987745358357,"Continuous"
"4","enylpalmitoyl2linoleoylGPCP160182",-0.0506775410574807,0.204,0.803534935577336,"Continuous"
"5","enylpalmitoyl2linoleoylGPEP160182",-0.0775144165806063,0.19,0.682592316749068,"Continuous"
"6","enylpalmitoyl2oleoylGPCP160181",-0.115257117211351,0.218,0.596854934010511,"Continuous"
"7","enylpalmitoyl2oleoylGPEP160181",-0.208269023920104,0.18,0.246682010737398,"Continuous"
"8","enylpalmitoyl2palmitoleoylGPCP160161",-0.186912294049352,0.23,0.416129715799462,"Continuous"
"9","enylpalmitoyl2palmitoylGPCP160160",-0.0345960325852571,0.236,0.883380527187525,"Continuous"
"10","enylpalmitoylGPCP160",-0.293932740775677,0.214,0.169704621549913,"Continuous"
"11","enylpalmitoylGPEP160",-0.432208385010505,0.202,0.0320488133641977,"Continuous"
"12","enylstearoyl2arachidonoylGPEP180204",-0.241648062850861,0.22,0.271484254565668,"Continuous"
"13","enylstearoyl2linoleoylGPEP180182",-0.0616321701240906,0.184,0.73822778284953,"Continuous"
"14","enylstearoyl2oleoylGPEP180181",-0.0196192178271573,0.18,0.913089358689452,"Continuous"
"15","enylstearoylGPEP180",-0.388096916937241,0.215,0.0706775626434391,"Continuous"
"16","dilinoleoylGPC182182",0.284842707368343,0.207,0.168264082137981,"Continuous"
"17","dipalmitoylGPC160160",-0.101611568977961,0.224,0.649967088750874,"Continuous"
"18","dimethylurate13",-0.166664392853374,0.208,0.422216243148385,"Continuous"
"19","anhydroglucitol15AG",0.104887236109118,0.182,0.565114082443832,"Continuous"
"20","dimethylurate17",-0.208654691298474,0.205,0.309682869288548,"Continuous"
"21","heptadecenoate171n7",-0.167365784265316,0.227,0.460071284688553,"Continuous"
"22","nonadecenoate191n9",-0.255165160000776,0.221,0.247446087901866,"Continuous"
"23","undecenoate111n1",0.0152117580261374,0.169,0.928069089850706,"Continuous"
"24","DiHOME1213",0.272893182982533,0.203,0.178517527612631,"Continuous"
"25","HETE",0.162000119405007,0.209,0.43743198734773,"Continuous"
"26","HODE9HODE",-0.152400612941266,0.189,0.420330566876561,"Continuous"
"27","ahydroxyDHEA3sulfate",0.529655359235231,0.222,0.0167938990190107,"Continuous"
"28","hydroxypalmitate16",-0.160235716207625,0.237,0.49930844790931,"Continuous"
"29","methylstearate",-0.278699547409619,0.194,0.151374327189928,"Continuous"
"30","arachidonoylGPA204",0.186488455169509,0.167,0.265170774238768,"Continuous"
"31","arachidonoylGPC204n6",-0.494289287727361,0.245,0.0432779903076722,"Continuous"
"32","arachidonoylGPE204n6",-0.291016012263621,0.23,0.20637600159051,"Continuous"
"33","arachidonoylGPI204",-0.300746110547553,0.191,0.115897311565041,"Continuous"
"34","arachidonylglycerol204",-0.21424376076333,0.215,0.318021946984761,"Continuous"
"35","dihomolinolenylglycerol203",-0.129300351510114,0.208,0.534979260479744,"Continuous"
"36","docosahexaenoylglycerol226",-0.289607187970449,0.214,0.175953272741639,"Continuous"
"37","lignoceroylGPC240",0.0347930237868487,0.192,0.856317716444334,"Continuous"
"38","linolenoylglycerol183",0.148407910726615,0.204,0.466327427364096,"Continuous"
"39","linolenoylGPC183",-0.0847726958624505,0.21,0.686565300722876,"Continuous"
"40","linoleoyl2arachidonoylGPC182204n6",-0.0216408197090179,0.184,0.906188319797327,"Continuous"
"41","linoleoyl2linolenoylGPC182183",0.253835007271205,0.191,0.183005385296696,"Continuous"
"42","linoleoylglycerol1821",0.0928463659531875,0.199,0.641249864563142,"Continuous"
"43","linoleoylGPA182",0.529072561671794,0.19,0.00532629591555477,"Continuous"
"44","linoleoylGPC182",-0.241276706804529,0.234,0.302263246774291,"Continuous"
"45","linoleoylGPE182",0.11377437694151,0.215,0.596767409956587,"Continuous"
"46","linoleoylGPG182",-0.097440394691024,0.195,0.616909788947942,"Continuous"
"47","linoleoylGPI182",-0.227030318174971,0.182,0.211660008405943,"Continuous"
"48","N1methyladenosine",0.196686460320376,0.217,0.364203121815439,"Continuous"
"49","methylhistamine",0.106036451664308,0.21,0.613958274406629,"Continuous"
"50","methylhistidine1",0.0301980871769174,0.181,0.867810844342173,"Continuous"
"51","methylimidazoleacetate",-0.0622386515327647,0.217,0.77406078801716,"Continuous"
"52","methylnicotinamide",-0.568453363433653,0.204,0.00531002042352044,"Continuous"
"53","methylxanthine1",-0.355694729719428,0.205,0.0831706787383693,"Continuous"
"54","myristoylglycerol140",-0.268316959358523,0.209,0.199242318275735,"Continuous"
"55","oleoylglycerol181",0.00276156465831571,0.193,0.98858734255298,"Continuous"
"56","oleoylGPC181",-0.367310128059266,0.193,0.0571631776585419,"Continuous"
"57","oleoylGPE181",-0.151545410386766,0.238,0.525080632542492,"Continuous"
"58","oleoylGPI181",-0.291335185162807,0.18,0.10642148128261,"Continuous"
"59","palmitoleoyl2linolenoylGPC161183",-0.139569051706687,0.188,0.458293403964249,"Continuous"
"60","palmitoleoylglycerol161",-0.159973302644317,0.197,0.416038998580889,"Continuous"
"61","palmitoleoylGPC161",-0.375207204765574,0.214,0.0791232374777716,"Continuous"
"62","palmitoyl2arachidonoylGPC160204n6",-0.224177115694854,0.212,0.290420596379991,"Continuous"
