"","metabolite","beta","se","p_val","metabolite_model"
"1","enyloleoylGPEP181",-0.453460438325657,0.374842811414983,0.226380625938486,"Continuous"
"2","enylpalmitoyl2arachidonoylGPCP160204",0.0165928139081346,0.405687267675737,0.967375215270398,"Continuous"
"3","enylpalmitoyl2arachidonoylGPEP160204",-0.271879386300626,0.434718477838367,0.531698826257554,"Continuous"
"4","enylpalmitoyl2linoleoylGPCP160182",0.296047105737219,0.385508458794665,0.442523232738268,"Continuous"
"5","enylpalmitoyl2linoleoylGPEP160182",-0.0201160678574595,0.484523852262715,0.966883590637208,"Continuous"
"6","enylpalmitoyl2oleoylGPCP160181",0.158108210545437,0.47065397384795,0.736921376624963,"Continuous"
"7","enylpalmitoyl2oleoylGPEP160181",-0.439656375265694,0.482057378521566,0.36174682729207,"Continuous"
"8","enylpalmitoyl2palmitoleoylGPCP160161",-0.242078115540621,0.437989212413747,0.58046654251961,"Continuous"
"9","enylpalmitoyl2palmitoylGPCP160160",-0.0401222046557768,0.40378571923583,0.920848399062344,"Continuous"
"10","enylpalmitoylGPCP160",-0.153163412508212,0.423788918224923,0.717789693829604,"Continuous"
"11","enylpalmitoylGPEP160",-0.62669448925849,0.41933538079506,0.135046375419326,"Continuous"
"12","enylstearoyl2arachidonoylGPEP180204",0.104623183213331,0.471856659238341,0.824526704391208,"Continuous"
"13","enylstearoyl2linoleoylGPEP180182",0.083119480582478,0.461609570628565,0.857101959053375,"Continuous"
"14","enylstearoyl2oleoylGPEP180181",0.0569858554470048,0.504829159532843,0.910124530644489,"Continuous"
"15","enylstearoylGPEP180",-0.00276354177759116,0.433812606331082,0.994917223769476,"Continuous"
"16","dilinoleoylGPC182182",0.867015692999552,0.430777994283527,0.0441489304647457,"Continuous"
"17","dipalmitoylGPC160160",-0.159364707992586,0.428200433928459,0.709763929337885,"Continuous"
"18","dimethylurate13",-0.192043078750461,0.402003379518306,0.632853005886624,"Continuous"
"19","anhydroglucitol15AG",0.380833024720428,0.405414229502788,0.347542000274426,"Continuous"
"20","dimethylurate17",0.0280870735944073,0.361951597269044,0.938147056334457,"Continuous"
"21","heptadecenoate171n7",-0.281288720779003,0.458277552463718,0.539350440521209,"Continuous"
"22","nonadecenoate191n9",-0.277747070662597,0.479939008329127,0.562782663688363,"Continuous"
"23","undecenoate111n1",-0.235534512506414,0.388946480489351,0.544800000197707,"Continuous"
"24","DiHOME1213",0.433203253421933,0.409159246411152,0.289707079962082,"Continuous"
"25","HETE",-0.184196542320242,0.37509027030453,0.623375122640849,"Continuous"
"26","HODE9HODE",-0.371014363218788,0.469349042959255,0.429243353776172,"Continuous"
"27","ahydroxyDHEA3sulfate",0.897439105208749,0.379835806616816,0.0181422145774579,"Continuous"
"28","hydroxypalmitate16",0.226996703282565,0.426762795371979,0.594792705254205,"Continuous"
"29","methylstearate",-0.105865927253184,0.429247346457675,0.805193405358501,"Continuous"
"30","arachidonoylGPA204",-0.0769209859883218,0.374905528817485,0.837435934283762,"Continuous"
"31","arachidonoylGPC204n6",-0.36551136627262,0.401452745225654,0.362573796124694,"Continuous"
"32","arachidonoylGPE204n6",0.38124566017083,0.400497639297111,0.341132556695885,"Continuous"
"33","arachidonoylGPI204",-0.641684051161292,0.404720105692057,0.11285259540687,"Continuous"
"34","arachidonylglycerol204",-0.707724958528116,0.455843005383209,0.120527584182672,"Continuous"
"35","dihomolinolenylglycerol203",-0.702089478849758,0.400542703841935,0.079628529421003,"Continuous"
"36","docosahexaenoylglycerol226",-1.30320023702996,0.421695238843686,0.0019989784179923,"Continuous"
"37","lignoceroylGPC240",0.651525220092735,0.449266471782055,0.147003386329636,"Continuous"
"38","linolenoylglycerol183",-0.219491628116484,0.378774680001845,0.56226662620986,"Continuous"
"39","linolenoylGPC183",0.279463330895324,0.538316552825533,0.603660945659825,"Continuous"
"40","linoleoyl2arachidonoylGPC182204n6",0.411133262497793,0.371245656537602,0.268102607741988,"Continuous"
"41","linoleoyl2linolenoylGPC182183",0.256072918951148,0.57226280435159,0.654532613175762,"Continuous"
"42","linoleoylglycerol1821",-0.582133375850284,0.380826346921803,0.126362188744026,"Continuous"
"43","linoleoylGPA182",-0.0087765829687897,0.454181122482191,0.984582661177858,"Continuous"
"44","linoleoylGPC182",0.00944314626320771,0.407595345121705,0.981516308463213,"Continuous"
"45","linoleoylGPE182",0.840106200582267,0.500381864274084,0.0931656569015368,"Continuous"
