"","metabolite","beta","se","p_val","metabolite_model"
"640","enyloleoylGPEP181",-0.295271007680523,0.197734943394708,0.135367386915695,"Continuous"
"641","enylpalmitoyl2arachidonoylGPCP160204",-0.247448356056726,0.241659457061324,0.305856634384168,"Continuous"
"642","enylpalmitoyl2arachidonoylGPEP160204",-0.168425597114076,0.225672637257953,0.455469865594361,"Continuous"
"643","enylpalmitoyl2linoleoylGPCP160182",-0.0206853926915263,0.209705355229279,0.921423895721438,"Continuous"
"644","enylpalmitoyl2linoleoylGPEP160182",-0.0539622008419949,0.198949710040653,0.786210000749508,"Continuous"
"645","enylpalmitoyl2oleoylGPCP160181",-0.024353735997367,0.225264024136993,0.913906878131097,"Continuous"
"646","enylpalmitoyl2oleoylGPEP160181",-0.121482324076459,0.180853364742805,0.50176372015563,"Continuous"
"647","enylpalmitoyl2palmitoleoylGPCP160161",-0.191673717619881,0.238660929072143,0.421904525875005,"Continuous"
"648","enylpalmitoyl2palmitoylGPCP160160",-0.00313286388536201,0.249593077275198,0.989985306815688,"Continuous"
"649","enylpalmitoylGPCP160",-0.234054514444264,0.218554919850497,0.284206061310716,"Continuous"
"650","enylpalmitoylGPEP160",-0.30690744723017,0.211809379044406,0.147343308811962,"Continuous"
"651","enylstearoyl2arachidonoylGPEP180204",-0.287691308523364,0.239875878523457,0.230398080790771,"Continuous"
"652","enylstearoyl2linoleoylGPEP180182",-0.0185707364846422,0.19882721193824,0.925584692200712,"Continuous"
"653","enylstearoyl2oleoylGPEP180181",-0.012211521771923,0.18951834146329,0.948624250826426,"Continuous"
"654","enylstearoylGPEP180",-0.371258929098293,0.227898507534497,0.103301630865281,"Continuous"
"655","dilinoleoylGPC182182",0.254754000052564,0.218021171627293,0.242612052929344,"Continuous"
"656","dipalmitoylGPC160160",-0.150157409193976,0.249544518233317,0.54735658173471,"Continuous"
"657","dimethylurate13",-0.363997473645094,0.243691314881246,0.135258601919408,"Continuous"
"658","anhydroglucitol15AG",0.278236043382426,0.262141467345592,0.288509733962088,"Continuous"
"659","dimethylurate17",-0.523568250387648,0.234915773609762,0.0258306227872209,"Continuous"
"660","heptadecenoate171n7",-0.176179356618269,0.246345504507805,0.474502895114272,"Continuous"
"661","nonadecenoate191n9",-0.276906815466115,0.224566272148117,0.217548183352378,"Continuous"
"662","undecenoate111n1",0.0999630130364022,0.199900242375118,0.617029667804229,"Continuous"
"663","DiHOME1213",0.342761284196529,0.232776903937765,0.140889044898156,"Continuous"
"664","HETE",0.231973001188338,0.247306085648819,0.348244632767061,"Continuous"
"665","HODE9HODE",-0.124256382315069,0.208061375454179,0.550367028643719,"Continuous"
"666","ahydroxyDHEA3sulfate",0.304980803631156,0.249435726508741,0.221449478732932,"Continuous"
"667","hydroxypalmitate16",-0.262381105232838,0.25668481151195,0.306690138937346,"Continuous"
"668","methylstearate",-0.262980450357659,0.198391325546927,0.184984071577729,"Continuous"
"669","arachidonoylGPA204",0.274648196608563,0.193239229529824,0.155233654363728,"Continuous"
"670","arachidonoylGPC204n6",-0.46788459293789,0.259090551513729,0.0709382026887806,"Continuous"
"671","arachidonoylGPE204n6",-0.454377924509938,0.261818424998815,0.0826576566740924,"Continuous"
"672","arachidonoylGPI204",-0.209386507983663,0.21478195974984,0.329620085751342,"Continuous"
"673","arachidonylglycerol204",-0.019469061446805,0.225442506338073,0.931180784361125,"Continuous"
"674","dihomolinolenylglycerol203",0.100289375405229,0.232380598630799,0.666051212127085,"Continuous"
"675","docosahexaenoylglycerol226",0.0233411922117365,0.205984046862783,0.909780402418762,"Continuous"
"676","lignoceroylGPC240",0.0577492146924459,0.198813135124461,0.771456839497486,"Continuous"
"677","linolenoylglycerol183",0.32398088087475,0.219715907829175,0.140335048630005,"Continuous"
"678","linolenoylGPC183",-0.0571369728547825,0.223283054227907,0.798032068767652,"Continuous"
"679","linoleoyl2arachidonoylGPC182204n6",-0.00899439422322757,0.205139960004814,0.965027829766761,"Continuous"
"680","linoleoyl2linolenoylGPC182183",0.397410342973411,0.188606507718008,0.035110028666723,"Continuous"
"681","linoleoylglycerol1821",0.336916395699444,0.209512509378198,0.107813980153878,"Continuous"
"682","linoleoylGPA182",0.698364080340929,0.184956752329087,0.000159479795029727,"Continuous"
"683","linoleoylGPC182",-0.215657402291928,0.237823922277209,0.364515528735081,"Continuous"
"684","linoleoylGPE182",-0.0644093427163773,0.230664828430011,0.780065651866564,"Continuous"
"685","linoleoylGPG182",-0.158123641734899,0.207267028661191,0.445524113670705,"Continuous"
"686","linoleoylGPI182",-0.216082937580949,0.205518503681907,0.293073167191885,"Continuous"
"687","N1methyladenosine",0.0209705689183584,0.334331514711535,0.949986383463132,"Continuous"
"688","methylhistamine",0.194306845102728,0.221546757483256,0.380461291383737,"Continuous"
"689","methylhistidine1",0.171191838206622,0.264343062532779,0.51723569211511,"Continuous"
"690","methylimidazoleacetate",-0.0589106082037398,0.272359370276996,0.828755979822615,"Continuous"
"691","methylnicotinamide",-0.519022348247829,0.223307468121629,0.0201121071964828,"Continuous"
"692","methylxanthine1",-0.446453632322087,0.233311885433088,0.0556778576978338,"Continuous"
"693","myristoylglycerol140",-0.183229667433627,0.223914842847325,0.413185519789035,"Continuous"
"694","oleoylglycerol181",0.0856950087423811,0.222184395668206,0.699723905574629,"Continuous"
"695","oleoylGPC181",-0.260044481418495,0.21707548000335,0.230938437463539,"Continuous"
"696","oleoylGPE181",-0.306750480450774,0.256672640475063,0.232046428099213,"Continuous"
"697","oleoylGPI181",-0.272718736604385,0.207662191635588,0.189088398617917,"Continuous"
"698","palmitoleoyl2linolenoylGPC161183",-0.0439565730779476,0.214394527399735,0.837551371574045,"Continuous"
"699","palmitoleoylglycerol161",-0.059042499657779,0.224724172693328,0.79275623022085,"Continuous"
"700","palmitoleoylGPC161",-0.278389622562953,0.245586509483086,0.256974752784939,"Continuous"
"701","palmitoyl2arachidonoylGPC160204n6",-0.264908729959327,0.239892623040406,0.269471507482332,"Continuous"
"702","palmitoyl2arachidonoylGPE160204",-0.36203018825729,0.246831556404648,0.142455097925883,"Continuous"
"703","palmitoyl2arachidonoylGPI160204",0.155856723258981,0.21619403963174,0.470964098229575,"Continuous"
"704","palmitoyl2linoleoylGPC160182",-0.00910344356437389,0.254668242467095,0.971484664058399,"Continuous"
"705","palmitoyl2linoleoylGPE160182",-0.120664296590264,0.220628559518989,0.584439534121372,"Continuous"
"706","palmitoyl2linoleoylGPI160182",0.00489098879009938,0.232632853547223,0.983226114011886,"Continuous"
"707","palmitoyl2oleoylGPC160181",-0.201477238303066,0.257496641814826,0.43395246126439,"Continuous"
"708","palmitoyl2oleoylGPE160181",-0.15370245791859,0.223225721029761,0.491105401824532,"Continuous"
"709","palmitoyl2oleoylGPI160181",-0.094185364001389,0.231176408175905,0.683701218063629,"Continuous"
"710","palmitoyl2palmitoleoylGPC160161",-0.245034700378632,0.262014453330088,0.34968763056383,"Continuous"
"711","palmitoyl2stearoylGPC160180",0.0606007397349476,0.254336578260005,0.811671800000148,"Continuous"
"712","palmitoylglycerol160",-0.148349544899682,0.218633928736363,0.497436099766095,"Continuous"
"713","palmitoylGPA160",0.491811820925594,0.212500197184688,0.0206454389824591,"Continuous"
"714","palmitoylGPC1601",-0.139233376118494,0.274844663305791,0.612442990705417,"Continuous"
"715","palmitoylGPE160",-0.20174278060934,0.270799345548252,0.45627781840702,"Continuous"
"716","palmitoylGPG160",-0.58794369776256,0.202974875314749,0.00377190865010942,"Continuous"
"717","palmitoylGPI160",-0.410356601636928,0.225717022557118,0.0690620643998536,"Continuous"
"718","pentadecanoylglycerol150",-0.104777580540106,0.187788763794583,0.576875473606455,"Continuous"
"719","stearoyl2arachidonoylGPC180204",-0.089465220508238,0.238879047282873,0.708016733199133,"Continuous"
"720","stearoyl2arachidonoylGPE180204",-0.221266472689877,0.240455162806606,0.357469054209417,"Continuous"
"721","stearoyl2arachidonoylGPI180204",0.175664416062916,0.222054909525726,0.428894108043318,"Continuous"
"722","stearoyl2linoleoylGPC180182",0.124225185060924,0.230123875313665,0.589322028048419,"Continuous"
"723","stearoyl2linoleoylGPE180182",-0.0425576965154005,0.225010316152028,0.849985720432237,"Continuous"
"724","stearoyl2linoleoylGPI180182",0.180165812428694,0.220054508675629,0.41293896055636,"Continuous"
"725","stearoyl2oleoylGPC180181",0.0574341206636993,0.244929548736016,0.814602723310805,"Continuous"
"726","stearoyl2oleoylGPE180181",-0.102492414875744,0.223814413207156,0.646999263933726,"Continuous"
"727","stearoyl2oleoylGPI180181",0.0839017752551519,0.221834815639179,0.705269140533996,"Continuous"
"728","stearoyl2oleoylGPS180181",0.14727303404684,0.217425899979437,0.498185079030378,"Continuous"
"729","stearoylGPC180",-0.0518062888139989,0.247480458459373,0.834186834889878,"Continuous"
"730","stearoylGPE1801",-0.274044713828085,0.275247058560217,0.319429096567176,"Continuous"
"731","stearoylGPI180",-0.135697485504394,0.212191360643816,0.522494310543141,"Continuous"
"732","dihydroxy2methylbutyrate",0.0690137489561535,0.24273412487484,0.776166478303224,"Continuous"
"733","dihydroxyisovalerate",0.0797097285969871,0.274497362975333,0.771522242152609,"Continuous"
"734","hydroxypregnenolonedisulfate",0.344147319740644,0.234631134768262,0.142441636908089,"Continuous"
"735","aminoadipate",0.0859314563761931,0.227189010842631,0.705253997201126,"Continuous"
"736","aminobutyrate",0.0985287897151016,0.255525862124131,0.699798680741673,"Continuous"
"737","aminoheptanoate",0.214821762234197,0.224308452030749,0.338210553946977,"Continuous"
"738","aminooctanoate",0.521279697802337,0.24076125324858,0.030377640314951,"Continuous"
"739","aminophenolsulfate",0.160277477764701,0.18734905471237,0.392273336791867,"Continuous"
"740","deoxyuridine",0.264538950135378,0.238307933444662,0.266968027351453,"Continuous"
"741","hydroxy3methylvalerate",-0.104936458786956,0.263061194395878,0.689963112338548,"Continuous"
"742","hydroxybutyrate2hydroxyisobutyrate",-0.196449827396591,0.232615389022381,0.398375340608378,"Continuous"
