"","metabolite","beta","se","p_val","metabolite_model"
"1","enyloleoylGPEP181",-0.011091368206315,0.032,0.731011433986967,"Continuous"
"2","enylpalmitoyl2arachidonoylGPCP160204",0.00164785834688724,0.035,0.962647450272034,"Continuous"
"3","enylpalmitoyl2arachidonoylGPEP160204",-0.0067833195941188,0.032,0.833830244151222,"Continuous"
"4","enylpalmitoyl2linoleoylGPCP160182",-0.00715800703741188,0.033,0.827167158777175,"Continuous"
"5","enylpalmitoyl2linoleoylGPEP160182",-0.0149934118699663,0.033,0.653617760020846,"Continuous"
"6","enylpalmitoyl2oleoylGPCP160181",-0.028079010215077,0.039,0.466025581345085,"Continuous"
"7","enylpalmitoyl2oleoylGPEP160181",-0.031846727842554,0.031,0.303641007357916,"Continuous"
"8","enylpalmitoyl2palmitoleoylGPCP160161",-0.0265356501268361,0.036,0.463195659572743,"Continuous"
"9","enylpalmitoyl2palmitoylGPCP160160",-0.0128049399893255,0.039,0.739535007979532,"Continuous"
"10","enylpalmitoylGPCP160",-0.0124813243822601,0.035,0.719394578121867,"Continuous"
"11","enylpalmitoylGPEP160",-0.0215195066598772,0.033,0.519885175726822,"Continuous"
"12","enylstearoyl2arachidonoylGPEP180204",-0.0182175266621617,0.035,0.606844649526251,"Continuous"
"13","enylstearoyl2linoleoylGPEP180182",-0.0201367209089492,0.031,0.519707142478433,"Continuous"
"14","enylstearoyl2oleoylGPEP180181",-0.017545167718593,0.031,0.569491729875589,"Continuous"
"15","enylstearoylGPEP180",-0.0163038569618335,0.034,0.63189260428931,"Continuous"
"16","dilinoleoylGPC182182",0.0128549328217568,0.031,0.681042482895657,"Continuous"
"17","dipalmitoylGPC160160",-0.028295546967376,0.036,0.433695003148261,"Continuous"
"18","dimethylurate13",-0.0438112706650944,0.032,0.170211489112587,"Continuous"
"19","anhydroglucitol15AG",0.029651726503644,0.04,0.459663127684061,"Continuous"
"20","dimethylurate17",-0.0386364555626476,0.03,0.203984775296093,"Continuous"
"21","heptadecenoate171n7",-0.0201388077138566,0.043,0.643024726285445,"Continuous"
"22","nonadecenoate191n9",-0.023861768989287,0.039,0.541910109544298,"Continuous"
"23","undecenoate111n1",0.00541483687921018,0.029,0.849787726166353,"Continuous"
"24","DiHOME1213",0.0532406013854474,0.037,0.150184896945107,"Continuous"
"25","HETE",0.0382974927756671,0.036,0.291509369075125,"Continuous"
"26","HODE9HODE",-0.0319633315981989,0.034,0.345474387406269,"Continuous"
"27","ahydroxyDHEA3sulfate",0.0181062893584169,0.035,0.608514714100782,"Continuous"
"28","hydroxypalmitate16",-0.072280967409057,0.041,0.0807656415584217,"Continuous"
"29","methylstearate",-0.0277114031620378,0.039,0.480338927350297,"Continuous"
"30","arachidonoylGPA204",0.00769021498984727,0.032,0.807405268464854,"Continuous"
"31","arachidonoylGPC204n6",-0.041908249208819,0.042,0.313102275458228,"Continuous"
"32","arachidonoylGPE204n6",-0.0377285873847948,0.04,0.347675716191292,"Continuous"
"33","arachidonoylGPI204",-0.0175028132577964,0.034,0.602156861293977,"Continuous"
"34","arachidonylglycerol204",-0.032943674470263,0.036,0.364116981406678,"Continuous"
"35","dihomolinolenylglycerol203",-0.0125164136501204,0.038,0.744482100681815,"Continuous"
"36","docosahexaenoylglycerol226",0.0128664305999151,0.04,0.750070104666502,"Continuous"
"37","lignoceroylGPC240",0.00563619329578322,0.033,0.865332077096045,"Continuous"
"38","linolenoylglycerol183",0.0396475287129,0.037,0.290257970157754,"Continuous"
"39","linolenoylGPC183",-0.014678274412639,0.041,0.719653911927038,"Continuous"
"40","linoleoyl2arachidonoylGPC182204n6",-0.00118658380843693,0.038,0.974861981878508,"Continuous"
"41","linoleoyl2linolenoylGPC182183",0.0259791745549475,0.036,0.468810239011018,"Continuous"
"42","linoleoylglycerol1821",0.0515064204415748,0.034,0.132206592648566,"Continuous"
"43","linoleoylGPA182",0.0628269207882523,0.03,0.0339816593079891,"Continuous"
"44","linoleoylGPC182",-0.0424781223420906,0.039,0.271696911138836,"Continuous"
"45","linoleoylGPE182",-0.0208323337000107,0.037,0.568549235830746,"Continuous"
"46","linoleoylGPG182",-0.00972076575848019,0.033,0.769352564045222,"Continuous"
"47","linoleoylGPI182",-0.017884485889207,0.032,0.581290246619155,"Continuous"
"48","N1methyladenosine",0.0454739748802626,0.053,0.391061082668808,"Continuous"
"49","methylhistamine",-0.022731490421155,0.041,0.583218479814765,"Continuous"
"50","methylhistidine1",0.0246356108012386,0.045,0.584716614543905,"Continuous"
"51","methylimidazoleacetate",-0.0135810178502606,0.046,0.768297362427891,"Continuous"
"52","methylnicotinamide",-0.0163101958245401,0.034,0.636267415772374,"Continuous"
"53","methylxanthine1",-0.0500134378021934,0.031,0.109802810955563,"Continuous"
"54","myristoylglycerol140",0.032572151192095,0.043,0.447577847450534,"Continuous"
"55","oleoylglycerol181",0.0299001778991091,0.038,0.435519591633028,"Continuous"
"56","oleoylGPC181",-0.0749138255084855,0.037,0.0411219820510581,"Continuous"
"57","oleoylGPE181",-0.0581410156531953,0.039,0.139500510100357,"Continuous"
"58","oleoylGPI181",-0.0430616660253777,0.036,0.229113622493891,"Continuous"
"59","palmitoleoyl2linolenoylGPC161183",-0.0413717910532464,0.037,0.269435268793057,"Continuous"
"60","palmitoleoylglycerol161",0.0298150831246008,0.047,0.522222322452395,"Continuous"
"61","palmitoleoylGPC161",-0.0557270560167457,0.045,0.214964106976949,"Continuous"
