"","metabolite","beta","se","p_val","metabolite_model"
"1","enyloleoylGPEP181",-0.0104548203965226,0.050291936315926,0.835320605824454,"Continuous"
"2","enylpalmitoyl2arachidonoylGPCP160204",0.0848692220274116,0.0494063507453548,0.0858368216010198,"Continuous"
"3","enylpalmitoyl2arachidonoylGPEP160204",0.0738364657924796,0.049682557056342,0.137235544595002,"Continuous"
"4","enylpalmitoyl2linoleoylGPCP160182",0.0779453903850512,0.0487102212048497,0.109557434637651,"Continuous"
"5","enylpalmitoyl2linoleoylGPEP160182",0.0610882505223009,0.050435450790384,0.225812438048205,"Continuous"
"6","enylpalmitoyl2oleoylGPCP160181",0.0107344005571943,0.056526378201056,0.849386919415538,"Continuous"
"7","enylpalmitoyl2oleoylGPEP160181",0.0242577591678963,0.0523032715600279,0.642797868138352,"Continuous"
"8","enylpalmitoyl2palmitoleoylGPCP160161",0.0310101718714041,0.0602574794897617,0.606813160754975,"Continuous"
"9","enylpalmitoyl2palmitoylGPCP160160",0.0361941151499913,0.0601161865217695,0.547127955627462,"Continuous"
"10","enylpalmitoylGPCP160",0.0255752144221284,0.0571018684637755,0.654234373531735,"Continuous"
"11","enylpalmitoylGPEP160",-0.0174025659782844,0.0528231651008633,0.741815949165241,"Continuous"
"12","enylstearoyl2arachidonoylGPEP180204",0.0926197269682603,0.0507794144031388,0.0681578032678507,"Continuous"
"13","enylstearoyl2linoleoylGPEP180182",0.0547361484428607,0.0499291349142965,0.272957692394189,"Continuous"
"14","enylstearoyl2oleoylGPEP180181",0.0422720681329424,0.0520807593409172,0.416984559394464,"Continuous"
"15","enylstearoylGPEP180",0.0152085542466471,0.053454631417251,0.776017033591368,"Continuous"
"16","dilinoleoylGPC182182",0.138371296670869,0.0576980237886211,0.0164759475704143,"Continuous"
"17","dipalmitoylGPC160160",0.0286332902209635,0.0640757844579716,0.654971805957131,"Continuous"
"18","dimethylurate13",-0.0727576339924756,0.0603860232303291,0.228251405963973,"Continuous"
"19","anhydroglucitol15AG",0.0564064802799968,0.0613148228049102,0.35759966372259,"Continuous"
"20","dimethylurate17",-0.0689937946751473,0.0503441550483518,0.17054865824385,"Continuous"
"21","heptadecenoate171n7",0.0241252640620117,0.0636322675472613,0.704587099803851,"Continuous"
"22","nonadecenoate191n9",0.0407782983176447,0.0640802955153082,0.524540164088585,"Continuous"
"23","undecenoate111n1",-0.0265050977821184,0.0524650951909719,0.613421961878063,"Continuous"
"24","DiHOME1213",0.0503753739358762,0.0535712461059534,0.347041384985745,"Continuous"
"25","HETE",-0.0234292218304952,0.050142924916766,0.64032187830736,"Continuous"
"26","HODE9HODE",-0.0200282382201913,0.0601532865050886,0.739169497635687,"Continuous"
"27","ahydroxyDHEA3sulfate",0.0465173825918347,0.0490655461856859,0.343095788497057,"Continuous"
"28","hydroxypalmitate16",0.0145256971380702,0.0501707536609907,0.77217950376772,"Continuous"
"29","methylstearate",0.0656890659391492,0.0585594939105765,0.261969087467186,"Continuous"
"30","arachidonoylGPA204",-0.00732058273191405,0.0592434597743514,0.901657505718865,"Continuous"
"31","arachidonoylGPC204n6",0.00942187392258204,0.0563780417062665,0.867275970222876,"Continuous"
"32","arachidonoylGPE204n6",0.11930146869196,0.060302184954361,0.0478842989042352,"Continuous"
"33","arachidonoylGPI204",-0.0160396938696169,0.0517022710808231,0.756384612567166,"Continuous"
"34","arachidonylglycerol204",-0.01470485861703,0.0680567569047378,0.828935071940686,"Continuous"
"35","dihomolinolenylglycerol203",-0.0105108602159957,0.057528909982751,0.855028936992297,"Continuous"
