"","metabolite","beta","se","p_val","metabolite_model"
"640","enyloleoylGPEP181",-0.0114266622333994,0.0389011284762419,0.768959636072762,"Continuous"
"641","enylpalmitoyl2arachidonoylGPCP160204",-0.0183214464188522,0.0424495299015881,0.666028231584108,"Continuous"
"642","enylpalmitoyl2arachidonoylGPEP160204",-0.0244973061773609,0.0399119053969901,0.5393577861727,"Continuous"
"643","enylpalmitoyl2linoleoylGPCP160182",-0.0339944407150477,0.040775290783535,0.404448941366151,"Continuous"
"644","enylpalmitoyl2linoleoylGPEP160182",-0.0403816004619437,0.0399354680504769,0.311934433791392,"Continuous"
"645","enylpalmitoyl2oleoylGPCP160181",-0.037657512696689,0.0479662535923851,0.432404632191627,"Continuous"
"646","enylpalmitoyl2oleoylGPEP160181",-0.0562771862704493,0.0372031443459766,0.130355949142068,"Continuous"
"647","enylpalmitoyl2palmitoleoylGPCP160161",-0.0449345664533714,0.0437408497220543,0.304283618266612,"Continuous"
"648","enylpalmitoyl2palmitoylGPCP160160",-0.0265456310133368,0.0441735008064136,0.547879837802676,"Continuous"
"649","enylpalmitoylGPCP160",-0.0199179253551219,0.0419322474054136,0.634785140259896,"Continuous"
"650","enylpalmitoylGPEP160",-0.0216390883703198,0.0404203773387227,0.59240718452522,"Continuous"
"651","enylstearoyl2arachidonoylGPEP180204",-0.0470546554577422,0.043459754807983,0.278933646163971,"Continuous"
"652","enylstearoyl2linoleoylGPEP180182",-0.0444131567452991,0.0383132120567665,0.24636955182044,"Continuous"
"653","enylstearoyl2oleoylGPEP180181",-0.0411607076713717,0.0369261078152841,0.264988575080674,"Continuous"
"654","enylstearoylGPEP180",-0.0235220140256175,0.0414843274429036,0.570707624678678,"Continuous"
"655","dilinoleoylGPC182182",-0.0270255087750723,0.0357111508897499,0.449181274087109,"Continuous"
"656","dipalmitoylGPC160160",-0.0558551872215278,0.0403653140906064,0.166437416859571,"Continuous"
"657","dimethylurate13",-0.0534140820278958,0.0356493052853187,0.134050021462268,"Continuous"
"658","anhydroglucitol15AG",0.0410371598747485,0.0456256823996222,0.368423054719184,"Continuous"
"659","dimethylurate17",-0.0516825463898792,0.0358363506861813,0.149250986072709,"Continuous"
"660","heptadecenoate171n7",-0.0253309745098623,0.0499631852936846,0.612159880301251,"Continuous"
"661","nonadecenoate191n9",-0.0343457398203887,0.0440737308822669,0.435815290245886,"Continuous"
"662","undecenoate111n1",0.00828636826747589,0.0351669130377594,0.813720044903232,"Continuous"
"663","DiHOME1213",0.0478617996052282,0.0451412743430146,0.289023187214079,"Continuous"
"664","HETE",0.0466928740620867,0.0417459664599231,0.263353398374021,"Continuous"
"665","HODE9HODE",-0.0363356912913624,0.0385696222958967,0.346151397580446,"Continuous"
"666","ahydroxyDHEA3sulfate",0.00595753604168473,0.0419556018827496,0.887083007128079,"Continuous"
"667","hydroxypalmitate16",-0.0892839630517769,0.0491876747408054,0.0694978775058749,"Continuous"
"668","methylstearate",-0.0445567380011749,0.0456126507205217,0.328643199648122,"Continuous"
"669","arachidonoylGPA204",0.0208278543669882,0.0373872124479917,0.577469371631441,"Continuous"
"670","arachidonoylGPC204n6",-0.0554937733033572,0.0491806518801864,0.259165398931971,"Continuous"
"671","arachidonoylGPE204n6",-0.0789558678049471,0.049255627944631,0.108938705209941,"Continuous"
"672","arachidonoylGPI204",-0.0197609975264231,0.0396454945963298,0.618172221651934,"Continuous"
