"","metabolite","beta","se","p_val","metabolite_model"
"1","enyloleoylGPEP181",-0.00154722695586683,0.005,0.737998148046013,"Continuous"
"2","enylpalmitoyl2arachidonoylGPCP160204",-0.000775413407882623,0.005,0.882587676239922,"Continuous"
"3","enylpalmitoyl2arachidonoylGPEP160204",-0.000941026889474651,0.005,0.842026825632816,"Continuous"
"4","enylpalmitoyl2linoleoylGPCP160182",-0.0010067830389589,0.005,0.837725701918944,"Continuous"
"5","enylpalmitoyl2linoleoylGPEP160182",-0.00151069925752951,0.005,0.764855434956136,"Continuous"
"6","enylpalmitoyl2oleoylGPCP160181",-0.00459563385261228,0.006,0.433451217142513,"Continuous"
"7","enylpalmitoyl2oleoylGPEP160181",-0.00401880291692237,0.005,0.386074872286836,"Continuous"
"8","enylpalmitoyl2palmitoleoylGPCP160161",-0.00491493485411807,0.005,0.3646376331268,"Continuous"
"9","enylpalmitoyl2palmitoylGPCP160160",-0.00223529454776479,0.006,0.70119617280899,"Continuous"
"10","enylpalmitoylGPCP160",-0.00306661752749346,0.005,0.543282343074628,"Continuous"
"11","enylpalmitoylGPEP160",-0.00359046985852693,0.005,0.457056801521663,"Continuous"
"12","enylstearoyl2arachidonoylGPEP180204",-0.00272156014324078,0.005,0.604342577405195,"Continuous"
"13","enylstearoyl2linoleoylGPEP180182",-0.00223293703971599,0.005,0.636252048478792,"Continuous"
"14","enylstearoyl2oleoylGPEP180181",-0.00201669523384306,0.005,0.662583417120175,"Continuous"
"15","enylstearoylGPEP180",-0.00239992783792208,0.005,0.626504080710218,"Continuous"
"16","dilinoleoylGPC182182",0.00180741493665357,0.005,0.699185453025741,"Continuous"
"17","dipalmitoylGPC160160",-0.00586848034686369,0.005,0.271839658639195,"Continuous"
"18","dimethylurate13",-0.00733878318706958,0.005,0.136276146103044,"Continuous"
"19","anhydroglucitol15AG",0.00467659803583086,0.006,0.427167702117252,"Continuous"
"20","dimethylurate17",-0.00684179993172018,0.005,0.146081154761683,"Continuous"
"21","heptadecenoate171n7",-0.00401621130083362,0.007,0.54625999668864,"Continuous"
"22","nonadecenoate191n9",-0.00458835096059694,0.006,0.434446523003924,"Continuous"
"23","undecenoate111n1",0.00148250589830588,0.004,0.732120288663124,"Continuous"
"24","DiHOME1213",0.00841477688914195,0.005,0.120697425673676,"Continuous"
"25","HETE",0.00415846177323982,0.005,0.4422306786639,"Continuous"
"26","HODE9HODE",-0.00454937983274128,0.005,0.384628644908466,"Continuous"
"27","ahydroxyDHEA3sulfate",0.00304437432126426,0.006,0.580886496257205,"Continuous"
"28","hydroxypalmitate16",-0.0104750156196713,0.006,0.106549861362056,"Continuous"
"29","methylstearate",-0.00506004380892166,0.006,0.387445871221802,"Continuous"
"30","arachidonoylGPA204",-0.00075898460192093,0.005,0.873328627225275,"Continuous"
"31","arachidonoylGPC204n6",-0.00767180462190871,0.006,0.202951246025769,"Continuous"
"32","arachidonoylGPE204n6",-0.00696929202034747,0.006,0.229531313339223,"Continuous"
"33","arachidonoylGPI204",-0.00586283795968105,0.005,0.227236020403227,"Continuous"
"34","arachidonylglycerol204",-0.00628187720037005,0.006,0.264929340839366,"Continuous"
"35","dihomolinolenylglycerol203",-0.00327234772542084,0.006,0.578044759162626,"Continuous"
"36","docosahexaenoylglycerol226",0.00196634687908164,0.006,0.742935344248862,"Continuous"
"37","lignoceroylGPC240",0.000913519441944879,0.005,0.853951934518602,"Continuous"
"38","linolenoylglycerol183",0.00430709058801951,0.006,0.449502975903376,"Continuous"
"39","linolenoylGPC183",-0.00284660762138389,0.006,0.646802460739418,"Continuous"
"40","linoleoyl2arachidonoylGPC182204n6",-0.000278797673167737,0.005,0.958663927281454,"Continuous"
"41","linoleoyl2linolenoylGPC182183",0.00384319166009435,0.005,0.473997007681892,"Continuous"
"42","linoleoylglycerol1821",0.00656544276355027,0.005,0.213379086644922,"Continuous"
"43","linoleoylGPA182",0.00741189068808291,0.004,0.0835678663753478,"Continuous"
"44","linoleoylGPC182",-0.00671312541866958,0.006,0.246293668796467,"Continuous"
"45","linoleoylGPE182",-0.00364712247338011,0.006,0.5191761713235,"Continuous"
"46","linoleoylGPG182",-0.00225535419509698,0.005,0.650170814944936,"Continuous"
"47","linoleoylGPI182",-0.00493798912659354,0.005,0.313676603531576,"Continuous"
"48","N1methyladenosine",0.00783186349143102,0.008,0.32119284510093,"Continuous"
"49","methylhistamine",-0.00298022874945113,0.006,0.641932652170901,"Continuous"
"50","methylhistidine1",0.000872621298511523,0.007,0.902887872752234,"Continuous"
"51","methylimidazoleacetate",-0.00121500070204375,0.007,0.855964669421982,"Continuous"
"52","methylnicotinamide",-0.0037006823242151,0.005,0.479118070019409,"Continuous"
"53","methylxanthine1",-0.00828629631347232,0.005,0.0916988581147801,"Continuous"
"54","myristoylglycerol140",0.00399588152603803,0.007,0.547416258423323,"Continuous"
"55","oleoylglycerol181",0.00370994065418318,0.006,0.532829031098183,"Continuous"
"56","oleoylGPC181",-0.0122248824906491,0.005,0.0249359813145588,"Continuous"
"57","oleoylGPE181",-0.00895499182710238,0.006,0.129481481222408,"Continuous"
"58","oleoylGPI181",-0.00817972325716041,0.005,0.121841144266532,"Continuous"
"59","palmitoleoyl2linolenoylGPC161183",-0.00690785311362247,0.005,0.206794130618668,"Continuous"
"60","palmitoleoylglycerol161",0.0026768460678159,0.007,0.717561326208229,"Continuous"
"61","palmitoleoylGPC161",-0.0109568546530888,0.007,0.122496523353909,"Continuous"
"62","palmitoyl2arachidonoylGPC160204n6",-0.00410967570050686,0.005,0.405210776115792,"Continuous"
"63","palmitoyl2arachidonoylGPE160204",-0.0048043989487501,0.006,0.426948774057367,"Continuous"
"64","palmitoyl2arachidonoylGPI160204",0.00172131222952656,0.005,0.754277283816042,"Continuous"
"65","palmitoyl2linoleoylGPC160182",-0.00222446771396656,0.005,0.68052633344918,"Continuous"
"66","palmitoyl2linoleoylGPE160182",-0.00309087652538807,0.007,0.635598794610174,"Continuous"
"67","palmitoyl2linoleoylGPI160182",0.00361279141950779,0.006,0.548607218591394,"Continuous"
"68","palmitoyl2oleoylGPC160181",-0.00690645599687452,0.006,0.23289780096409,"Continuous"
"69","palmitoyl2oleoylGPE160181",-0.00162059364350477,0.006,0.772562469002453,"Continuous"
"70","palmitoyl2oleoylGPI160181",0.00127714927663753,0.006,0.841130434464867,"Continuous"
"71","palmitoyl2palmitoleoylGPC160161",-0.00511629115937131,0.007,0.472272885104054,"Continuous"
"72","palmitoyl2stearoylGPC160180",0.000847180114274696,0.006,0.879633431028356,"Continuous"
"73","palmitoylglycerol160",0.00266134573231546,0.006,0.672270315713827,"Continuous"
"74","palmitoylGPA160",0.00602619121536907,0.005,0.241455761177787,"Continuous"
"75","palmitoylGPC1601",-0.00550845369329423,0.006,0.381376089460108,"Continuous"
"76","palmitoylGPE160",-0.00510051690118473,0.007,0.47471068529185,"Continuous"
"77","palmitoylGPG160",-0.00988822258609563,0.006,0.0884013171093321,"Continuous"
"78","palmitoylGPI160",-0.00667764230212281,0.006,0.285298390318255,"Continuous"
"79","pentadecanoylglycerol150",0.00432466983563304,0.005,0.401261637780585,"Continuous"
"80","stearoyl2arachidonoylGPC180204",0.00191972547714547,0.005,0.711887033366364,"Continuous"
"81","stearoyl2arachidonoylGPE180204",-0.00112528429488915,0.006,0.840383692521387,"Continuous"
"82","stearoyl2arachidonoylGPI180204",-0.000561245364134659,0.005,0.901300368905102,"Continuous"
"83","stearoyl2linoleoylGPC180182",0.00327303616160672,0.005,0.493312616340884,"Continuous"
"84","stearoyl2linoleoylGPE180182",-0.000473098709702031,0.006,0.93959327684585,"Continuous"
"85","stearoyl2linoleoylGPI180182",-0.00114075498188065,0.005,0.809122752632141,"Continuous"
"86","stearoyl2oleoylGPC180181",0.0011833765815623,0.006,0.832769262856623,"Continuous"
"87","stearoyl2oleoylGPE180181",0.00176843027142408,0.005,0.746533366807408,"Continuous"
"88","stearoyl2oleoylGPI180181",-0.00097720267835311,0.005,0.85735281464417,"Continuous"
"89","stearoyl2oleoylGPS180181",-0.000538328126988561,0.006,0.931965922623071,"Continuous"
"90","stearoylGPC180",-0.000532307498132151,0.006,0.9256381246377,"Continuous"
"91","stearoylGPE1801",-0.00413405432893801,0.007,0.548993946411631,"Continuous"
"92","stearoylGPI180",-0.00649015131615298,0.005,0.167993094885454,"Continuous"
"93","dihydroxy2methylbutyrate",0.00304538683234764,0.006,0.614168990277122,"Continuous"
"94","dihydroxyisovalerate",0.00140541522946671,0.007,0.843118747345985,"Continuous"
"95","hydroxypregnenolonedisulfate",0.00145858963591735,0.006,0.795596107117639,"Continuous"
"96","aminoadipate",0.00763472451327628,0.005,0.158640329316702,"Continuous"
"97","aminobutyrate",0.00126209550429772,0.006,0.824450747038246,"Continuous"
"98","aminoheptanoate",0.00672476612866762,0.005,0.207398736166862,"Continuous"
"99","aminooctanoate",0.00162622305760499,0.006,0.795123037743848,"Continuous"
"100","aminophenolsulfate",0.00430376029369324,0.004,0.337838122014818,"Continuous"
"101","deoxyuridine",-0.00124921599511806,0.006,0.82389530179802,"Continuous"
"102","hydroxy3methylvalerate",0.00107901394459677,0.006,0.859615231115534,"Continuous"
"103","hydroxybutyrate2hydroxyisobutyrate",-0.000344812558058975,0.005,0.94519624596216,"Continuous"
"104","hydroxydecanoate2",0.00406462100908485,0.006,0.492160417104694,"Continuous"
"105","hydroxyglutarate",-0.00266786004835086,0.005,0.603089737340707,"Continuous"
"106","hydroxyhippuratesalicylurate",-0.00242903527759982,0.005,0.649918149214053,"Continuous"
"107","hydroxyoctanoate2",0.00622257304697354,0.006,0.322035593320543,"Continuous"
"108","hydroxypalmitate2",-0.00682888190995472,0.006,0.219865036307839,"Continuous"
"109","hydroxyphenylacetate2",-0.00294694214151529,0.006,0.646710688709076,"Continuous"
"110","hydroxystearate",0.000247310288416874,0.006,0.96915787686343,"Continuous"
"111","keto3deoxygluconate",-0.000571282076512397,0.006,0.91958129347247,"Continuous"
"112","linoleoylglycerol1822",0.00208483064526479,0.005,0.679858345637756,"Continuous"
"113","methylbutyrylcarnitineC5",-0.00202661585592488,0.006,0.743888664851016,"Continuous"
"114","methylcitratehomocitrate",0.00457615830492712,0.006,0.47129157059661,"Continuous"
"115","Omethylcytidine",0.00213355819873439,0.006,0.719281520895412,"Continuous"
"116","Omethyluridine",-0.00555396308143492,0.006,0.358149840772716,"Continuous"
"117","oxindole3acetate",0.00185549262605858,0.006,0.7452335152435,"Continuous"
"118","oxoarginine",0.0012027994186185,0.005,0.805740475831403,"Continuous"
"119","palmitoylGPC1602",-0.0011592216040735,0.005,0.808432784673506,"Continuous"
"120","piperidinone",-0.00151931798186981,0.006,0.79235945129074,"Continuous"
"121","pyrrolidinone",0.00921693046994855,0.006,0.103275394623733,"Continuous"
"122","stearoylGPE1802",-0.0041280172600298,0.005,0.406373507315448,"Continuous"
