"","metabolite","beta","se","p_val","metabolite_model"
"1","enyloleoylGPEP181",-0.000340545618007962,0.00703199782284221,0.961375141595687,"Continuous"
"2","enylpalmitoyl2arachidonoylGPCP160204",0.00987925562414636,0.00797442455907657,0.215394561656341,"Continuous"
"3","enylpalmitoyl2arachidonoylGPEP160204",0.00994992087431838,0.0077320617677741,0.198150309328248,"Continuous"
"4","enylpalmitoyl2linoleoylGPCP160182",0.00928279342788029,0.00750320855321733,0.216021557418443,"Continuous"
"5","enylpalmitoyl2linoleoylGPEP160182",0.0084575642263505,0.00772187868285854,0.273397109511787,"Continuous"
"6","enylpalmitoyl2oleoylGPCP160181",0.00165707610936473,0.0082452108922291,0.840718610702143,"Continuous"
"7","enylpalmitoyl2oleoylGPEP160181",0.00425697323219373,0.00732283456616396,0.561019002574955,"Continuous"
"8","enylpalmitoyl2palmitoleoylGPCP160161",0.0038239140753324,0.00953816731759011,0.688488902416299,"Continuous"
"9","enylpalmitoyl2palmitoylGPCP160160",0.00390900644746432,0.00932794453542833,0.67516930500121,"Continuous"
"10","enylpalmitoylGPCP160",0.00306473813114247,0.00841318411328041,0.715650404328923,"Continuous"
"11","enylpalmitoylGPEP160",-0.00288168997825987,0.00762362504616283,0.705434519888305,"Continuous"
"12","enylstearoyl2arachidonoylGPEP180204",0.0134441186012107,0.00834441185369704,0.107146524925718,"Continuous"
"13","enylstearoyl2linoleoylGPEP180182",0.00781397898594971,0.0073548072339812,0.288039833478887,"Continuous"
"14","enylstearoyl2oleoylGPEP180181",0.00666052425618086,0.00754705600483071,0.377488765595396,"Continuous"
"15","enylstearoylGPEP180",0.00267490831327589,0.00783335928665325,0.732744873845075,"Continuous"
"16","dilinoleoylGPC182182",0.0204449472643179,0.00859182418719062,0.0173323022619256,"Continuous"
"17","dipalmitoylGPC160160",0.00279440935466174,0.00968001840389537,0.772827720517175,"Continuous"
"18","dimethylurate13",-0.0135803542300533,0.00959907185406646,0.157139751628336,"Continuous"
"19","anhydroglucitol15AG",0.00643699295078582,0.00928236234313404,0.488017813602663,"Continuous"
"20","dimethylurate17",-0.012882507802292,0.00769738233957534,0.0942049279375602,"Continuous"
"21","heptadecenoate171n7",0.00146697817636158,0.0094316464691372,0.876397303431369,"Continuous"
"22","nonadecenoate191n9",0.00335959114213978,0.00969804486997416,0.729027527651077,"Continuous"
"23","undecenoate111n1",-0.00370990576376615,0.00790934972290878,0.639031612913117,"Continuous"
"24","DiHOME1213",0.00694418888143759,0.00840139667691632,0.408491191359224,"Continuous"
