"","metabolite","beta","se","p_val","metabolite_model"
"640","enyloleoylGPEP181",-0.00157904058032478,0.00555085498232132,0.776051758587906,"Continuous"
"641","enylpalmitoyl2arachidonoylGPCP160204",-0.00225720491034968,0.00638098112456033,0.723534136432632,"Continuous"
"642","enylpalmitoyl2arachidonoylGPEP160204",-0.00169839367668622,0.00542036905475513,0.754025833996224,"Continuous"
"643","enylpalmitoyl2linoleoylGPCP160182",-0.00316423688170195,0.00595022858440363,0.594875544573016,"Continuous"
"644","enylpalmitoyl2linoleoylGPEP160182",-0.00365560555698157,0.00592700740055398,0.537385863286245,"Continuous"
"645","enylpalmitoyl2oleoylGPCP160181",-0.00568446961952722,0.00720358712811755,0.430043906264054,"Continuous"
"646","enylpalmitoyl2oleoylGPEP160181",-0.00582865994252614,0.00549988348303815,0.289245241644806,"Continuous"
"647","enylpalmitoyl2palmitoleoylGPCP160161",-0.00780587900118218,0.00632064102503456,0.216837138106761,"Continuous"
"648","enylpalmitoyl2palmitoylGPCP160160",-0.00383727288344666,0.00664553393628467,0.563654884862302,"Continuous"
"649","enylpalmitoylGPCP160",-0.0041634284091759,0.00601510927575933,0.488835772544429,"Continuous"
"650","enylpalmitoylGPEP160",-0.00310791989619107,0.00570214521298961,0.585723272985516,"Continuous"
"651","enylstearoyl2arachidonoylGPEP180204",-0.00544402120720465,0.00616728396958126,0.37738439238903,"Continuous"
"652","enylstearoyl2linoleoylGPEP180182",-0.00422294539958113,0.0056777506803694,0.457015123495281,"Continuous"
"653","enylstearoyl2oleoylGPEP180181",-0.00333417531655085,0.00544493153188242,0.540309678422564,"Continuous"
"654","enylstearoylGPEP180",-0.00306497278980256,0.00597303503113938,0.607856953516645,"Continuous"
"655","dilinoleoylGPC182182",-0.00298124279250015,0.0054199257530855,0.582283481135253,"Continuous"
"656","dipalmitoylGPC160160",-0.00927269036779754,0.00593005269080664,0.117893308389179,"Continuous"
"657","dimethylurate13",-0.0072584334699737,0.00545165947179849,0.183051756060123,"Continuous"
"658","anhydroglucitol15AG",0.00660417939363055,0.0069828809089468,0.344267362828632,"Continuous"
